date,change_perc1,change_perc2,open,high,low,close,avg,volume_match,volume_reconcile,adjust,change_perc,value_match,value_reconcile,Unnamed: 0
04/04/2022,,,0,17.80,18.00,18.10,0.30 (1.69 %),,19009363000,18.10,18.10,1055370,0,
01/04/2022,,,0,18.00,18.0,18.00,0.00 (0.00 %),,12102580000,18.00,18.00,678870,0,
31/03/2022,,,0,18.00,18.00,18.00,0.00 (0.00 %),,17017855200,18.00,18.00,946053,0,
30/03/2022,,,0,18.2,18.2,18.0,-0.20 (-1.10 %),,22511456000,18.0,18.0,1247930,0,
29/03/2022,,,0,18.2,18.2,18.3,0.10 (0.55 %),,14397998000,18.3,18.3,791060,0,
28/03/2022,,,0,18.4,18.5,18.2,-0.20 (-1.09 %),,22629952300,18.2,18.2,1245534,0,
25/03/2022,,,0,18.4,18.4,18.5,0.10 (0.54 %),,17478292100,18.5,18.5,951935,0,
24/03/2022,,,0,18.5,18.5,18.5,0.00 (0.00 %),,14204352000,18.5,18.5,771625,0,
23/03/2022,,,0,18.2,18.3,18.6,0.40 (2.20 %),,17549886000,18.6,18.6,946710,0,
22/03/2022,,,0,18.1,18.1,18.3,0.20 (1.10 %),,16073669100,18.3,18.3,883108,0,
21/03/2022,,,0,18.7,18.6,18.1,-0.60 (-3.21 %),,36558286900,18.1,18.1,2014453,0,
18/03/2022,,,0,18.6,19.2,18.7,0.10 (0.54 %),,16116632100,18.7,18.7,864029,0,
17/03/2022,,,0,19.5,19.6,19.4,-0.10 (-0.51 %),,17999256000,18.63,18.6,926471,0,
16/03/2022,,,0,19.5,19.7,19.6,0.10 (0.51 %),,29792231500,18.66,18.79,1530973,0,
15/03/2022,,,0,19.7,19.5,19.7,0.00 (0.00 %),,17713575500,18.7,18.89,908329,0,
14/03/2022,,,0,20.0,19.8,19.5,-0.50 (-2.50 %),,25401090000,18.93,18.7,1286825,0,
11/03/2022,,,0,19.2,19.4,19.9,0.70 (3.65 %),,106311069900,19.19,19.08,5313025,0,
10/03/2022,,,0,19.0,19.0,19.5,0.50 (2.63 %),,29364068800,18.43,18.7,1527414,0,
09/03/2022,,,0,19.3,19.3,18.9,-0.40 (-2.07 %),,11725698300,18.23,18.12,616763,0,
08/03/2022,,,0,18.8,19.0,19.2,0.40 (2.13 %),,36854148900,18.47,18.41,1912728,0,
07/03/2022,,,0,19.0,18.9,19.0,0.00 (0.00 %),,33504277000,18.03,18.22,1782125,0,
04/03/2022,,,0,18.9,18.7,19.0,0.10 (0.53 %),,13017178000,18.22,18.22,685072,0,
03/03/2022,,,0,18.6,18.6,19.0,0.40 (2.15 %),,19315544700,18.13,18.22,1021217,0,
02/03/2022,,,0,18.8,18.6,18.8,0.00 (0.00 %),,24444674000,17.84,18.03,1313746,0,
01/03/2022,,,0,19.1,19.1,18.6,-0.50 (-2.62 %),,41418987400,18.6,18.6,2205245,0,
28/02/2022,,,0,19.3,19.4,19.0,-0.30 (-1.55 %),,21198656000,19.0,19.0,1108230,0,
25/02/2022,,,0,19.4,19.4,19.4,0.00 (0.00 %),,12417316800,19.4,19.4,642670,0,
24/02/2022,,,0,19.7,19.6,19.3,-0.40 (-2.03 %),,37593001000,19.3,19.3,1940776,0,
23/02/2022,,,0,19.3,19.4,19.7,0.40 (2.07 %),,84823205900,19.7,19.7,4302186,0,
22/02/2022,,,0,19.4,19.4,19.4,0.00 (0.00 %),,26458299000,19.4,19.4,1373659,0,
21/02/2022,,,0,19.4,19.5,19.4,0.00 (0.00 %),,18567623800,19.4,19.4,955482,0,
18/02/2022,,,0,19.5,19.6,19.5,0.00 (0.00 %),,15353701600,19.5,19.5,792865,0,
17/02/2022,,,0,19.5,19.5,19.6,0.10 (0.51 %),,21038598400,19.6,19.6,1079872,0,
16/02/2022,,,0,19.4,19.5,19.6,0.20 (1.03 %),,19851917400,19.6,19.6,1015479,0,
15/02/2022,,,0,19.3,19.4,19.5,0.20 (1.04 %),,15596501700,19.5,19.5,805706,0,
14/02/2022,,,0,19.1,19.1,19.4,0.30 (1.57 %),,28891195500,19.4,19.4,1497627,0,
11/02/2022,,,0,18.9,19.0,19.2,0.30 (1.59 %),,18727910000,19.2,19.2,978220,0,
10/02/2022,,,0,18.8,19.0,19.0,0.20 (1.06 %),,29426098800,19.0,19.0,1555222,0,
09/02/2022,,,0,18.7,18.6,18.8,0.10 (0.53 %),,15721381800,18.8,18.8,837525,0,
08/02/2022,,,0,18.3,18.4,18.8,0.50 (2.73 %),,11654944500,18.8,18.8,622511,0,
07/02/2022,,,0,18.0,18.0,18.5,0.50 (2.78 %),,14186722200,18.5,18.5,774065,0,
28/01/2022,,,0,17.9,17.9,18.0,0.10 (0.56 %),,8572907300,18.0,18.0,477417,0,
27/01/2022,,,0,17.8,17.9,18.0,0.20 (1.12 %),,8511824000,18.0,18.0,475028,0,
26/01/2022,,,0,17.8,18.0,17.9,0.10 (0.56 %),,13143225600,17.9,17.9,737312,0,
25/01/2022,,,0,17.9,17.5,18.2,0.30 (1.68 %),,12501497200,18.2,18.2,702610,0,
24/01/2022,,,0,18.4,18.3,17.6,-0.80 (-4.35 %),,21348648500,17.6,17.6,1191935,0,
21/01/2022,,,0,19.0,18.7,18.4,-0.60 (-3.16 %),,33906262700,18.4,18.4,1838348,0,
20/01/2022,,,0,18.4,18.5,19.1,0.70 (3.80 %),,21699390100,19.1,19.1,1140242,0,
19/01/2022,,,0,18.3,18.3,18.6,0.30 (1.64 %),,15345043200,18.6,18.6,836047,0,
18/01/2022,,,0,18.7,18.2,18.2,-0.50 (-2.67 %),,24044775100,18.2,18.2,1314441,0,
17/01/2022,,,0,18.8,18.9,18.4,-0.40 (-2.13 %),,37183162000,18.4,18.4,1990343,0,
14/01/2022,,,14284400000,19.2,19.2,18.9,-0.30 (-1.56 %),,18831706500,18.9,18.9,999585,871000,
