date,change_perc1,change_perc2,open,high,low,close,avg,volume_match,volume_reconcile,adjust,change_perc,value_match,value_reconcile,Unnamed: 0
04/04/2022,,,0,4.10,4.10,4.10,0.00 (0.00 %),,0,4.10,4.10,0,0,
01/04/2022,,,0,4.40,3.8,4.60,0.20 (4.55 %),,22074000,4.60,4.60,5430,0,
31/03/2022,,,0,4.40,4.40,4.40,0.00 (0.00 %),,0,4.40,4.40,0,0,
30/03/2022,,,0,4.4,4.4,4.4,0.00 (0.00 %),,0,4.4,4.4,0,0,
29/03/2022,,,0,4.4,4.4,4.4,0.00 (0.00 %),,0,4.4,4.4,0,0,
28/03/2022,,,0,4.4,4.4,4.4,0.00 (0.00 %),,0,4.4,4.4,0,0,
25/03/2022,,,0,4.3,4.3,4.6,0.30 (6.98 %),,48256000,4.6,4.6,11040,0,
24/03/2022,,,0,4.3,4.3,4.3,0.00 (0.00 %),,0,4.3,4.3,0,0,
23/03/2022,,,0,4.3,4.3,4.3,0.00 (0.00 %),,0,4.3,4.3,0,0,
22/03/2022,,,0,4.3,4.3,4.3,0.00 (0.00 %),,0,4.3,4.3,0,0,
21/03/2022,,,0,4.3,4.3,4.3,0.00 (0.00 %),,0,4.3,4.3,0,0,
18/03/2022,,,0,4.2,4.2,4.3,0.10 (2.38 %),,63130000,4.3,4.3,14800,0,
17/03/2022,,,0,4.2,4.2,4.2,0.00 (0.00 %),,0,4.2,4.2,0,0,
16/03/2022,,,0,4.2,4.2,4.2,0.00 (0.00 %),,0,4.2,4.2,0,0,
15/03/2022,,,0,4.2,4.2,4.2,0.00 (0.00 %),,0,4.2,4.2,0,0,
14/03/2022,,,0,4.2,4.2,4.2,0.00 (0.00 %),,0,4.2,4.2,0,0,
11/03/2022,,,0,4.1,4.3,4.2,0.10 (2.44 %),,19540000,4.2,4.2,4600,0,
10/03/2022,,,0,4.1,4.1,4.1,0.00 (0.00 %),,0,4.1,4.1,0,0,
09/03/2022,,,0,4.1,4.1,4.1,0.00 (0.00 %),,0,4.1,4.1,0,0,
08/03/2022,,,0,4.1,4.1,4.1,0.00 (0.00 %),,0,4.1,4.1,0,0,
07/03/2022,,,0,4.1,4.1,4.1,0.00 (0.00 %),,0,4.1,4.1,0,0,
04/03/2022,,,0,4.2,4.2,4.1,-0.10 (-2.38 %),,70690000,4.1,4.1,17200,0,
03/03/2022,,,0,4.2,4.2,4.2,0.00 (0.00 %),,0,4.2,4.2,0,0,
02/03/2022,,,0,4.2,4.2,4.2,0.00 (0.00 %),,0,4.2,4.2,0,0,
01/03/2022,,,0,4.2,4.2,4.2,0.00 (0.00 %),,0,4.2,4.2,0,0,
28/02/2022,,,0,4.2,4.2,4.2,0.00 (0.00 %),,0,4.2,4.2,0,0,
25/02/2022,,,0,4.2,4.3,4.2,0.00 (0.00 %),,69530000,4.2,4.2,16600,0,
24/02/2022,,,0,4.2,4.2,4.2,0.00 (0.00 %),,0,4.2,4.2,0,0,
23/02/2022,,,0,4.2,4.2,4.2,0.00 (0.00 %),,0,4.2,4.2,0,0,
22/02/2022,,,0,4.2,4.2,4.2,0.00 (0.00 %),,0,4.2,4.2,0,0,
21/02/2022,,,0,4.2,4.2,4.2,0.00 (0.00 %),,0,4.2,4.2,0,0,
18/02/2022,,,0,4.1,4.2,4.2,0.10 (2.44 %),,63400000,4.2,4.2,15200,0,
17/02/2022,,,0,4.1,4.1,4.1,0.00 (0.00 %),,0,4.1,4.1,0,0,
16/02/2022,,,0,4.1,4.1,4.1,0.00 (0.00 %),,0,4.1,4.1,0,0,
15/02/2022,,,0,4.1,4.1,4.1,0.00 (0.00 %),,0,4.1,4.1,0,0,
14/02/2022,,,0,4.1,4.1,4.1,0.00 (0.00 %),,0,4.1,4.1,0,0,
11/02/2022,,,0,3.9,4.0,4.2,0.30 (7.69 %),,6120000,4.2,4.2,1500,0,
10/02/2022,,,0,3.9,3.9,3.9,0.00 (0.00 %),,0,3.9,3.9,0,0,
09/02/2022,,,0,3.9,3.9,3.9,0.00 (0.00 %),,0,3.9,3.9,0,0,
08/02/2022,,,0,3.9,3.9,3.9,0.00 (0.00 %),,0,3.9,3.9,0,0,
07/02/2022,,,0,3.9,3.9,3.9,0.00 (0.00 %),,0,3.9,3.9,0,0,
28/01/2022,,,0,4.2,3.9,4.1,-0.10 (-2.38 %),,99050000,4.1,4.1,25600,0,
27/01/2022,,,0,4.2,4.2,4.2,0.00 (0.00 %),,0,4.2,4.2,0,0,
26/01/2022,,,0,4.2,4.2,4.2,0.00 (0.00 %),,0,4.2,4.2,0,0,
25/01/2022,,,0,4.2,4.2,4.2,0.00 (0.00 %),,0,4.2,4.2,0,0,
24/01/2022,,,0,4.2,4.2,4.2,0.00 (0.00 %),,0,4.2,4.2,0,0,
21/01/2022,,,0,4.6,4.6,4.1,-0.50 (-10.87 %),,333830000,4.1,4.1,80200,0,
20/01/2022,,,0,4.6,4.6,4.6,0.00 (0.00 %),,0,4.6,4.6,0,0,
19/01/2022,,,0,4.6,4.6,4.6,0.00 (0.00 %),,0,4.6,4.6,0,0,
18/01/2022,,,0,4.6,4.6,4.6,0.00 (0.00 %),,0,4.6,4.6,0,0,
17/01/2022,,,0,4.6,4.6,4.6,0.00 (0.00 %),,0,4.6,4.6,0,0,
14/01/2022,,,0,4.7,4.7,4.6,-0.10 (-2.13 %),,30880000,4.6,4.6,6700,0,
13/01/2022,,,0,4.7,4.7,4.7,0.00 (0.00 %),,0,4.7,4.7,0,0,
12/01/2022,,,0,4.7,4.7,4.7,0.00 (0.00 %),,0,4.7,4.7,0,0,
11/01/2022,,,0,4.7,4.7,4.7,0.00 (0.00 %),,0,4.7,4.7,0,0,
10/01/2022,,,0,4.7,4.7,4.7,0.00 (0.00 %),,0,4.7,4.7,0,0,
07/01/2022,,,0,4.6,4.6,5.1,0.50 (10.87 %),,221450000,5.1,5.1,47100,0,
06/01/2022,,,0,4.6,4.6,4.6,0.00 (0.00 %),,0,4.6,4.6,0,0,
05/01/2022,,,0,4.6,4.6,4.6,0.00 (0.00 %),,0,4.6,4.6,0,0,
04/01/2022,,,0,4.6,4.6,4.6,0.00 (0.00 %),,0,4.6,4.6,0,0,
31/12/2021,,,0,5.1,5.0,4.6,-0.50 (-9.80 %),,157146000,4.6,4.6,34210,0,
30/12/2021,,,0,5.1,5.1,5.1,0.00 (0.00 %),,0,5.1,5.1,0,0,3.0
29/12/2021,,,0,5.1,5.1,5.1,0.00 (0.00 %),,0,5.1,5.1,0,0,4.0
28/12/2021,,,0,5.1,5.1,5.1,0.00 (0.00 %),,0,5.1,5.1,0,0,5.0
27/12/2021,,,0,5.1,5.1,5.1,0.00 (0.00 %),,0,5.1,5.1,0,0,6.0
24/12/2021,,,0,4.7,5.1,5.0,0.30 (6.38 %),,3050000,5.0,5.0,600,0,7.0
23/12/2021,,,0,4.7,4.7,4.7,0.00 (0.00 %),,0,4.7,4.7,0,0,8.0
21/12/2021,,,0,4.7,4.7,4.7,0.00 (0.00 %),,0,4.7,4.7,0,0,9.0
20/12/2021,,,0,4.7,4.7,4.7,0.00 (0.00 %),,0,4.7,4.7,0,0,10.0
17/12/2021,,,0,4.6,4.6,4.8,0.20 (4.35 %),,128660000,4.8,4.8,27200,0,11.0
16/12/2021,,,0,4.6,4.6,4.6,0.00 (0.00 %),,0,4.6,4.6,0,0,12.0
15/12/2021,,,0,4.6,4.6,4.6,0.00 (0.00 %),,0,4.6,4.6,0,0,13.0
14/12/2021,,,0,4.6,4.6,4.6,0.00 (0.00 %),,0,4.6,4.6,0,0,14.0
13/12/2021,,,0,4.6,4.6,4.6,0.00 (0.00 %),,0,4.6,4.6,0,0,15.0
10/12/2021,,,0,5.2,5.1,4.6,-0.60 (-11.54 %),,770410000,4.6,4.6,168100,0,16.0
09/12/2021,,,0,5.2,5.2,5.2,0.00 (0.00 %),,0,5.2,5.2,0,0,17.0
08/12/2021,,,0,5.2,5.2,5.2,0.00 (0.00 %),,0,5.2,5.2,0,0,18.0
07/12/2021,,,0,5.2,5.2,5.2,0.00 (0.00 %),,0,5.2,5.2,0,0,19.0
06/12/2021,,,0,5.2,5.2,5.2,0.00 (0.00 %),,0,5.2,5.2,0,0,20.0
03/12/2021,,,0,6.0,5.5,5.1,-0.90 (-15.00 %),,302260000,5.1,5.1,58500,0,21.0
02/12/2021,,,0,6.0,6.0,6.0,0.00 (0.00 %),,0,6.0,6.0,0,0,2.0
01/12/2021,,,0,6.0,6.0,6.0,0.00 (0.00 %),,0,6.0,6.0,0,0,3.0
30/11/2021,,,0,6.0,6.0,6.0,0.00 (0.00 %),,0,6.0,6.0,0,0,4.0
29/11/2021,,,0,6.0,6.0,6.0,0.00 (0.00 %),,0,6.0,6.0,0,0,5.0
26/11/2021,,,0,6.0,6.9,6.0,0.00 (0.00 %),,203820000,6.0,6.0,33805,0,6.0
25/11/2021,,,0,6.0,6.0,6.0,0.00 (0.00 %),,0,6.0,6.0,0,0,7.0
24/11/2021,,,0,6.0,6.0,6.0,0.00 (0.00 %),,0,6.0,6.0,0,0,8.0
23/11/2021,,,0,6.0,6.0,6.0,0.00 (0.00 %),,0,6.0,6.0,0,0,9.0
22/11/2021,,,0,6.0,6.0,6.0,0.00 (0.00 %),,0,6.0,6.0,0,0,10.0
19/11/2021,,,0,5.3,5.5,6.0,0.70 (13.21 %),,208919500,6.0,6.0,35010,0,11.0
18/11/2021,,,0,5.3,5.3,5.3,0.00 (0.00 %),,0,5.3,5.3,0,0,12.0
17/11/2021,,,0,5.3,5.3,5.3,0.00 (0.00 %),,0,5.3,5.3,0,0,13.0
16/11/2021,,,0,5.3,5.3,5.3,0.00 (0.00 %),,0,5.3,5.3,0,0,14.0
15/11/2021,,,0,5.3,5.3,5.3,0.00 (0.00 %),,0,5.3,5.3,0,0,15.0
12/11/2021,,,0,4.8,4.6,5.5,0.70 (14.58 %),,205475000,5.5,5.5,38810,0,16.0
11/11/2021,,,0,4.8,4.8,4.8,0.00 (0.00 %),,0,4.8,4.8,0,0,17.0
10/11/2021,,,0,4.8,4.8,4.8,0.00 (0.00 %),,0,4.8,4.8,0,0,18.0
09/11/2021,,,0,4.8,4.8,4.8,0.00 (0.00 %),,0,4.8,4.8,0,0,19.0
08/11/2021,,,0,4.8,4.8,4.8,0.00 (0.00 %),,0,4.8,4.8,0,0,20.0
05/11/2021,,,0,4.9,4.4,4.8,-0.10 (-2.04 %),,92442000,4.8,4.8,19210,0,21.0
04/11/2021,,,0,4.9,4.9,4.9,0.00 (0.00 %),,0,4.9,4.9,0,0,2.0
03/11/2021,,,0,4.9,4.9,4.9,0.00 (0.00 %),,0,4.9,4.9,0,0,3.0
02/11/2021,,,0,4.9,4.9,4.9,0.00 (0.00 %),,0,4.9,4.9,0,0,4.0
01/11/2021,,,0,4.9,4.9,4.9,0.00 (0.00 %),,0,4.9,4.9,0,0,5.0
29/10/2021,,,0,4.5,5.1,4.9,0.40 (8.89 %),,133680000,4.9,4.9,27304,0,6.0
28/10/2021,,,0,4.5,4.5,4.5,0.00 (0.00 %),,0,4.5,4.5,0,0,7.0
27/10/2021,,,0,4.5,4.5,4.5,0.00 (0.00 %),,0,4.5,4.5,0,0,8.0
26/10/2021,,,0,4.5,4.5,4.5,0.00 (0.00 %),,0,4.5,4.5,0,0,9.0
25/10/2021,,,0,4.5,4.5,4.5,0.00 (0.00 %),,0,4.5,4.5,0,0,10.0
22/10/2021,,,0,4.3,4.0,4.5,0.20 (4.65 %),,7580000,4.5,4.5,1700,0,11.0
21/10/2021,,,0,4.3,4.3,4.3,0.00 (0.00 %),,0,4.3,4.3,0,0,12.0
20/10/2021,,,0,4.3,4.3,4.3,0.00 (0.00 %),,0,4.3,4.3,0,0,13.0
19/10/2021,,,0,4.3,4.3,4.3,0.00 (0.00 %),,0,4.3,4.3,0,0,14.0
18/10/2021,,,0,4.3,4.3,4.3,0.00 (0.00 %),,0,4.3,4.3,0,0,15.0
15/10/2021,,,0,4.3,4.3,4.3,0.00 (0.00 %),,51543000,4.3,4.3,12130,0,16.0
14/10/2021,,,0,4.3,4.3,4.3,0.00 (0.00 %),,0,4.3,4.3,0,0,17.0
13/10/2021,,,0,4.3,4.3,4.3,0.00 (0.00 %),,0,4.3,4.3,0,0,18.0
12/10/2021,,,0,4.3,4.3,4.3,0.00 (0.00 %),,0,4.3,4.3,0,0,19.0
11/10/2021,,,0,4.3,4.3,4.3,0.00 (0.00 %),,0,4.3,4.3,0,0,20.0
08/10/2021,,,0,4.3,4.4,4.2,-0.10 (-2.33 %),,32170000,4.2,4.2,7500,0,21.0
07/10/2021,,,0,4.3,4.3,4.3,0.00 (0.00 %),,0,4.3,4.3,0,0,2.0
06/10/2021,,,0,4.3,4.3,4.3,0.00 (0.00 %),,0,4.3,4.3,0,0,3.0
05/10/2021,,,0,4.3,4.3,4.3,0.00 (0.00 %),,0,4.3,4.3,0,0,4.0
04/10/2021,,,0,4.3,4.3,4.3,0.00 (0.00 %),,0,4.3,4.3,0,0,5.0
01/10/2021,,,0,4.4,4.4,4.2,-0.20 (-4.55 %),,124940000,4.2,4.2,29000,0,6.0
30/09/2021,,,0,4.4,4.4,4.4,0.00 (0.00 %),,0,4.4,4.4,0,0,7.0
29/09/2021,,,0,4.4,4.4,4.4,0.00 (0.00 %),,0,4.4,4.4,0,0,8.0
28/09/2021,,,0,4.4,4.4,4.4,0.00 (0.00 %),,0,4.4,4.4,0,0,9.0
27/09/2021,,,0,4.4,4.4,4.4,0.00 (0.00 %),,0,4.4,4.4,0,0,10.0
24/09/2021,,,0,4.2,4.6,4.2,0.00 (0.00 %),,98630000,4.2,4.2,22300,0,11.0
23/09/2021,,,0,4.2,4.2,4.2,0.00 (0.00 %),,0,4.2,4.2,0,0,12.0
