date,change_perc1,change_perc2,open,high,low,close,avg,volume_match,volume_reconcile,adjust,change_perc,value_match,value_reconcile,Unnamed: 0
04/04/2022,,,0,8.80,8.80,8.60,-0.20 (-2.27 %),,12268000,8.60,8.60,1410,0,
01/04/2022,,,0,8.80,8.8,8.80,0.00 (0.00 %),,0,8.80,8.80,0,0,
31/03/2022,,,0,8.60,8.70,9.00,0.40 (4.65 %),,10500000,9.00,9.00,1200,0,
30/03/2022,,,0,9.0,8.7,8.7,-0.30 (-3.33 %),,36210000,8.7,8.7,4200,0,
29/03/2022,,,0,8.8,8.9,9.0,0.20 (2.27 %),,53740000,9.0,9.0,6000,0,
28/03/2022,,,0,8.7,8.7,9.0,0.30 (3.45 %),,5250000,9.0,9.0,600,0,
25/03/2022,,,0,8.8,8.7,8.8,0.00 (0.00 %),,96710000,8.8,8.8,11100,0,
24/03/2022,,,0,8.8,8.8,8.7,-0.10 (-1.14 %),,23750000,8.7,8.7,2700,0,
23/03/2022,,,0,8.8,8.8,8.8,0.00 (0.00 %),,9680000,8.8,8.8,1100,0,
22/03/2022,,,0,8.5,8.7,8.8,0.30 (3.53 %),,7010000,8.8,8.8,800,0,
21/03/2022,,,0,8.9,8.6,8.6,-0.30 (-3.37 %),,288790000,8.6,8.6,33800,0,
18/03/2022,,,0,8.7,8.9,8.9,0.20 (2.30 %),,17800000,8.9,8.9,2000,0,
17/03/2022,,,0,8.7,8.8,8.7,0.00 (0.00 %),,6930000,8.7,8.7,800,0,
16/03/2022,,,0,8.7,8.7,8.7,0.00 (0.00 %),,7830000,8.7,8.7,900,0,
15/03/2022,,,0,8.6,8.7,8.6,0.00 (0.00 %),,16520000,8.6,8.6,1900,0,
14/03/2022,,,0,8.7,8.6,8.6,-0.10 (-1.15 %),,7740000,8.6,8.6,900,0,
11/03/2022,,,0,8.6,8.7,8.7,0.10 (1.16 %),,26100000,8.7,8.7,3000,0,
10/03/2022,,,0,8.5,8.6,8.6,0.10 (1.18 %),,6880000,8.6,8.6,800,0,
09/03/2022,,,0,8.5,8.5,8.5,0.00 (0.00 %),,0,8.5,8.5,0,0,
08/03/2022,,,0,8.9,8.5,8.9,0.00 (0.00 %),,31530000,8.9,8.9,3700,0,
07/03/2022,,,0,8.9,8.9,8.9,0.00 (0.00 %),,0,8.9,8.9,0,0,
04/03/2022,,,0,9.0,8.9,8.9,-0.10 (-1.11 %),,3560000,8.9,8.9,400,0,
03/03/2022,,,0,8.6,9.0,9.0,0.40 (4.65 %),,900000,9.0,9.0,100,0,
02/03/2022,,,0,8.5,8.6,8.6,0.10 (1.18 %),,2580000,8.6,8.6,300,0,
01/03/2022,,,0,8.5,8.5,8.6,0.10 (1.18 %),,197460000,8.6,8.6,23200,0,
28/02/2022,,,0,9.1,8.5,8.5,-0.60 (-6.59 %),,8500000,8.5,8.5,1000,0,
25/02/2022,,,0,9.1,9.1,9.1,0.00 (0.00 %),,0,9.1,9.1,0,0,
24/02/2022,,,0,8.9,9.1,9.1,0.20 (2.25 %),,4550000,9.1,9.1,500,0,
23/02/2022,,,0,8.8,8.7,8.9,0.10 (1.14 %),,5320000,8.9,8.9,600,0,
22/02/2022,,,0,8.8,8.8,8.8,0.00 (0.00 %),,0,8.8,8.8,0,0,
21/02/2022,,,0,8.8,8.8,8.8,0.00 (0.00 %),,0,8.8,8.8,0,0,
18/02/2022,,,0,8.8,8.8,8.8,0.00 (0.00 %),,0,8.8,8.8,0,0,
17/02/2022,,,0,8.8,8.8,8.8,0.00 (0.00 %),,0,8.8,8.8,0,0,
16/02/2022,,,0,9.0,9.5,8.7,-0.30 (-3.33 %),,10570000,8.7,8.7,1200,0,
15/02/2022,,,0,9.0,9.0,9.0,0.00 (0.00 %),,0,9.0,9.0,0,0,
14/02/2022,,,0,9.0,9.0,9.0,0.00 (0.00 %),,0,9.0,9.0,0,0,
11/02/2022,,,0,9.0,9.0,9.0,0.00 (0.00 %),,900000,9.0,9.0,100,0,
10/02/2022,,,0,9.0,9.0,9.0,0.00 (0.00 %),,0,9.0,9.0,0,0,
09/02/2022,,,0,9.0,9.0,9.0,0.00 (0.00 %),,0,9.0,9.0,0,0,
08/02/2022,,,0,8.7,9.0,9.0,0.30 (3.45 %),,3600000,9.0,9.0,400,0,
07/02/2022,,,0,8.7,8.7,8.7,0.00 (0.00 %),,0,8.7,8.7,0,0,
28/01/2022,,,0,8.5,8.8,8.7,0.20 (2.35 %),,4350000,8.7,8.7,500,0,
27/01/2022,,,0,8.6,8.5,8.5,-0.10 (-1.16 %),,850000,8.5,8.5,100,0,
26/01/2022,,,0,8.7,8.6,8.6,-0.10 (-1.15 %),,860000,8.6,8.6,100,0,
25/01/2022,,,0,8.7,8.7,8.7,0.00 (0.00 %),,0,8.7,8.7,0,0,
24/01/2022,,,0,9.2,9.0,8.7,-0.50 (-5.43 %),,27890000,8.7,8.7,3200,0,
21/01/2022,,,0,9.8,8.6,9.7,-0.10 (-1.02 %),,7360000,9.7,9.7,800,0,
20/01/2022,,,0,9.8,9.8,9.8,0.00 (0.00 %),,0,9.8,9.8,0,0,
19/01/2022,,,0,9.8,9.8,9.8,0.00 (0.00 %),,0,9.8,9.8,0,0,
18/01/2022,,,0,9.8,9.8,9.8,0.00 (0.00 %),,0,9.8,9.8,0,0,
17/01/2022,,,0,9.8,9.8,9.8,0.00 (0.00 %),,0,9.8,9.8,0,0,
14/01/2022,,,0,9.2,9.8,9.8,0.60 (6.52 %),,980000,9.8,9.8,100,0,
13/01/2022,,,0,9.3,9.2,9.2,-0.10 (-1.08 %),,2760000,9.2,9.2,300,0,
12/01/2022,,,0,8.9,9.9,9.0,0.10 (1.12 %),,12030000,9.0,9.0,1300,0,
11/01/2022,,,0,8.9,8.9,8.9,0.00 (0.00 %),,0,8.9,8.9,0,0,
10/01/2022,,,0,9.1,8.9,9.0,-0.10 (-1.10 %),,3570000,9.0,9.0,400,0,
07/01/2022,,,0,9.0,9.1,9.1,0.10 (1.11 %),,910000,9.1,9.1,100,0,
06/01/2022,,,0,9.0,9.0,9.0,0.00 (0.00 %),,0,9.0,9.0,0,0,
05/01/2022,,,0,8.8,9.0,9.0,0.20 (2.27 %),,1800000,9.0,9.0,200,0,
04/01/2022,,,0,8.6,9.0,8.7,0.10 (1.16 %),,13130000,8.7,8.7,1500,0,
31/12/2021,,,0,8.7,8.6,8.7,0.00 (0.00 %),,48300000,8.7,8.7,5600,0,
30/12/2021,,,0,8.5,8.8,8.6,0.10 (1.18 %),,13840000,8.6,8.6,1600,0,3.0
