date,change_perc1,change_perc2,open,high,low,close,avg,volume_match,volume_reconcile,adjust,change_perc,value_match,value_reconcile,Unnamed: 0
04/04/2022,,,24.50,24.70,24.15,24.25,,3747400,981005,24.25,-0.05 (-0.21 %),91347000000,22452713000,
01/04/2022,,,23.60,24.30,23.55,24.30,,4127800,225100,24.30,0.30 (1.25 %),98654000000,5331450000,
31/03/2022,,,24.1,24.4,23.75,24.0,,3663700,241000,24.0,-0.10 (-0.41 %),87846000000,5493800000,
30/03/2022,,,24.6,24.9,23.8,24.05,,4845700,1076000,24.05,-0.75 (-3.02 %),117584000000,24801800000,
29/03/2022,,,24.1,25.0,23.9,24.75,,7536500,191000,24.75,0.75 (3.13 %),184343000000,4332450000,
28/03/2022,,,24.0,24.55,23.6,24.0,,5636500,8489561,24.0,0.00 (0.00 %),135406000000,198760189350,
25/03/2022,,,23.4,24.0,23.4,24.0,,4936200,0,24.0,0.60 (2.56 %),117051000000,0,
24/03/2022,,,23.2,23.5,23.2,23.35,,4239900,50000,23.35,0.15 (0.65 %),99074000000,1160000000,
23/03/2022,,,23.45,23.6,23.1,23.2,,3083400,0,23.2,-0.20 (-0.85 %),71908000000,0,
22/03/2022,,,23.5,23.85,23.4,23.4,,3641000,0,23.4,0.10 (0.43 %),86022000000,0,
21/03/2022,,,23.2,23.5,23.05,23.3,,3479100,0,23.3,0.30 (1.30 %),80993000000,0,
18/03/2022,,,23.25,23.35,23.0,23.0,,4244600,0,23.0,-0.20 (-0.86 %),97970000000,0,
17/03/2022,,,23.2,23.6,23.0,23.2,,3434900,0,23.2,0.20 (0.87 %),80030000000,0,
16/03/2022,,,23.0,23.45,22.9,23.0,,3665500,0,23.0,0.00 (0.00 %),84764000000,0,
15/03/2022,,,22.8,23.0,22.3,23.0,,4239100,0,23.0,0.00 (0.00 %),96126000000,0,
14/03/2022,,,23.5,23.5,22.5,23.0,,7242600,0,23.0,-0.70 (-2.95 %),166037000000,0,
11/03/2022,,,24.35,24.5,23.5,23.7,,6000000,0,23.7,-0.70 (-2.87 %),144453000000,0,
10/03/2022,,,24.3,24.8,23.95,24.4,,5002300,0,24.4,0.30 (1.24 %),121671000000,0,
09/03/2022,,,24.6,24.95,23.8,24.05,,6141700,0,24.05,-0.55 (-2.24 %),148592000000,0,
08/03/2022,,,25.0,25.65,24.55,24.55,,8680400,0,24.55,-0.95 (-3.73 %),216885000000,0,
07/03/2022,,,24.75,25.95,24.7,25.5,,9217700,0,25.5,0.90 (3.66 %),233685000000,0,
04/03/2022,,,25.0,25.1,24.3,24.6,,5920200,0,24.6,0.00 (0.00 %),146125000000,0,
03/03/2022,,,23.2,24.6,23.0,24.6,,11785400,0,24.6,1.60 (6.96 %),283552000000,0,
02/03/2022,,,23.35,23.4,22.8,23.0,,4501500,0,23.0,0.00 (0.00 %),103918000000,0,
01/03/2022,,,22.8,23.2,22.6,23.0,,4549300,103400,23.0,0.40 (1.77 %),104069000000,2176570000,
28/02/2022,,,22.8,22.85,22.45,22.6,,2819700,0,22.6,-0.30 (-1.31 %),63750000000,0,
25/02/2022,,,22.9,23.2,22.7,22.9,,3865400,90000,22.9,0.10 (0.44 %),88577000000,2115000000,
24/02/2022,,,23.45,23.7,22.3,22.75,,4868000,0,22.75,-0.85 (-3.60 %),112030000000,0,
23/02/2022,,,22.9,23.65,22.8,23.6,,6157900,1763000,23.6,0.80 (3.51 %),143852000000,40549000000,
22/02/2022,,,22.8,22.95,22.4,22.8,,3724100,90000,22.8,-0.20 (-0.87 %),84439000000,2070000000,
21/02/2022,,,22.8,23.25,22.75,23.0,,4183500,503000,23.0,0.10 (0.44 %),95980000000,11581400000,
18/02/2022,,,22.85,23.05,22.75,22.9,,3172200,0,22.9,-0.10 (-0.43 %),72499000000,0,
17/02/2022,,,23.05,23.4,22.8,23.0,,3351700,0,23.0,0.00 (0.00 %),77269000000,0,
16/02/2022,,,22.4,23.1,22.4,23.0,,2951200,0,23.0,0.50 (2.22 %),67159000000,0,
15/02/2022,,,22.4,22.5,22.0,22.45,,3057000,250000,22.45,-0.05 (-0.22 %),68195000000,5750000000,
14/02/2022,,,22.6,23.0,22.45,22.45,,4267400,0,22.45,-0.45 (-1.97 %),96636000000,0,
11/02/2022,,,22.9,23.15,22.8,22.85,,2771700,424000,22.85,-0.15 (-0.65 %),63606000000,10430400000,
10/02/2022,,,23.25,23.35,22.85,23.0,,2927500,0,23.0,0.00 (0.00 %),67496000000,0,
