date,change_perc1,change_perc2,open,high,low,close,avg,volume_match,volume_reconcile,adjust,change_perc,value_match,value_reconcile,Unnamed: 0
04/04/2022,,,11.00,11.00,11.00,10.80,,6100,0,10.80,-0.20 (-1.82 %),65960000,0,
31/03/2022,,,11.60,11.0,11.60,11.50,,6801,0,11.50,-0.10 (-0.86 %),75541300,0,
30/03/2022,,,11.8,11.5,11.7,11.6,,16200,0,11.6,-0.20 (-1.69 %),184420000,0,
29/03/2022,,,11.9,11.5,11.8,11.8,,8900,0,11.8,-0.10 (-0.84 %),103290000,0,
28/03/2022,,,11.6,11.6,11.9,11.9,,17100,0,11.9,0.30 (2.59 %),194720000,0,
25/03/2022,,,11.7,11.7,11.7,11.6,,23909,0,11.6,-0.10 (-0.85 %),277624400,0,
24/03/2022,,,11.7,11.7,11.8,11.7,,14300,0,11.7,0.00 (0.00 %),167420000,0,
23/03/2022,,,12.0,11.8,12.0,11.7,,13900,0,11.7,-0.30 (-2.50 %),164030000,0,
22/03/2022,,,11.9,11.8,12.4,12.0,,54700,0,12.0,0.10 (0.84 %),656520000,0,
21/03/2022,,,11.8,11.8,12.4,11.9,,34530,0,11.9,0.10 (0.85 %),409604000,0,
18/03/2022,,,11.9,11.9,12.0,11.8,,11700,0,11.8,-0.10 (-0.84 %),138920000,0,
17/03/2022,,,12.0,12.0,12.0,11.9,,8800,0,11.9,-0.10 (-0.83 %),105170000,0,
16/03/2022,,,12.9,12.9,12.9,12.0,,31598,0,12.0,-0.90 (-6.98 %),384173100,0,
15/03/2022,,,13.1,13.0,13.0,12.9,,19100,0,12.9,-0.20 (-1.53 %),242480000,0,
14/03/2022,,,12.3,12.0,13.1,13.1,,11717,0,13.1,0.80 (6.50 %),143277400,0,
11/03/2022,,,12.9,12.9,13.4,12.3,,34400,0,12.3,-0.60 (-4.65 %),448090000,0,
10/03/2022,,,12.2,12.2,13.0,12.9,,81395,0,12.9,0.70 (5.74 %),1032203500,0,
09/03/2022,,,11.9,11.9,12.2,12.2,,52050,0,12.2,0.30 (2.52 %),608280400,0,
08/03/2022,,,12.5,12.6,13.0,11.9,,31633,0,11.9,-0.60 (-4.80 %),399899400,0,
07/03/2022,,,11.8,11.8,12.9,12.5,,62600,0,12.5,0.70 (5.93 %),803400000,0,
04/03/2022,,,10.8,10.8,11.8,11.8,,51100,0,11.8,1.00 (9.26 %),594340000,0,
03/03/2022,,,10.6,10.7,10.9,10.8,,8600,0,10.8,0.20 (1.89 %),92930000,0,
02/03/2022,,,11.0,10.9,11.0,10.6,,33700,0,10.6,-0.40 (-3.64 %),365490000,0,
01/03/2022,,,10.9,10.9,11.1,11.0,,11600,0,11.0,0.10 (0.92 %),127470000,0,
28/02/2022,,,10.8,10.8,11.2,10.9,,20800,0,10.9,0.10 (0.93 %),228060000,0,
25/02/2022,,,10.5,10.5,11.0,10.8,,15700,0,10.8,0.30 (2.86 %),171460000,0,3.0
24/02/2022,,,11.0,10.9,10.9,10.5,,22300,0,10.5,-0.50 (-4.55 %),233560000,0,4.0
23/02/2022,,,10.8,10.6,11.0,11.0,,12101,0,11.0,0.20 (1.85 %),131530200,0,5.0
22/02/2022,,,11.0,11.0,11.0,10.8,,6100,0,10.8,-0.20 (-1.82 %),65400000,0,6.0
21/02/2022,,,10.7,10.6,11.0,11.0,,21100,0,11.0,0.30 (2.80 %),226470000,0,7.0
18/02/2022,,,10.8,10.8,10.8,10.7,,19700,0,10.7,-0.10 (-0.93 %),207210000,0,8.0
17/02/2022,,,10.6,10.5,10.9,10.8,,30200,0,10.8,0.20 (1.89 %),322800000,0,9.0
16/02/2022,,,10.7,10.5,10.6,10.6,,37041,0,10.6,-0.10 (-0.93 %),375888700,0,10.0
15/02/2022,,,10.7,10.3,10.7,10.7,,13100,0,10.7,0.00 (0.00 %),133480000,0,11.0
14/02/2022,,,11.0,10.8,11.1,10.7,,35300,0,10.7,-0.30 (-2.73 %),353650000,0,12.0
11/02/2022,,,10.9,11.3,11.3,11.0,,2713,0,11.0,0.10 (0.92 %),29771700,0,13.0
10/02/2022,,,11.3,11.3,11.5,10.9,,8900,0,10.9,-0.40 (-3.54 %),98080000,0,14.0
09/02/2022,,,10.8,11.1,11.3,11.3,,7700,0,11.3,0.50 (4.63 %),84970000,0,15.0
08/02/2022,,,10.0,10.5,11.0,10.8,,11562,0,10.8,0.80 (8.00 %),123902000,0,16.0
07/02/2022,,,9.1,9.2,10.0,10.0,,9200,0,10.0,0.90 (9.89 %),91220000,0,17.0
28/01/2022,,,10.0,9.3,10.0,9.1,,6952,0,9.1,-0.90 (-9.00 %),65053200,0,18.0
27/01/2022,,,9.5,9.5,10.0,10.0,,12400,0,10.0,0.50 (5.26 %),114900000,0,19.0
26/01/2022,,,10.2,10.2,10.2,9.5,,9409,0,9.5,-0.70 (-6.86 %),92861700,0,20.0
25/01/2022,,,9.8,9.1,10.2,10.2,,6400,0,10.2,0.40 (4.08 %),62960000,0,21.0
24/01/2022,,,10.8,10.8,10.8,9.8,,9100,0,9.8,-1.00 (-9.26 %),90190000,0,2.0
21/01/2022,,,10.5,10.8,10.8,10.8,,9350,0,10.8,0.30 (2.86 %),97530000,0,3.0
20/01/2022,,,10.0,9.1,11.0,10.5,,7600,0,10.5,0.50 (5.00 %),74150000,0,4.0
19/01/2022,,,10.0,10.0,10.6,10.0,,8100,0,10.0,0.00 (0.00 %),82370000,0,5.0
18/01/2022,,,11.1,11.0,11.0,10.0,,15600,0,10.0,-1.10 (-9.91 %),156360000,0,6.0
17/01/2022,,,12.3,12.0,12.0,11.1,,41000,0,11.1,-1.20 (-9.76 %),460400000,0,7.0
14/01/2022,,,12.2,11.4,12.3,12.3,,19241,0,12.3,0.10 (0.82 %),220756100,0,8.0
13/01/2022,,,12.7,12.7,12.7,12.2,,37400,0,12.2,-0.50 (-3.94 %),454010000,0,9.0
12/01/2022,,,13.9,13.8,14.0,12.7,,44488,0,12.7,-1.20 (-8.63 %),589556400,0,10.0
11/01/2022,,,13.6,13.5,14.8,13.9,,130200,0,13.9,0.30 (2.21 %),1849990000,0,11.0
10/01/2022,,,12.4,12.5,13.6,13.6,,132701,0,13.6,1.20 (9.68 %),1763952000,0,12.0
07/01/2022,,,12.1,12.1,12.5,12.4,,21700,0,12.4,0.30 (2.48 %),266330000,0,13.0
06/01/2022,,,12.2,12.0,12.1,12.1,,9000,0,12.1,-0.10 (-0.82 %),108240000,0,14.0
05/01/2022,,,12.5,12.5,12.5,12.2,,18300,0,12.2,-0.30 (-2.40 %),226740000,0,15.0
04/01/2022,,,11.8,11.8,12.6,12.5,,12900,0,12.5,0.70 (5.93 %),157900000,0,16.0
31/12/2021,,,12.1,12.1,12.1,11.8,,9000,0,11.8,-0.30 (-2.48 %),107920000,0,17.0
30/12/2021,,,12.1,12.0,12.1,12.1,,14100,0,12.1,0.00 (0.00 %),168210000,0,18.0
29/12/2021,,,12.1,12.0,12.1,12.1,,7500,0,12.1,0.00 (0.00 %),90120000,0,19.0
28/12/2021,,,12.1,12.0,12.3,12.1,,12700,0,12.1,0.00 (0.00 %),150820000,0,20.0
27/12/2021,,,12.7,12.6,12.6,12.1,,17920,0,12.1,-0.60 (-4.72 %),217804000,0,21.0
24/12/2021,,,12.7,12.7,12.9,12.7,,8342,0,12.7,0.00 (0.00 %),105791700,0,2.0
23/12/2021,,,13.1,13.1,13.1,12.7,,9300,0,12.7,-0.40 (-3.05 %),119830000,0,3.0
