date,change_perc1,change_perc2,open,high,low,close,avg,volume_match,volume_reconcile,adjust,change_perc,value_match,value_reconcile,Unnamed: 0
04/04/2022,,,38.90,39.00,39.60,38.50,,181727,0,38.50,-0.40 (-1.03 %),7045697100,0,
31/03/2022,,,38.30,38.3,40.00,38.20,,508301,0,38.20,-0.10 (-0.26 %),19427648300,0,
30/03/2022,,,42.3,42.2,42.2,38.3,,784773,0,38.3,-4.00 (-9.46 %),30936323600,0,
29/03/2022,,,42.2,42.3,44.0,42.3,,314468,0,42.3,0.10 (0.24 %),13440022800,0,
28/03/2022,,,39.4,43.3,43.3,42.2,,679751,0,42.2,2.80 (7.11 %),29058944400,0,
25/03/2022,,,35.9,36.5,39.4,39.4,,803254,0,39.4,3.50 (9.75 %),30760858700,0,
24/03/2022,,,35.9,35.9,36.8,35.9,,252870,0,35.9,0.00 (0.00 %),8997731300,0,
23/03/2022,,,36.2,36.0,37.0,35.9,,245528,0,35.9,-0.30 (-0.83 %),8807312400,0,
22/03/2022,,,36.6,37.0,37.0,36.2,,243333,0,36.2,-0.40 (-1.09 %),8824369500,0,
21/03/2022,,,36.5,36.6,38.0,36.6,,254028,0,36.6,0.10 (0.27 %),9365484000,0,
18/03/2022,,,37.0,36.5,37.4,36.5,,336000,0,36.5,-0.50 (-1.35 %),12157000000,0,
17/03/2022,,,38.4,38.4,40.0,37.0,,298017,0,37.0,-1.40 (-3.65 %),11515307000,0,
16/03/2022,,,37.0,37.0,40.0,38.4,,222869,0,38.4,1.40 (3.78 %),8622240800,0,
15/03/2022,,,34.6,34.5,37.2,37.0,,568675,0,37.0,2.40 (6.94 %),19378032900,0,
14/03/2022,,,36.0,35.5,36.0,34.6,,461675,34,34.6,-1.40 (-3.89 %),15990734000,1101600,
11/03/2022,,,34.7,34.8,38.0,36.0,,610762,0,36.0,1.30 (3.75 %),22326079400,0,
10/03/2022,,,31.6,31.3,34.7,34.7,,687381,0,34.7,3.10 (9.81 %),23101134200,0,
09/03/2022,,,31.1,31.1,32.1,31.6,,652649,0,31.6,0.50 (1.61 %),19948766900,0,
08/03/2022,,,28.4,28.4,31.2,31.1,,750164,0,31.1,2.70 (9.51 %),23103609600,0,
07/03/2022,,,25.9,26.0,28.4,28.4,,725163,0,28.4,2.50 (9.65 %),20443345900,0,
04/03/2022,,,23.6,23.7,25.9,25.9,,312100,0,25.9,2.30 (9.75 %),7797090000,0,
03/03/2022,,,23.3,23.4,24.4,23.6,,185255,0,23.6,0.30 (1.29 %),4397388800,0,
02/03/2022,,,24.4,23.4,24.4,23.3,,70122,0,23.3,-1.10 (-4.51 %),1661618000,0,
01/03/2022,,,23.7,23.8,24.8,24.4,,146392,0,24.4,0.70 (2.95 %),3523973600,0,
28/02/2022,,,24.7,24.7,24.7,23.7,,95704,0,23.7,-1.00 (-4.05 %),2279622400,0,
25/02/2022,,,24.9,24.9,25.0,24.7,,147051,0,24.7,-0.20 (-0.80 %),3574114300,0,3.0
24/02/2022,,,27.6,26.5,26.8,24.9,,225400,0,24.9,-2.70 (-9.78 %),5733550000,0,4.0
23/02/2022,,,27.3,28.9,29.0,27.6,,194844,0,27.6,0.30 (1.10 %),5428993200,0,5.0
22/02/2022,,,24.9,26.2,27.3,27.3,,432712,0,27.3,2.40 (9.64 %),11649422800,0,6.0
21/02/2022,,,22.7,22.7,24.9,24.9,,238550,0,24.9,2.20 (9.69 %),5894727600,0,7.0
18/02/2022,,,22.5,22.5,22.7,22.7,,29436,0,22.7,0.20 (0.89 %),658605900,0,8.0
17/02/2022,,,22.5,22.4,22.7,22.5,,45140,0,22.5,0.00 (0.00 %),999946000,0,9.0
16/02/2022,,,21.8,22.3,22.5,22.5,,25890,0,22.5,0.70 (3.21 %),568303000,0,10.0
15/02/2022,,,22.8,21.6,22.7,21.8,,38800,0,21.8,-1.00 (-4.39 %),843200000,0,11.0
14/02/2022,,,22.9,22.9,23.1,22.8,,37240,0,22.8,-0.10 (-0.44 %),828732000,0,12.0
11/02/2022,,,23.5,24.4,24.4,22.9,,51612,0,22.9,-0.60 (-2.55 %),1206129600,0,13.0
10/02/2022,,,23.0,23.0,23.6,23.5,,68118,1000000,23.5,0.50 (2.17 %),1596585400,23000000000,14.0
09/02/2022,,,23.0,22.2,24.1,23.0,,18127,0,23.0,0.00 (0.00 %),415633100,0,15.0
08/02/2022,,,23.6,23.7,23.9,23.0,,92433,0,23.0,-0.60 (-2.54 %),2115290600,0,16.0
07/02/2022,,,21.5,22.4,23.6,23.6,,57222,0,23.6,2.10 (9.77 %),1344733200,0,17.0
28/01/2022,,,20.4,20.0,21.8,21.5,,50500,0,21.5,1.10 (5.39 %),1081280000,0,18.0
27/01/2022,,,20.6,20.6,21.0,20.4,,45200,0,20.4,-0.20 (-0.97 %),909450000,0,19.0
26/01/2022,,,20.2,19.2,21.0,20.6,,38200,0,20.6,0.40 (1.98 %),765760000,0,20.0
25/01/2022,,,20.3,19.1,20.3,20.2,,45100,0,20.2,-0.10 (-0.49 %),876940000,0,21.0
24/01/2022,,,22.2,20.9,21.2,20.3,,102126,0,20.3,-1.90 (-8.56 %),2073336600,0,2.0
21/01/2022,,,23.4,23.4,23.5,22.2,,44365,0,22.2,-1.20 (-5.13 %),1003101200,0,3.0
20/01/2022,,,22.4,21.4,24.6,23.4,,65084,0,23.4,1.00 (4.46 %),1473718000,0,4.0
19/01/2022,,,24.8,24.0,24.7,22.4,,36131,0,22.4,-2.40 (-9.68 %),843131400,0,5.0
18/01/2022,,,24.8,27.2,27.2,24.8,,331766,0,24.8,0.00 (0.00 %),8526873500,0,6.0
17/01/2022,,,22.6,24.0,24.8,24.8,,25603,0,24.8,2.20 (9.73 %),634873500,0,7.0
14/01/2022,,,20.6,22.0,22.6,22.6,,14889,0,22.6,2.00 (9.71 %),335891400,0,8.0
13/01/2022,,,18.8,19.0,20.6,20.6,,70469,0,20.6,1.80 (9.57 %),1440031400,0,9.0
12/01/2022,,,20.8,19.6,19.6,18.8,,195893,0,18.8,-2.00 (-9.62 %),3690329600,0,10.0
11/01/2022,,,23.1,20.9,22.4,20.8,,246337,0,20.8,-2.30 (-9.96 %),5185382000,0,11.0
10/01/2022,,,25.5,26.0,26.0,23.1,,350553,0,23.1,-2.40 (-9.41 %),8185149200,0,12.0
07/01/2022,,,26.3,25.4,27.0,25.5,,168322,0,25.5,-0.80 (-3.04 %),4302874500,0,13.0
06/01/2022,,,27.3,27.8,27.8,26.3,,165588,0,26.3,-1.00 (-3.66 %),4396324800,0,14.0
05/01/2022,,,28.0,28.0,28.0,27.3,,147125,98,27.3,-0.70 (-2.50 %),4041512800,2469600,15.0
04/01/2022,,,28.0,28.0,29.0,28.0,,59165,0,28.0,0.00 (0.00 %),1651709000,0,16.0
31/12/2021,,,29.7,29.7,31.9,28.0,,167103,80,28.0,-1.70 (-5.72 %),4779619400,2144000,17.0
30/12/2021,,,28.9,28.9,30.5,29.7,,189231,0,29.7,0.80 (2.77 %),5430570500,0,18.0
29/12/2021,,,32.0,30.0,31.3,28.9,,526646,0,28.9,-3.10 (-9.69 %),15299090100,0,19.0
28/12/2021,,,32.0,32.0,34.2,32.0,,136783,0,32.0,0.00 (0.00 %),4311755800,0,20.0
27/12/2021,,,34.0,33.9,33.9,32.0,,62616,0,32.0,-2.00 (-5.88 %),2050429400,0,21.0
24/12/2021,,,34.1,34.1,36.1,34.0,,31583,0,34.0,-0.10 (-0.29 %),1083059400,0,2.0
23/12/2021,,,31.0,31.2,34.1,34.1,,171124,0,34.1,3.10 (10.00 %),5724545700,0,3.0
22/12/2021,,,33.8,33.8,33.8,31.0,,354158,0,31.0,-2.80 (-8.28 %),11197065400,0,4.0
21/12/2021,,,37.5,36.0,37.5,33.8,,258414,0,33.8,-3.70 (-9.87 %),8825876300,0,5.0
20/12/2021,,,39.1,39.1,39.1,37.5,,223234,0,37.5,-1.60 (-4.09 %),8127430000,0,6.0
