date,change_perc1,change_perc2,open,high,low,close,avg,volume_match,volume_reconcile,adjust,change_perc,value_match,value_reconcile,Unnamed: 0
26/12/2019,,,0,114.00,114.10,115.00,1.00 (0.88 %),,12700900000,115.00,115.00,108927,0,
25/12/2019,,,0,111.6,112.2,115.5,3.90 (3.49 %),,11931819000,115.5,115.5,104634,0,3.0
24/12/2019,,,0,111.5,112.6,112.0,0.50 (0.45 %),,3179838000,112.0,112.0,28494,0,4.0
23/12/2019,,,0,111.7,111.3,111.1,-0.60 (-0.54 %),,6911850000,111.1,111.1,62000,0,5.0
20/12/2019,,,0,112.3,112.0,111.7,-0.60 (-0.53 %),,8449695000,111.7,111.7,75650,0,6.0
19/12/2019,,,0,112.1,111.5,112.5,0.40 (0.36 %),,3335660000,112.5,112.5,29700,0,7.0
18/12/2019,,,0,112.2,112.0,112.0,-0.20 (-0.18 %),,2308270000,112.0,112.0,20600,0,8.0
17/12/2019,,,0,112.8,112.2,112.0,-0.80 (-0.71 %),,1424720000,112.0,112.0,12700,0,9.0
16/12/2019,,,0,113.4,113.0,113.1,-0.30 (-0.26 %),,1263120000,113.1,113.1,11200,0,10.0
13/12/2019,,,0,113.8,113.7,113.0,-0.80 (-0.70 %),,1632650000,113.0,113.0,14400,0,11.0
12/12/2019,,,0,110.2,115.0,113.0,2.80 (2.54 %),,7183971000,113.0,113.0,63110,0,12.0
11/12/2019,,,0,112.3,110.0,110.5,-1.80 (-1.60 %),,1806700000,110.5,110.5,16400,0,13.0
10/12/2019,,,0,112.0,113.9,110.3,-1.70 (-1.52 %),,1954200000,110.3,110.3,17400,0,14.0
09/12/2019,,,0,104.7,112.0,111.9,7.20 (6.88 %),,8466160000,111.9,111.9,75600,0,15.0
06/12/2019,,,0,111.1,111.1,111.1,0.00 (0.00 %),,2975560000,111.1,111.1,28430,0,16.0
05/12/2019,,,0,111.2,111.2,110.6,-0.60 (-0.54 %),,700070000,110.6,110.6,6300,0,17.0
04/12/2019,,,0,111.3,110.0,111.3,0.00 (0.00 %),,2347120000,111.3,111.3,21100,0,18.0
03/12/2019,,,0,111.9,111.9,111.0,-0.90 (-0.80 %),,995188000,111.0,111.0,8940,0,19.0
29/11/2019,,,0,112.9,113.5,111.1,-1.80 (-1.59 %),,1349890000,111.1,111.1,12000,0,20.0
28/11/2019,,,1922000000,113.0,113.0,112.8,-0.20 (-0.18 %),,2213165000,112.8,112.8,19610,20000,21.0
27/11/2019,,,0,113.1,114.9,112.7,-0.40 (-0.35 %),,918282000,112.7,112.7,8129,0,2.0
