date,change_perc1,change_perc2,open,high,low,close,avg,volume_match,volume_reconcile,adjust,change_perc,value_match,value_reconcile,Unnamed: 0
04/04/2022,,,0,30.60,31.50,31.50,0.90 (2.94 %),,281250000,31.50,31.50,8900,0,
01/04/2022,,,0,30.60,30.6,30.60,0.00 (0.00 %),,0,30.60,30.60,0,0,
31/03/2022,,,0,28.70,29.90,31.00,2.30 (8.01 %),,144050000,31.00,31.00,4710,0,
30/03/2022,,,0,28.7,28.7,28.7,0.00 (0.00 %),,0,28.7,28.7,0,0,
29/03/2022,,,0,28.7,28.7,28.7,0.00 (0.00 %),,0,28.7,28.7,0,0,
28/03/2022,,,0,28.0,28.7,28.7,0.70 (2.50 %),,43050000,28.7,28.7,1500,0,
25/03/2022,,,0,28.0,28.0,28.0,0.00 (0.00 %),,0,28.0,28.0,0,0,
24/03/2022,,,0,31.0,28.0,28.0,-3.00 (-9.68 %),,2800000,28.0,28.0,100,0,
23/03/2022,,,0,28.9,31.0,31.0,2.10 (7.27 %),,24800000,31.0,31.0,800,0,
22/03/2022,,,0,31.5,28.0,31.0,-0.50 (-1.59 %),,40400000,31.0,31.0,1400,0,
21/03/2022,,,0,31.1,31.5,31.5,0.40 (1.29 %),,34650000,31.5,31.5,1100,0,
18/03/2022,,,0,31.1,31.1,31.1,0.00 (0.00 %),,0,31.1,31.1,0,0,
17/03/2022,,,0,31.1,31.0,31.4,0.30 (0.96 %),,152560000,31.4,31.4,4900,0,
16/03/2022,,,0,31.1,31.0,31.1,0.00 (0.00 %),,12420000,31.1,31.1,400,0,
15/03/2022,,,0,31.6,31.0,31.5,-0.10 (-0.32 %),,71450000,31.5,31.5,2300,0,
14/03/2022,,,0,31.6,31.6,31.6,0.00 (0.00 %),,0,31.6,31.6,0,0,
11/03/2022,,,0,31.8,32.0,31.0,-0.80 (-2.52 %),,202400000,31.0,31.0,6400,0,
10/03/2022,,,0,33.0,31.5,32.0,-1.00 (-3.03 %),,79500000,32.0,32.0,2500,0,
09/03/2022,,,0,33.0,33.0,33.0,0.00 (0.00 %),,0,33.0,33.0,0,0,
08/03/2022,,,0,32.7,33.0,33.0,0.30 (0.92 %),,16500000,33.0,33.0,500,0,
07/03/2022,,,0,32.4,33.0,32.7,0.30 (0.93 %),,39270000,32.7,32.7,1200,0,
04/03/2022,,,0,34.9,32.5,32.4,-2.50 (-7.16 %),,204400000,32.4,32.4,6300,0,
03/03/2022,,,0,34.9,34.9,34.9,0.00 (0.00 %),,0,34.9,34.9,0,0,
02/03/2022,,,0,34.9,34.9,34.9,0.00 (0.00 %),,0,34.9,34.9,0,0,
01/03/2022,,,0,34.9,34.9,34.9,0.00 (0.00 %),,0,34.9,34.9,0,0,
