date,change_perc1,change_perc2,open,high,low,close,avg,volume_match,volume_reconcile,adjust,change_perc,value_match,value_reconcile,Unnamed: 0
04/04/2022,,,0,5.40,5.40,5.40,0.00 (0.00 %),,0,5.40,5.40,0,0,
01/04/2022,,,0,6.30,5.4,5.40,-0.90 (-14.29 %),,1139301600,5.40,5.40,210980,0,
31/03/2022,,,0,6.30,6.30,6.30,0.00 (0.00 %),,0,6.30,6.30,0,0,
30/03/2022,,,0,6.3,6.3,6.3,0.00 (0.00 %),,0,6.3,6.3,0,0,
29/03/2022,,,0,6.3,6.3,6.3,0.00 (0.00 %),,0,6.3,6.3,0,0,
28/03/2022,,,0,6.3,6.3,6.3,0.00 (0.00 %),,0,6.3,6.3,0,0,
25/03/2022,,,0,6.8,6.6,6.4,-0.40 (-5.88 %),,13111230000,6.4,6.4,2071400,0,
24/03/2022,,,0,7.0,6.9,6.9,-0.10 (-1.43 %),,1189470000,6.9,6.9,173900,0,
23/03/2022,,,0,6.9,7.0,6.9,0.00 (0.00 %),,1645155000,6.9,6.9,236725,0,
22/03/2022,,,0,6.7,6.7,7.0,0.30 (4.48 %),,3717098500,7.0,7.0,538276,0,
21/03/2022,,,0,6.7,6.7,6.7,0.00 (0.00 %),,2110841600,6.7,6.7,314912,0,
18/03/2022,,,0,6.8,6.8,6.6,-0.20 (-2.94 %),,1750506700,6.6,6.6,261301,0,
17/03/2022,,,0,6.8,6.8,6.9,0.10 (1.47 %),,1412267800,6.9,6.9,207226,0,
16/03/2022,,,0,6.4,6.4,6.9,0.50 (7.81 %),,3695237800,6.9,6.9,543179,0,
15/03/2022,,,0,6.4,6.4,6.6,0.20 (3.12 %),,917410000,6.6,6.6,142300,0,
14/03/2022,,,0,6.8,6.8,6.4,-0.40 (-5.88 %),,1441836400,6.4,6.4,226626,0,
11/03/2022,,,0,6.8,6.9,6.7,-0.10 (-1.47 %),,1919738600,6.7,6.7,283082,0,
10/03/2022,,,0,6.5,6.6,6.9,0.40 (6.15 %),,2772913000,6.9,6.9,410195,0,
09/03/2022,,,0,6.6,6.6,6.6,0.00 (0.00 %),,1750150000,6.6,6.6,270660,0,
08/03/2022,,,0,6.6,6.7,6.6,0.00 (0.00 %),,1998933400,6.6,6.6,303417,0,
07/03/2022,,,0,6.4,6.5,6.7,0.30 (4.69 %),,2728351500,6.7,6.7,414617,0,
04/03/2022,,,0,6.2,6.8,6.5,0.30 (4.84 %),,2620232000,6.5,6.5,408650,0,
03/03/2022,,,0,6.1,6.0,6.3,0.20 (3.28 %),,1572130000,6.3,6.3,253600,0,
02/03/2022,,,0,6.0,6.2,6.0,0.00 (0.00 %),,746861000,6.0,6.0,122910,0,
01/03/2022,,,0,6.1,6.1,6.2,0.10 (1.64 %),,1682190000,6.2,6.2,278300,0,
28/02/2022,,,0,6.3,6.2,6.1,-0.20 (-3.17 %),,661760000,6.1,6.1,108500,0,
25/02/2022,,,0,6.2,6.2,6.2,0.00 (0.00 %),,1565660000,6.2,6.2,250200,0,
24/02/2022,,,0,6.0,6.1,6.2,0.20 (3.33 %),,4615746000,6.2,6.2,749436,0,
23/02/2022,,,0,6.0,6.0,6.1,0.10 (1.67 %),,890116000,6.1,6.1,148336,0,
22/02/2022,,,0,6.0,6.1,6.0,0.00 (0.00 %),,833690000,6.0,6.0,139700,0,
21/02/2022,,,0,5.9,5.9,6.1,0.20 (3.39 %),,1620510000,6.1,6.1,267900,0,
18/02/2022,,,0,5.8,5.9,5.9,0.10 (1.72 %),,869443700,5.9,5.9,147843,0,
17/02/2022,,,0,5.8,5.9,5.9,0.10 (1.72 %),,489837400,5.9,5.9,83910,0,
16/02/2022,,,0,5.7,5.8,5.9,0.20 (3.51 %),,710586900,5.9,5.9,121917,0,
15/02/2022,,,0,5.8,5.6,5.8,0.00 (0.00 %),,299517400,5.8,5.8,52103,0,
14/02/2022,,,0,5.9,5.8,5.8,-0.10 (-1.69 %),,345680000,5.8,5.8,59900,0,
11/02/2022,,,0,5.9,6.0,6.0,0.10 (1.69 %),,588792100,6.0,6.0,100119,0,
10/02/2022,,,0,5.8,5.9,6.0,0.20 (3.45 %),,1074910900,6.0,6.0,181210,0,
09/02/2022,,,0,6.0,6.0,5.9,-0.10 (-1.67 %),,574022400,5.9,5.9,98692,0,
08/02/2022,,,0,5.8,5.9,6.0,0.20 (3.45 %),,678600000,6.0,6.0,113010,0,
07/02/2022,,,0,5.2,5.5,5.9,0.70 (13.46 %),,1700570000,5.9,5.9,295600,0,
28/01/2022,,,0,5.3,5.3,5.4,0.10 (1.89 %),,1115580000,5.4,5.4,213600,0,
27/01/2022,,,0,5.3,5.6,5.3,0.00 (0.00 %),,606160000,5.3,5.3,114700,0,
26/01/2022,,,0,5.3,5.4,5.3,0.00 (0.00 %),,493731000,5.3,5.3,92415,0,
25/01/2022,,,0,5.6,5.1,5.4,-0.20 (-3.57 %),,1563900000,5.4,5.4,294200,0,
24/01/2022,,,0,6.2,6.2,5.5,-0.70 (-11.29 %),,630300000,5.5,5.5,112300,0,
21/01/2022,,,0,5.7,6.0,6.2,0.50 (8.77 %),,853850000,6.2,6.2,137200,0,
20/01/2022,,,0,5.2,5.6,5.9,0.70 (13.46 %),,950271700,5.9,5.9,167263,0,
19/01/2022,,,0,5.8,6.6,5.2,-0.60 (-10.34 %),,1489669800,5.2,5.2,288031,0,
18/01/2022,,,0,6.6,7.5,5.7,-0.90 (-13.64 %),,3064488800,5.7,5.7,530642,0,
17/01/2022,,,0,6.3,6.7,6.4,0.10 (1.59 %),,1784616600,6.4,6.4,271814,0,
14/01/2022,,,8550000000,6.6,6.3,6.7,0.10 (1.52 %),,2137706800,6.7,6.7,337831,1500000,
13/01/2022,,,0,7.4,7.4,6.3,-1.10 (-14.86 %),,6383794200,6.3,6.3,968707,0,
12/01/2022,,,0,8.2,8.4,7.4,-0.80 (-9.76 %),,5791594400,7.4,7.4,778551,0,
11/01/2022,,,0,8.5,8.5,8.3,-0.20 (-2.35 %),,2480041100,8.3,8.3,303485,0,
10/01/2022,,,0,7.8,7.9,8.5,0.70 (8.97 %),,6059308100,8.5,8.5,712957,0,
07/01/2022,,,0,7.6,7.8,7.9,0.30 (3.95 %),,3544904000,7.9,7.9,453153,0,
06/01/2022,,,0,7.2,7.3,7.8,0.60 (8.33 %),,5643248800,7.8,7.8,743833,0,
05/01/2022,,,0,7.2,7.3,7.2,0.00 (0.00 %),,2882450000,7.2,7.2,400300,0,
04/01/2022,,,0,7.3,7.3,7.3,0.00 (0.00 %),,2644488300,7.3,7.3,365645,0,
31/12/2021,,,0,7.6,7.6,7.3,-0.30 (-3.95 %),,1560124800,7.3,7.3,213302,0,
30/12/2021,,,0,7.6,7.7,7.4,-0.20 (-2.63 %),,2932835800,7.4,7.4,386254,0,3.0
29/12/2021,,,0,7.2,7.3,7.7,0.50 (6.94 %),,2922846800,7.7,7.7,383201,0,4.0
28/12/2021,,,0,7.0,7.0,7.3,0.30 (4.29 %),,4897936000,7.3,7.3,683500,0,5.0
27/12/2021,,,0,7.0,7.2,6.9,-0.10 (-1.43 %),,2662092000,6.9,6.9,380910,0,6.0
24/12/2021,,,0,6.9,7.0,7.1,0.20 (2.90 %),,2741056800,7.1,7.1,394342,0,7.0
23/12/2021,,,0,6.9,7.0,7.0,0.10 (1.45 %),,4067260000,7.0,7.0,586100,0,8.0
21/12/2021,,,0,6.8,6.5,6.6,-0.20 (-2.94 %),,2501170000,6.6,6.6,379600,0,9.0
20/12/2021,,,0,6.8,6.9,6.8,0.00 (0.00 %),,1465476800,6.8,6.8,216201,0,10.0
17/12/2021,,,0,6.5,6.7,6.8,0.30 (4.62 %),,5594032800,6.8,6.8,823025,0,11.0
16/12/2021,,,0,6.4,6.4,6.6,0.20 (3.12 %),,3221390000,6.6,6.6,499200,0,12.0
15/12/2021,,,0,6.6,6.5,6.4,-0.20 (-3.03 %),,2076700000,6.4,6.4,325500,0,13.0
14/12/2021,,,0,6.5,6.7,6.6,0.10 (1.54 %),,2275364400,6.6,6.6,343634,0,14.0
13/12/2021,,,0,6.4,6.5,6.7,0.30 (4.69 %),,2729323400,6.7,6.7,419202,0,15.0
10/12/2021,,,0,6.6,6.6,6.5,-0.10 (-1.52 %),,3231638300,6.5,6.5,506749,0,16.0
09/12/2021,,,0,6.5,6.5,6.6,0.10 (1.54 %),,1288385600,6.6,6.6,195416,0,17.0
08/12/2021,,,0,6.4,6.5,6.5,0.10 (1.56 %),,1446103000,6.5,6.5,220905,0,18.0
07/12/2021,,,0,6.5,6.3,6.6,0.10 (1.54 %),,2509530000,6.6,6.6,389140,0,19.0
06/12/2021,,,0,7.2,6.8,6.3,-0.90 (-12.50 %),,3636055600,6.3,6.3,560142,0,20.0
03/12/2021,,,0,6.8,7.5,6.9,0.10 (1.47 %),,4458815600,6.9,6.9,619514,0,21.0
02/12/2021,,,0,6.0,6.1,6.9,0.90 (15.00 %),,6214966900,6.9,6.9,917845,0,2.0
01/12/2021,,,0,5.9,6.0,6.2,0.30 (5.08 %),,3935676000,6.2,6.2,659451,0,3.0
30/11/2021,,,0,5.6,5.9,6.0,0.40 (7.14 %),,2679839400,6.0,6.0,456306,0,4.0
29/11/2021,,,0,5.5,5.4,5.9,0.40 (7.27 %),,1902276300,5.9,5.9,337071,0,5.0
26/11/2021,,,448000000,5.6,5.6,5.5,-0.10 (-1.79 %),,1609906000,5.5,5.5,292861,70000,6.0
25/11/2021,,,0,5.8,5.7,5.6,-0.20 (-3.45 %),,1556210400,5.6,5.6,275612,0,7.0
24/11/2021,,,0,5.3,5.6,5.7,0.40 (7.55 %),,1204046800,5.7,5.7,208737,0,8.0
23/11/2021,,,0,5.8,5.2,5.6,-0.20 (-3.45 %),,1785850000,5.6,5.6,336570,0,9.0
22/11/2021,,,0,6.4,6.1,5.5,-0.90 (-14.06 %),,3396105400,5.5,5.5,586337,0,10.0
19/11/2021,,,0,6.2,6.5,6.1,-0.10 (-1.61 %),,5149990000,6.1,6.1,808700,0,11.0
18/11/2021,,,0,5.6,5.8,6.4,0.80 (14.29 %),,4741856200,6.4,6.4,762339,0,12.0
17/11/2021,,,0,5.7,5.7,5.8,0.10 (1.75 %),,2041285500,5.8,5.8,362736,0,13.0
16/11/2021,,,0,6.2,6.2,5.7,-0.50 (-8.06 %),,4828514400,5.7,5.7,849973,0,14.0
15/11/2021,,,0,5.6,6.1,6.3,0.70 (12.50 %),,4764952400,6.3,6.3,766233,0,15.0
12/11/2021,,,0,5.0,5.2,5.7,0.70 (14.00 %),,5462715900,5.7,5.7,974904,0,16.0
11/11/2021,,,0,4.8,4.9,5.1,0.30 (6.25 %),,3054820100,5.1,5.1,611376,0,17.0
10/11/2021,,,0,4.8,4.8,4.9,0.10 (2.08 %),,931048800,4.9,4.9,195081,0,18.0
09/11/2021,,,0,4.7,4.7,4.9,0.20 (4.26 %),,1227638900,4.9,4.9,255081,0,19.0
08/11/2021,,,0,4.7,4.7,4.8,0.10 (2.13 %),,1689834000,4.8,4.8,357980,0,20.0
05/11/2021,,,0,4.7,4.7,4.7,0.00 (0.00 %),,1378644100,4.7,4.7,294647,0,21.0
04/11/2021,,,0,5.1,5.1,4.7,-0.40 (-7.84 %),,2078400000,4.7,4.7,442300,0,2.0
03/11/2021,,,0,5.1,5.2,4.9,-0.20 (-3.92 %),,3441542800,4.9,4.9,678684,0,3.0
02/11/2021,,,0,5.1,5.0,5.1,0.00 (0.00 %),,1997104300,5.1,5.1,393934,0,4.0
01/11/2021,,,0,4.7,4.8,5.0,0.30 (6.38 %),,1940470100,5.0,5.0,382226,0,5.0
29/10/2021,,,0,4.9,4.8,4.8,-0.10 (-2.04 %),,2606952100,4.8,4.8,549867,0,6.0
28/10/2021,,,0,5.0,4.9,4.9,-0.10 (-2.00 %),,1369549300,4.9,4.9,279056,0,7.0
27/10/2021,,,0,4.6,4.7,5.0,0.40 (8.70 %),,2408291500,5.0,5.0,480686,0,8.0
26/10/2021,,,0,4.2,4.2,4.7,0.50 (11.90 %),,2787314400,4.7,4.7,608492,0,9.0
25/10/2021,,,0,4.2,4.1,4.2,0.00 (0.00 %),,1620345400,4.2,4.2,387551,0,10.0
22/10/2021,,,0,4.2,4.1,4.3,0.10 (2.38 %),,1931240000,4.3,4.3,460500,0,11.0
21/10/2021,,,0,4.4,4.3,4.1,-0.30 (-6.82 %),,2120725000,4.1,4.1,506250,0,12.0
20/10/2021,,,0,4.1,4.2,4.3,0.20 (4.88 %),,2555601600,4.3,4.3,581000,0,13.0
19/10/2021,,,0,3.9,4.0,4.2,0.30 (7.69 %),,1757359700,4.2,4.2,424771,0,14.0
18/10/2021,,,0,3.7,3.8,4.0,0.30 (8.11 %),,1772791400,4.0,4.0,453593,0,15.0
15/10/2021,,,0,3.4,3.4,3.7,0.30 (8.82 %),,2554305400,3.7,3.7,689550,0,16.0
14/10/2021,,,0,3.3,3.3,3.4,0.10 (3.03 %),,955460000,3.4,3.4,284420,0,17.0
13/10/2021,,,0,3.3,3.3,3.3,0.00 (0.00 %),,464319500,3.3,3.3,141918,0,18.0
12/10/2021,,,0,3.3,3.3,3.4,0.10 (3.03 %),,496886800,3.4,3.4,151252,0,19.0
11/10/2021,,,0,3.4,3.3,3.4,0.00 (0.00 %),,861144400,3.4,3.4,259266,0,20.0
08/10/2021,,,0,3.5,3.5,3.4,-0.10 (-2.86 %),,573080400,3.4,3.4,167906,0,21.0
07/10/2021,,,0,3.3,3.4,3.6,0.30 (9.09 %),,814647000,3.6,3.6,231236,0,2.0
06/10/2021,,,0,3.0,3.0,3.4,0.40 (13.33 %),,1048870000,3.4,3.4,320400,0,3.0
05/10/2021,,,0,3.1,3.2,3.1,0.00 (0.00 %),,541622200,3.1,3.1,177735,0,4.0
04/10/2021,,,0,3.4,3.3,3.1,-0.30 (-8.82 %),,1581478300,3.1,3.1,502415,0,5.0
01/10/2021,,,0,3.6,3.6,3.4,-0.20 (-5.56 %),,423534000,3.4,3.4,124960,0,6.0
30/09/2021,,,0,3.7,3.7,3.6,-0.10 (-2.70 %),,637983500,3.6,3.6,178264,0,7.0
29/09/2021,,,0,3.3,3.7,3.7,0.40 (12.12 %),,654530000,3.7,3.7,176900,0,8.0
28/09/2021,,,0,3.3,2.9,3.7,0.40 (12.12 %),,2290276900,3.7,3.7,698661,0,9.0
27/09/2021,,,0,3.7,3.4,3.2,-0.50 (-13.51 %),,1329170000,3.2,3.2,406700,0,10.0
24/09/2021,,,0,4.3,4.3,3.7,-0.60 (-13.95 %),,3195495400,3.7,3.7,855945,0,11.0
23/09/2021,,,0,3.9,4.4,4.1,0.20 (5.13 %),,7378605600,4.1,4.1,1703849,0,12.0
22/09/2021,,,0,3.4,3.7,3.9,0.50 (14.71 %),,1312379500,3.9,3.9,340205,0,13.0
21/09/2021,,,0,3.2,3.5,3.6,0.40 (12.50 %),,4417517200,3.6,3.6,1281352,0,14.0
20/09/2021,,,0,2.8,3.0,3.2,0.40 (14.29 %),,701742000,3.2,3.2,221110,0,15.0
17/09/2021,,,0,3.1,3.0,3.0,-0.10 (-3.23 %),,2085510000,3.0,3.0,739700,0,16.0
16/09/2021,,,0,3.4,3.4,3.0,-0.40 (-11.76 %),,1858830000,3.0,3.0,603300,0,17.0
15/09/2021,,,0,3.1,3.5,3.4,0.30 (9.68 %),,3066846200,3.4,3.4,910743,0,18.0
14/09/2021,,,0,2.7,2.9,3.1,0.40 (14.81 %),,1603963100,3.1,3.1,518501,0,19.0
13/09/2021,,,0,2.5,2.6,2.8,0.30 (12.00 %),,1466489600,2.8,2.8,547604,0,20.0
10/09/2021,,,0,2.5,2.5,2.6,0.10 (4.00 %),,504083200,2.6,2.6,201345,0,21.0
