date,change_perc1,change_perc2,open,high,low,close,avg,volume_match,volume_reconcile,adjust,change_perc,value_match,value_reconcile,Unnamed: 0
04/04/2022,,,28.00,28.00,28.00,28.00,,400,0,28.00,0.00 (0.00 %),11200000,0,
31/03/2022,,,29.00,28.4,28.40,28.00,,400,0,28.00,-1.00 (-3.45 %),11290000,0,
30/03/2022,,,27.9,27.8,29.5,29.0,,1200,0,29.0,1.10 (3.94 %),34080000,0,
29/03/2022,,,27.7,29.5,29.5,27.9,,7600,0,27.9,0.20 (0.72 %),224010000,0,
28/03/2022,,,27.5,28.0,30.2,27.7,,34500,0,27.7,0.20 (0.73 %),995610000,0,
25/03/2022,,,27.1,26.9,27.5,27.5,,5300,0,27.5,0.40 (1.48 %),145250000,0,
24/03/2022,,,26.1,28.5,28.5,27.1,,1000,0,27.1,1.00 (3.83 %),26870000,0,
23/03/2022,,,26.1,26.1,26.1,26.1,,0,0,26.1,0.00 (0.00 %),0,0,
22/03/2022,,,26.1,26.1,26.1,26.1,,0,0,26.1,0.00 (0.00 %),0,0,
21/03/2022,,,26.1,26.1,26.1,26.1,,0,0,26.1,0.00 (0.00 %),0,0,
18/03/2022,,,26.8,26.1,26.1,26.1,,100,0,26.1,-0.70 (-2.61 %),2610000,0,
17/03/2022,,,26.7,28.0,28.6,26.8,,900,0,26.8,0.10 (0.37 %),25180000,0,
16/03/2022,,,26.2,28.5,28.5,26.7,,400,0,26.7,0.50 (1.91 %),11220000,0,
15/03/2022,,,26.2,26.2,26.2,26.2,,100,0,26.2,0.00 (0.00 %),2620000,0,
14/03/2022,,,26.8,25.7,26.5,26.2,,700,0,26.2,-0.60 (-2.24 %),18300000,0,
11/03/2022,,,25.3,27.7,27.8,26.8,,1900,0,26.8,1.50 (5.93 %),52200000,0,
10/03/2022,,,27.5,25.3,25.3,25.3,,100,0,25.3,-2.20 (-8.00 %),2530000,0,
09/03/2022,,,27.5,27.5,27.5,27.5,,0,0,27.5,0.00 (0.00 %),0,0,
08/03/2022,,,27.7,28.2,28.2,27.5,,2500,0,27.5,-0.20 (-0.72 %),70290000,0,
07/03/2022,,,28.2,27.7,27.7,27.7,,100,0,27.7,-0.50 (-1.77 %),2770000,0,
04/03/2022,,,28.2,28.2,28.2,28.2,,300,0,28.2,0.00 (0.00 %),8460000,0,
03/03/2022,,,25.7,27.4,28.2,28.2,,47800,0,28.2,2.50 (9.73 %),1344050000,0,
02/03/2022,,,26.8,27.0,28.0,25.7,,1700,0,25.7,-1.10 (-4.10 %),46720000,0,
01/03/2022,,,26.5,26.8,28.0,26.8,,800,0,26.8,0.30 (1.13 %),22040000,0,
28/02/2022,,,28.4,26.5,26.5,26.5,,100,0,26.5,-1.90 (-6.69 %),2650000,0,
25/02/2022,,,26.8,26.1,28.4,28.4,,800,0,28.4,1.60 (5.97 %),21940000,0,3.0
24/02/2022,,,27.1,28.7,28.7,26.8,,1100,0,26.8,-0.30 (-1.11 %),30230000,0,4.0
23/02/2022,,,26.9,28.5,29.0,27.1,,500,0,27.1,0.20 (0.74 %),14260000,0,5.0
22/02/2022,,,26.8,28.0,28.0,26.9,,1200,0,26.9,0.10 (0.37 %),33370000,0,6.0
21/02/2022,,,26.3,27.9,28.0,26.8,,9400,0,26.8,0.50 (1.90 %),260810000,0,7.0
18/02/2022,,,27.0,28.6,28.6,26.3,,200,0,26.3,-0.70 (-2.59 %),5490000,0,8.0
17/02/2022,,,27.0,27.0,27.0,27.0,,0,0,27.0,0.00 (0.00 %),0,0,9.0
16/02/2022,,,27.0,27.0,27.0,27.0,,200,0,27.0,0.00 (0.00 %),5400000,0,10.0
15/02/2022,,,26.2,25.9,27.0,27.0,,300,0,27.0,0.80 (3.05 %),7890000,0,11.0
14/02/2022,,,25.5,26.2,26.2,26.2,,100,0,26.2,0.70 (2.75 %),2620000,0,12.0
11/02/2022,,,27.4,25.3,25.5,25.5,,1100,0,25.5,-1.90 (-6.93 %),28030000,0,13.0
10/02/2022,,,27.1,27.1,27.4,27.4,,400,0,27.4,0.30 (1.11 %),10870000,0,14.0
09/02/2022,,,27.0,27.1,27.1,27.1,,200,0,27.1,0.10 (0.37 %),5420000,0,15.0
08/02/2022,,,24.8,27.1,27.1,27.0,,2906,0,27.0,2.20 (8.87 %),78663200,0,16.0
07/02/2022,,,24.8,24.8,24.8,24.8,,0,0,24.8,0.00 (0.00 %),0,0,17.0
28/01/2022,,,26.3,26.3,26.3,24.8,,600,0,24.8,-1.50 (-5.70 %),15630000,0,18.0
27/01/2022,,,26.3,26.3,26.3,26.3,,1600,0,26.3,0.00 (0.00 %),42080000,0,19.0
26/01/2022,,,26.3,26.3,26.3,26.3,,6,0,26.3,0.00 (0.00 %),173400,0,20.0
25/01/2022,,,26.3,26.3,26.3,26.3,,0,0,26.3,0.00 (0.00 %),0,0,21.0
24/01/2022,,,26.7,29.2,29.2,26.3,,2000,0,26.3,-0.40 (-1.50 %),53310000,0,2.0
21/01/2022,,,26.1,26.7,26.8,26.7,,3100,0,26.7,0.60 (2.30 %),82790000,0,3.0
20/01/2022,,,27.0,28.0,28.1,26.1,,1739,0,26.1,-0.90 (-3.33 %),48603000,0,4.0
19/01/2022,,,28.3,27.0,27.0,27.0,,205,0,27.0,-1.30 (-4.59 %),5535000,0,5.0
18/01/2022,,,28.3,28.3,28.3,28.3,,0,0,28.3,0.00 (0.00 %),0,0,6.0
17/01/2022,,,26.5,26.5,28.3,28.3,,3600,0,28.3,1.80 (6.79 %),95690000,0,7.0
14/01/2022,,,24.8,26.5,26.5,26.5,,1100,0,26.5,1.70 (6.85 %),29150000,0,8.0
13/01/2022,,,24.8,24.8,24.8,24.8,,0,0,24.8,0.00 (0.00 %),0,0,9.0
12/01/2022,,,22.6,24.5,24.8,24.8,,300,0,24.8,2.20 (9.73 %),7410000,0,10.0
11/01/2022,,,24.2,22.6,22.6,22.6,,100,0,22.6,-1.60 (-6.61 %),2260000,0,11.0
10/01/2022,,,24.6,25.5,25.5,24.2,,200,0,24.2,-0.40 (-1.63 %),4970000,0,12.0
07/01/2022,,,26.0,24.6,24.6,24.6,,100,0,24.6,-1.40 (-5.38 %),2460000,0,13.0
06/01/2022,,,26.0,26.0,26.0,26.0,,3015,0,26.0,0.00 (0.00 %),78351000,0,14.0
05/01/2022,,,26.5,26.0,26.0,26.0,,4500,0,26.0,-0.50 (-1.89 %),116830000,0,15.0
04/01/2022,,,27.0,26.0,26.5,26.5,,700,0,26.5,-0.50 (-1.85 %),18450000,0,16.0
31/12/2021,,,26.6,27.0,27.0,27.0,,2000,0,27.0,0.40 (1.50 %),54000000,0,17.0
30/12/2021,,,24.3,26.6,26.6,26.6,,100,0,26.6,2.30 (9.47 %),2660000,0,18.0
29/12/2021,,,26.0,24.3,24.3,24.3,,900,0,24.3,-1.70 (-6.54 %),21870000,0,19.0
28/12/2021,,,24.2,24.0,26.0,26.0,,3000,0,26.0,1.80 (7.44 %),75970000,0,20.0
27/12/2021,,,25.3,25.3,25.3,24.2,,6300,0,24.2,-1.10 (-4.35 %),155490000,0,21.0
24/12/2021,,,25.3,25.3,25.3,25.3,,0,0,25.3,0.00 (0.00 %),0,0,2.0
23/12/2021,,,26.0,26.5,26.5,25.3,,500,0,25.3,-0.70 (-2.69 %),13130000,0,3.0
22/12/2021,,,26.9,26.0,26.0,26.0,,1000,0,26.0,-0.90 (-3.35 %),26000000,0,4.0
21/12/2021,,,25.6,26.9,26.9,26.9,,1700,0,26.9,1.30 (5.08 %),45490000,0,5.0
20/12/2021,,,25.6,25.6,25.6,25.6,,0,0,25.6,0.00 (0.00 %),0,0,6.0
17/12/2021,,,25.7,25.6,25.6,25.6,,100,0,25.6,-0.10 (-0.39 %),2560000,0,7.0
16/12/2021,,,28.1,25.7,25.7,25.7,,200,0,25.7,-2.40 (-8.54 %),5140000,0,8.0
15/12/2021,,,25.8,25.8,28.1,28.1,,500,0,28.1,2.30 (8.91 %),13820000,0,9.0
14/12/2021,,,27.9,29.6,29.6,25.8,,301,0,25.8,-2.10 (-7.53 %),8150600,0,10.0
13/12/2021,,,27.3,26.9,27.9,27.9,,1800,0,27.9,0.60 (2.20 %),48780000,0,11.0
10/12/2021,,,25.6,27.3,27.3,27.3,,100,0,27.3,1.70 (6.64 %),2730000,0,12.0
09/12/2021,,,25.5,25.5,27.8,25.6,,1600,0,25.6,0.10 (0.39 %),41140000,0,13.0
08/12/2021,,,27.4,27.5,27.5,25.5,,800,0,25.5,-1.90 (-6.93 %),20600000,0,14.0
07/12/2021,,,28.0,27.9,27.9,27.4,,4400,0,27.4,-0.60 (-2.14 %),113470000,0,15.0
06/12/2021,,,28.0,28.0,28.0,28.0,,0,0,28.0,0.00 (0.00 %),0,0,16.0
03/12/2021,,,25.5,26.5,28.0,28.0,,16530,0,28.0,2.50 (9.80 %),457285000,0,17.0
02/12/2021,,,25.5,25.5,25.5,25.5,,0,0,25.5,0.00 (0.00 %),0,0,18.0
01/12/2021,,,26.5,24.2,26.0,25.5,,600,0,25.5,-1.00 (-3.77 %),15100000,0,19.0
30/11/2021,,,24.2,23.7,26.6,26.5,,5930,0,26.5,2.30 (9.50 %),155236000,0,20.0
29/11/2021,,,25.5,25.5,27.0,24.2,,3800,0,24.2,-1.30 (-5.10 %),99120000,0,21.0
26/11/2021,,,26.6,26.4,26.6,25.5,,3000,0,25.5,-1.10 (-4.14 %),79150000,0,2.0
25/11/2021,,,26.6,26.6,26.6,26.6,,3500,0,26.6,0.00 (0.00 %),88250000,0,3.0
24/11/2021,,,26.5,26.5,26.6,26.6,,1300,0,26.6,0.10 (0.38 %),34420000,0,4.0
23/11/2021,,,28.0,26.0,26.9,26.5,,3500,0,26.5,-1.50 (-5.36 %),91440000,0,5.0
22/11/2021,,,28.0,28.0,28.0,28.0,,0,0,28.0,0.00 (0.00 %),0,0,6.0
19/11/2021,,,28.0,28.0,28.0,28.0,,50,0,28.0,0.00 (0.00 %),1300000,0,7.0
18/11/2021,,,27.6,28.0,28.0,28.0,,600,0,28.0,0.40 (1.45 %),16800000,0,8.0
17/11/2021,,,28.4,28.5,28.5,28.5,,7526,0,27.6,0.10 (0.35 %),214478000,0,9.0
16/11/2021,,,28.0,28.0,28.4,28.4,,1940,0,27.5,0.40 (1.43 %),54420000,0,10.0
15/11/2021,,,28.0,29.8,29.8,28.0,,900,0,27.12,0.00 (0.00 %),25380000,0,11.0
12/11/2021,,,28.0,28.0,29.9,28.0,,3800,0,27.12,0.00 (0.00 %),106590000,0,12.0
11/11/2021,,,28.0,28.0,28.0,28.0,,300,0,27.12,0.00 (0.00 %),8400000,0,13.0
10/11/2021,,,28.0,28.0,28.0,28.0,,6000,0,27.12,0.00 (0.00 %),167950000,0,14.0
09/11/2021,,,28.0,28.0,28.0,28.0,,11200,0,27.12,0.00 (0.00 %),313580000,0,15.0
08/11/2021,,,27.5,26.6,28.0,28.0,,10600,0,27.12,0.50 (1.82 %),292360000,0,16.0
05/11/2021,,,26.8,29.4,29.4,27.5,,900,0,26.63,0.70 (2.61 %),25890000,0,17.0
04/11/2021,,,26.8,26.2,27.2,26.8,,8300,0,25.95,0.00 (0.00 %),223500000,0,18.0
03/11/2021,,,26.2,26.5,27.0,26.8,,4000,0,25.95,0.60 (2.29 %),107340000,0,19.0
02/11/2021,,,26.1,26.1,26.2,26.2,,3119,0,25.37,0.10 (0.38 %),81621500,0,20.0
01/11/2021,,,25.6,25.8,26.1,26.1,,8800,0,25.28,0.50 (1.95 %),225530000,0,21.0
29/10/2021,,,25.4,25.4,25.6,25.6,,24900,0,24.79,0.20 (0.79 %),636270000,0,2.0
28/10/2021,,,24.4,24.4,25.4,25.4,,6800,0,24.6,1.00 (4.10 %),168040000,0,3.0
27/10/2021,,,24.4,24.6,24.6,24.4,,5200,0,23.63,0.00 (0.00 %),127410000,0,4.0
25/10/2021,,,23.7,24.3,24.4,24.3,,12400,0,23.53,0.60 (2.53 %),302470000,0,5.0
22/10/2021,,,23.6,23.7,23.7,23.7,,6400,0,22.95,0.10 (0.42 %),151640000,0,6.0
21/10/2021,,,23.6,23.7,23.7,23.6,,1800,0,22.85,0.00 (0.00 %),42510000,0,7.0
20/10/2021,,,24.9,23.7,23.7,23.6,,400,0,22.85,-1.30 (-5.22 %),9450000,0,8.0
19/10/2021,,,24.9,24.9,24.9,24.9,,0,0,24.11,0.00 (0.00 %),0,0,9.0
18/10/2021,,,25.0,23.6,24.9,24.9,,5800,0,24.11,-0.10 (-0.40 %),137470000,0,10.0
15/10/2021,,,23.7,23.5,25.5,25.0,,4500,0,24.21,1.30 (5.49 %),107350000,0,11.0
14/10/2021,,,24.6,23.5,24.0,23.7,,2400,0,22.95,-0.90 (-3.66 %),56860000,0,12.0
13/10/2021,,,24.8,24.8,24.8,24.6,,200,0,23.82,-0.20 (-0.81 %),4940000,0,13.0
12/10/2021,,,24.8,24.8,24.8,24.8,,3690,0,24.02,0.00 (0.00 %),91060500,0,14.0
11/10/2021,,,25.0,24.0,25.3,24.8,,4000,0,24.02,-0.20 (-0.80 %),100000000,0,15.0
08/10/2021,,,25.0,25.0,25.0,25.0,,100,0,24.21,0.00 (0.00 %),2500000,0,16.0
07/10/2021,,,23.9,26.0,26.0,25.0,,3290,0,24.21,1.10 (4.60 %),81292000,0,17.0
06/10/2021,,,23.9,23.9,23.9,23.9,,100,0,23.14,0.00 (0.00 %),2390000,0,18.0
05/10/2021,,,23.6,23.9,23.9,23.9,,100,0,23.14,0.30 (1.27 %),2390000,0,19.0
04/10/2021,,,23.5,22.0,25.7,23.6,,4700,0,22.85,0.10 (0.43 %),110720000,0,20.0
01/10/2021,,,23.0,25.3,25.3,23.5,,3901,0,22.76,0.50 (2.17 %),90843000,0,21.0
30/09/2021,,,22.4,22.9,23.0,23.0,,1400,0,22.27,0.60 (2.68 %),31980000,0,2.0
29/09/2021,,,22.4,22.4,22.4,22.4,,3600,0,21.69,0.00 (0.00 %),80640000,0,3.0
28/09/2021,,,22.4,21.4,22.4,22.4,,6500,0,21.69,0.00 (0.00 %),144160000,0,4.0
27/09/2021,,,22.4,22.4,22.4,22.4,,12700,0,21.69,0.00 (0.00 %),284480000,0,5.0
24/09/2021,,,22.8,22.0,22.4,22.4,,8500,0,21.69,-0.40 (-1.75 %),181030000,0,6.0
23/09/2021,,,23.0,22.5,22.9,22.8,,1300,0,22.08,-0.20 (-0.87 %),29600000,0,7.0
22/09/2021,,,23.2,23.2,23.2,23.0,,800,0,22.27,-0.20 (-0.86 %),18460000,0,8.0
21/09/2021,,,23.2,23.2,23.2,23.2,,0,0,22.47,0.00 (0.00 %),0,0,9.0
20/09/2021,,,24.0,23.2,23.3,23.2,,1701,0,22.47,-0.80 (-3.33 %),39485200,0,10.0
17/09/2021,,,24.0,24.0,24.0,24.0,,4,0,23.24,0.00 (0.00 %),96000,0,11.0
16/09/2021,,,23.5,24.0,24.0,24.0,,300,0,23.24,0.50 (2.13 %),7200000,0,12.0
15/09/2021,,,23.5,23.5,23.5,23.5,,505,0,22.76,0.00 (0.00 %),11867500,0,13.0
14/09/2021,,,23.0,23.0,23.0,23.0,,0,0,22.27,0.00 (0.00 %),0,0,14.0
13/09/2021,,,23.0,23.0,23.0,23.0,,4500,0,22.27,0.00 (0.00 %),103230000,0,15.0
10/09/2021,,,22.6,22.8,23.0,23.0,,7404,0,22.27,0.40 (1.77 %),169970400,0,16.0
09/09/2021,,,21.1,22.6,22.6,22.6,,6800,0,21.89,1.50 (7.11 %),153680000,0,17.0
08/09/2021,,,22.5,21.1,21.1,21.1,,1100,0,20.43,-1.40 (-6.22 %),23170000,0,18.0
07/09/2021,,,22.5,22.5,22.5,22.5,,2100,0,21.79,0.00 (0.00 %),47250000,0,19.0
06/09/2021,,,21.9,21.9,22.9,22.5,,3400,0,21.79,0.60 (2.74 %),77120000,0,20.0
01/09/2021,,,21.2,21.6,22.9,21.9,,2104,0,21.21,0.70 (3.30 %),46194800,0,21.0
31/08/2021,,,21.2,21.2,21.2,21.2,,105,0,20.53,0.00 (0.00 %),2226500,0,2.0
30/08/2021,,,20.9,21.0,21.2,21.2,,8200,0,20.53,0.30 (1.44 %),172280000,0,3.0
27/08/2021,,,20.1,20.9,20.9,20.9,,4500,0,20.24,0.80 (3.98 %),94050000,0,4.0
26/08/2021,,,20.4,21.0,21.0,20.1,,2200,0,19.46,-0.30 (-1.47 %),44400000,0,5.0
25/08/2021,,,20.0,20.5,20.5,20.4,,200,0,19.76,0.40 (2.00 %),4090000,0,6.0
24/08/2021,,,20.0,20.0,20.0,20.0,,0,0,19.37,0.00 (0.00 %),0,0,7.0
23/08/2021,,,20.0,20.0,20.0,20.0,,0,0,19.37,0.00 (0.00 %),0,0,8.0
20/08/2021,,,20.0,20.0,20.0,20.0,,1000,0,19.37,0.00 (0.00 %),20000000,0,9.0
19/08/2021,,,20.0,20.0,20.0,20.0,,0,0,19.37,0.00 (0.00 %),0,0,10.0
18/08/2021,,,20.0,20.0,20.0,20.0,,3000,0,19.37,0.00 (0.00 %),60000000,0,11.0
17/08/2021,,,20.0,20.0,20.0,20.0,,2800,10000,19.37,0.00 (0.00 %),56000000,195000000,12.0
