date,change_perc1,change_perc2,open,high,low,close,avg,volume_match,volume_reconcile,adjust,change_perc,value_match,value_reconcile,Unnamed: 0
04/04/2022,,,29.60,29.85,29.00,29.15,,88300,0,29.15,-0.55 (-1.85 %),2597000000,0,
01/04/2022,,,29.35,29.65,29.00,29.65,,61700,0,29.65,0.35 (1.19 %),1804000000,0,
31/03/2022,,,30.0,30.5,29.25,29.25,,75200,0,29.25,-0.75 (-2.50 %),2232000000,0,
30/03/2022,,,29.5,30.8,29.2,30.0,,190400,0,30.0,0.40 (1.35 %),5730000000,0,
29/03/2022,,,28.65,29.85,28.65,29.6,,44000,0,29.6,0.70 (2.42 %),1300000000,0,
28/03/2022,,,29.8,30.05,28.8,28.85,,107100,0,28.85,-0.95 (-3.19 %),3146000000,0,
25/03/2022,,,29.9,30.2,29.8,29.8,,119500,0,29.8,-0.10 (-0.33 %),3575000000,0,
24/03/2022,,,29.9,30.35,29.8,29.9,,63500,0,29.9,0.00 (0.00 %),1899000000,0,
23/03/2022,,,30.5,31.0,29.9,29.9,,59700,0,29.9,-0.60 (-1.97 %),1805000000,0,
22/03/2022,,,31.6,31.6,30.4,30.5,,110400,0,30.5,-0.60 (-1.93 %),3399000000,0,
21/03/2022,,,30.3,31.95,30.3,31.1,,135800,0,31.1,0.80 (2.64 %),4211000000,0,
18/03/2022,,,29.8,30.5,29.8,30.3,,116300,0,30.3,0.50 (1.68 %),3517000000,0,
17/03/2022,,,28.9,30.1,28.85,29.8,,112200,0,29.8,0.90 (3.11 %),3331000000,0,
16/03/2022,,,28.5,29.15,28.3,28.85,,75000,0,28.85,0.35 (1.23 %),2167000000,0,
15/03/2022,,,28.7,29.0,28.3,28.5,,81300,0,28.5,-0.20 (-0.70 %),2327000000,0,
14/03/2022,,,28.6,28.7,28.3,28.7,,98800,0,28.7,0.00 (0.00 %),2814000000,0,
11/03/2022,,,28.75,29.0,28.45,28.7,,78800,0,28.7,-0.30 (-1.03 %),2266000000,0,
10/03/2022,,,29.05,29.3,28.7,29.0,,57400,0,29.0,0.50 (1.75 %),1665000000,0,
09/03/2022,,,28.85,29.5,28.0,28.45,,100500,0,28.45,-0.45 (-1.56 %),2852000000,0,
08/03/2022,,,29.25,29.3,28.85,28.85,,80900,0,28.85,-0.45 (-1.54 %),2349000000,0,
07/03/2022,,,30.3,30.3,29.05,29.25,,130900,0,29.25,-0.25 (-0.85 %),3849000000,0,
04/03/2022,,,29.5,30.5,29.4,29.5,,102900,0,29.5,-0.10 (-0.34 %),3057000000,0,
03/03/2022,,,29.9,30.2,29.55,29.6,,87500,0,29.6,-0.30 (-1.00 %),2607000000,0,
02/03/2022,,,30.2,30.3,29.55,29.9,,55000,0,29.9,-0.30 (-0.99 %),1644000000,0,
01/03/2022,,,29.4,30.8,29.0,30.2,,95400,0,30.2,0.80 (2.72 %),2857000000,0,
28/02/2022,,,30.5,30.5,29.0,29.4,,71800,0,29.4,-0.10 (-0.34 %),2117000000,0,
25/02/2022,,,30.65,30.65,29.45,29.5,,56500,0,29.5,0.10 (0.34 %),1679000000,0,
24/02/2022,,,30.5,30.5,28.7,29.35,,194200,0,29.35,-0.65 (-2.17 %),5730000000,0,
