date,change_perc1,change_perc2,open,high,low,close,avg,volume_match,volume_reconcile,adjust,change_perc,value_match,value_reconcile,Unnamed: 0
04/04/2022,,,0,3.00,3.00,3.00,0.00 (0.00 %),,0,3.00,3.00,0,0,
01/04/2022,,,0,3.10,3.2,3.00,-0.10 (-3.23 %),,323102000,3.00,3.00,107804,0,
31/03/2022,,,0,3.10,3.10,3.10,0.00 (0.00 %),,0,3.10,3.10,0,0,
30/03/2022,,,0,3.1,3.1,3.1,0.00 (0.00 %),,0,3.1,3.1,0,0,
29/03/2022,,,0,3.1,3.1,3.1,0.00 (0.00 %),,0,3.1,3.1,0,0,
28/03/2022,,,0,3.1,3.1,3.1,0.00 (0.00 %),,0,3.1,3.1,0,0,
25/03/2022,,,0,3.2,3.2,3.2,0.00 (0.00 %),,381220300,3.2,3.2,122050,0,
24/03/2022,,,0,3.2,3.2,3.2,0.00 (0.00 %),,0,3.2,3.2,0,0,
23/03/2022,,,0,3.2,3.2,3.2,0.00 (0.00 %),,0,3.2,3.2,0,0,
22/03/2022,,,0,3.2,3.2,3.2,0.00 (0.00 %),,0,3.2,3.2,0,0,
21/03/2022,,,0,3.2,3.2,3.2,0.00 (0.00 %),,0,3.2,3.2,0,0,
18/03/2022,,,0,3.1,3.2,3.1,0.00 (0.00 %),,314242400,3.1,3.1,98404,0,
17/03/2022,,,0,3.1,3.1,3.1,0.00 (0.00 %),,0,3.1,3.1,0,0,
16/03/2022,,,0,3.1,3.1,3.1,0.00 (0.00 %),,0,3.1,3.1,0,0,
15/03/2022,,,0,3.1,3.1,3.1,0.00 (0.00 %),,0,3.1,3.1,0,0,
14/03/2022,,,0,3.1,3.1,3.1,0.00 (0.00 %),,0,3.1,3.1,0,0,
11/03/2022,,,0,3.2,3.1,3.1,-0.10 (-3.13 %),,472790000,3.1,3.1,151400,0,
10/03/2022,,,0,3.2,3.2,3.2,0.00 (0.00 %),,0,3.2,3.2,0,0,
