date,change_perc1,change_perc2,open,high,low,close,avg,volume_match,volume_reconcile,adjust,change_perc,value_match,value_reconcile,Unnamed: 0
04/04/2022,,,0,32.80,32.80,31.00,-1.80 (-5.49 %),,252253500,31.00,31.00,7899,0,
01/04/2022,,,0,31.30,32.8,32.80,1.50 (4.79 %),,3280000,32.80,32.80,100,0,
31/03/2022,,,0,31.40,31.40,31.30,-0.10 (-0.32 %),,134710000,31.30,31.30,4300,0,
30/03/2022,,,0,31.3,31.0,31.0,-0.30 (-0.96 %),,47141000,31.0,31.0,1501,0,
29/03/2022,,,0,30.6,31.0,31.6,1.00 (3.27 %),,137860000,31.6,31.6,4400,0,
28/03/2022,,,0,31.2,31.2,30.3,-0.90 (-2.88 %),,214430000,30.3,30.3,7000,0,
25/03/2022,,,0,31.0,32.0,31.4,0.40 (1.29 %),,373831500,31.4,31.4,12001,0,
24/03/2022,,,0,31.0,31.0,31.4,0.40 (1.29 %),,365881500,31.4,31.4,11795,0,
23/03/2022,,,0,31.1,31.1,31.1,0.00 (0.00 %),,215180000,31.1,31.1,6940,0,
22/03/2022,,,0,31.0,33.4,31.0,0.00 (0.00 %),,102753000,31.0,31.0,3303,0,
21/03/2022,,,0,31.0,31.0,31.2,0.20 (0.65 %),,195200000,31.2,31.2,6300,0,
18/03/2022,,,0,30.8,31.0,31.0,0.20 (0.65 %),,176500000,31.0,31.0,5700,0,
17/03/2022,,,0,30.8,31.0,30.2,-0.60 (-1.95 %),,184920000,30.2,30.2,6000,0,
16/03/2022,,,0,31.0,30.8,30.6,-0.40 (-1.29 %),,129450000,30.6,30.6,4200,0,
15/03/2022,,,0,31.1,31.4,31.0,-0.10 (-0.32 %),,278590000,31.0,31.0,9000,0,
14/03/2022,,,0,32.0,31.4,31.4,-0.60 (-1.88 %),,466710000,31.4,31.4,15000,0,
11/03/2022,,,0,32.8,32.4,31.4,-1.40 (-4.27 %),,645770000,31.4,31.4,20200,0,
10/03/2022,,,0,30.4,31.5,32.6,2.20 (7.24 %),,360460000,32.6,32.6,11000,0,
09/03/2022,,,0,29.9,31.0,31.3,1.40 (4.68 %),,191650000,31.3,31.3,6300,0,
08/03/2022,,,0,28.9,28.9,30.0,1.10 (3.81 %),,816250000,30.0,30.0,27300,0,
07/03/2022,,,0,29.1,28.9,29.1,0.00 (0.00 %),,1013570000,29.1,29.1,35100,0,
04/03/2022,,,0,28.1,29.6,28.9,0.80 (2.85 %),,105017000,28.9,28.9,3610,0,
03/03/2022,,,0,27.6,28.0,28.5,0.90 (3.26 %),,547780000,28.5,28.5,19500,0,
02/03/2022,,,0,27.8,27.7,27.5,-0.30 (-1.08 %),,110430000,27.5,27.5,4000,0,
01/03/2022,,,0,27.9,28.0,27.7,-0.20 (-0.72 %),,44420000,27.7,27.7,1600,0,
28/02/2022,,,0,27.8,28.0,28.0,0.20 (0.72 %),,13970000,28.0,28.0,500,0,
25/02/2022,,,0,27.8,27.7,27.8,0.00 (0.00 %),,25010000,27.8,27.8,900,0,
24/02/2022,,,0,28.0,27.9,27.7,-0.30 (-1.07 %),,441910000,27.7,27.7,15900,0,
23/02/2022,,,0,27.9,28.0,28.1,0.20 (0.72 %),,162390000,28.1,28.1,5800,0,
22/02/2022,,,0,28.5,28.1,28.1,-0.40 (-1.40 %),,192800000,28.1,28.1,6900,0,
21/02/2022,,,0,28.9,28.6,28.3,-0.60 (-2.08 %),,42790000,28.3,28.3,1500,0,
18/02/2022,,,0,28.4,29.0,28.8,0.40 (1.41 %),,34730000,28.8,28.8,1200,0,
17/02/2022,,,0,28.3,28.5,28.0,-0.30 (-1.06 %),,79594600,28.0,28.0,2807,0,
16/02/2022,,,0,28.1,28.3,27.8,-0.30 (-1.07 %),,508672500,27.8,27.8,18005,0,
15/02/2022,,,0,28.0,28.0,28.2,0.20 (0.71 %),,5620000,28.2,28.2,200,0,
14/02/2022,,,0,28.0,27.9,28.0,0.00 (0.00 %),,375030000,28.0,28.0,13400,0,
11/02/2022,,,0,28.3,28.1,28.0,-0.30 (-1.06 %),,240820000,28.0,28.0,8600,0,
10/02/2022,,,0,28.3,28.3,28.1,-0.20 (-0.71 %),,195220000,28.1,28.1,6900,0,
09/02/2022,,,0,28.0,28.2,28.3,0.30 (1.07 %),,79210000,28.3,28.3,2800,0,
08/02/2022,,,0,27.9,28.0,28.1,0.20 (0.72 %),,120450000,28.1,28.1,4300,0,
07/02/2022,,,0,27.8,27.5,28.0,0.20 (0.72 %),,117290000,28.0,28.0,4200,0,
28/01/2022,,,0,27.0,27.0,28.0,1.00 (3.70 %),,69470000,28.0,28.0,2500,0,
27/01/2022,,,0,27.3,27.0,27.0,-0.30 (-1.10 %),,154120000,27.0,27.0,5700,0,
26/01/2022,,,1326134000,26.6,27.1,27.5,0.90 (3.38 %),,98450000,27.5,27.5,3600,58420,
25/01/2022,,,1555881300,27.8,25.6,27.1,-0.70 (-2.52 %),,79847600,27.1,27.1,3000,65649,
24/01/2022,,,3725295000,27.9,27.7,27.7,-0.20 (-0.72 %),,108647000,27.7,27.7,3910,156525,
21/01/2022,,,0,27.9,27.9,27.9,0.00 (0.00 %),,117380000,27.9,27.9,4200,0,
20/01/2022,,,0,27.6,27.7,28.0,0.40 (1.45 %),,75350000,28.0,28.0,2700,0,
19/01/2022,,,0,28.0,28.0,27.9,-0.10 (-0.36 %),,273580000,27.9,27.9,9900,0,
18/01/2022,,,0,28.2,28.1,27.8,-0.40 (-1.42 %),,1113208000,27.8,27.8,39801,0,
17/01/2022,,,0,28.4,28.4,27.8,-0.60 (-2.11 %),,516653600,27.8,27.8,18328,0,
14/01/2022,,,0,28.4,28.8,28.4,0.00 (0.00 %),,119350000,28.4,28.4,4200,0,
13/01/2022,,,0,28.6,29.0,28.1,-0.50 (-1.75 %),,96520000,28.1,28.1,3400,0,
12/01/2022,,,0,28.8,29.2,28.8,0.00 (0.00 %),,663420000,28.8,28.8,23200,0,
11/01/2022,,,0,29.0,29.0,28.9,-0.10 (-0.34 %),,74970000,28.9,28.9,2600,0,
10/01/2022,,,0,29.4,29.4,29.0,-0.40 (-1.36 %),,528020000,29.0,29.0,18200,0,
07/01/2022,,,0,29.4,29.4,29.4,0.00 (0.00 %),,582932000,29.4,29.4,19828,0,
06/01/2022,,,0,28.6,29.0,29.2,0.60 (2.10 %),,512370000,29.2,29.2,17400,0,
05/01/2022,,,0,28.3,28.3,29.0,0.70 (2.47 %),,1001890000,29.0,29.0,35000,0,
04/01/2022,,,0,28.4,29.7,28.3,-0.10 (-0.35 %),,220854400,28.3,28.3,7804,0,
31/12/2021,,,0,28.3,28.5,28.5,0.20 (0.71 %),,307120000,28.5,28.5,10800,0,
30/12/2021,,,0,28.4,28.3,28.4,0.00 (0.00 %),,422197200,28.4,28.4,14912,0,3.0
29/12/2021,,,0,28.5,29.0,28.6,0.10 (0.35 %),,343925400,28.6,28.6,12103,0,4.0
28/12/2021,,,0,28.2,29.0,29.0,0.80 (2.84 %),,282420000,29.0,29.0,9900,0,5.0
27/12/2021,,,0,27.5,27.6,28.8,1.30 (4.73 %),,197867500,28.8,28.8,7009,0,6.0
24/12/2021,,,423901200,28.6,28.1,28.2,-0.40 (-1.40 %),,256216600,28.2,28.2,9302,17373,7.0
23/12/2021,,,485653200,28.9,28.6,28.8,-0.10 (-0.35 %),,749400000,28.8,28.8,26200,19742,8.0
21/12/2021,,,0,29.3,29.9,29.3,0.00 (0.00 %),,374378300,29.3,29.3,12801,0,9.0
20/12/2021,,,3221744500,29.0,30.5,29.1,0.10 (0.34 %),,239950000,29.1,29.1,8200,130435,10.0
17/12/2021,,,0,29.0,28.9,29.1,0.10 (0.34 %),,790256900,29.1,29.1,27207,0,11.0
16/12/2021,,,0,29.3,29.0,29.0,-0.30 (-1.02 %),,901840000,29.0,29.0,31100,0,12.0
15/12/2021,,,0,29.6,29.7,29.3,-0.30 (-1.01 %),,668694300,29.3,29.3,22804,0,13.0
14/12/2021,,,0,30.1,30.1,29.0,-1.10 (-3.65 %),,185400000,29.0,29.0,6270,0,14.0
13/12/2021,,,52731000,28.5,29.8,30.3,1.80 (6.32 %),,642788000,30.3,30.3,21332,2170,15.0
10/12/2021,,,0,28.3,28.1,29.0,0.70 (2.47 %),,533450000,29.0,29.0,18700,0,16.0
09/12/2021,,,0,28.6,28.5,28.2,-0.40 (-1.40 %),,825680000,28.2,28.2,29200,0,17.0
