date,change_perc1,change_perc2,open,high,low,close,avg,volume_match,volume_reconcile,adjust,change_perc,value_match,value_reconcile,Unnamed: 0
04/04/2022,,,12.10,12.70,12.00,12.50,,40300,0,12.50,0.40 (3.31 %),490000000,0,
01/04/2022,,,12.10,12.80,12.10,12.10,,17400,0,12.10,-0.80 (-6.20 %),216000000,0,
31/03/2022,,,12.2,12.9,12.2,12.9,,200,0,12.9,0.00 (0.00 %),2000000,0,
30/03/2022,,,13.0,13.0,12.1,12.9,,6000,0,12.9,-0.10 (-0.77 %),73000000,0,
29/03/2022,,,12.25,13.0,12.1,13.0,,34500,0,13.0,0.00 (0.00 %),421000000,0,
28/03/2022,,,13.0,13.0,13.0,13.0,,0,0,13.0,0.00 (0.00 %),0,0,
25/03/2022,,,13.0,13.0,13.0,13.0,,200,0,13.0,-0.10 (-0.76 %),2000000,0,
24/03/2022,,,13.0,13.1,12.3,13.1,,1400,0,13.1,0.10 (0.77 %),18000000,0,
23/03/2022,,,12.95,13.2,12.95,13.0,,8100,0,13.0,0.00 (0.00 %),105000000,0,
22/03/2022,,,13.0,13.2,12.5,13.0,,1700,0,13.0,0.00 (0.00 %),21000000,0,
21/03/2022,,,13.2,13.2,12.45,13.0,,8000,0,13.0,-0.40 (-2.99 %),100000000,0,
18/03/2022,,,13.4,13.4,13.35,13.35,,800,0,13.35,0.55 (4.30 %),10000000,0,
17/03/2022,,,12.05,12.8,12.0,12.8,,15300,0,12.8,0.80 (6.67 %),191000000,0,
16/03/2022,,,12.65,12.7,12.0,12.0,,900,0,12.0,0.00 (0.00 %),11000000,0,
15/03/2022,,,12.0,12.0,12.0,12.0,,900,0,12.0,-0.50 (-4.00 %),10000000,0,
14/03/2022,,,12.55,12.7,12.5,12.5,,1700,0,12.5,-0.10 (-0.79 %),21000000,0,
11/03/2022,,,12.0,12.55,12.0,12.55,,200,0,12.55,0.15 (1.21 %),2000000,0,
10/03/2022,,,12.0,12.4,12.0,12.4,,1400,0,12.4,-0.10 (-0.80 %),16000000,0,
09/03/2022,,,12.0,12.45,12.0,12.45,,1100,0,12.45,0.45 (3.75 %),13000000,0,
08/03/2022,,,12.2,12.2,12.0,12.0,,1500,0,12.0,-0.30 (-2.44 %),18000000,0,
07/03/2022,,,12.2,12.4,12.2,12.25,,1300,0,12.25,0.05 (0.41 %),15000000,0,
04/03/2022,,,12.05,12.2,12.05,12.2,,200,0,12.2,0.20 (1.67 %),2000000,0,
03/03/2022,,,12.0,12.0,12.0,12.0,,1200,0,12.0,0.00 (0.00 %),14000000,0,
02/03/2022,,,12.75,12.75,12.0,12.0,,500,0,12.0,-0.50 (-4.00 %),6000000,0,
01/03/2022,,,12.2,12.5,12.0,12.5,,3200,0,12.5,0.20 (1.63 %),38000000,0,
28/02/2022,,,12.65,12.65,12.3,12.3,,1700,0,12.3,-0.40 (-3.15 %),21000000,0,
25/02/2022,,,13.0,13.0,12.7,12.7,,600,0,12.7,0.50 (4.10 %),7000000,0,
24/02/2022,,,12.5,12.5,12.0,12.2,,2600,0,12.2,-0.20 (-1.61 %),31000000,0,
23/02/2022,,,12.1,12.5,12.1,12.4,,800,0,12.4,0.00 (0.00 %),9000000,0,
22/02/2022,,,12.4,12.5,12.2,12.4,,3600,0,12.4,-0.10 (-0.80 %),44000000,0,
21/02/2022,,,12.4,12.5,12.3,12.5,,2200,0,12.5,0.00 (0.00 %),27000000,0,
18/02/2022,,,12.5,12.5,12.5,12.5,,200,0,12.5,0.00 (0.00 %),2000000,0,
17/02/2022,,,12.5,12.85,12.3,12.5,,2600,0,12.5,-0.40 (-3.10 %),32000000,0,
16/02/2022,,,12.3,12.9,12.3,12.9,,400,0,12.9,0.60 (4.88 %),4000000,0,
15/02/2022,,,12.25,13.0,12.25,12.3,,4500,0,12.3,-0.90 (-6.82 %),55000000,0,
14/02/2022,,,12.4,13.2,12.4,13.15,,11200,0,13.15,-0.15 (-1.13 %),139000000,0,
11/02/2022,,,12.8,13.3,12.8,13.3,,600,0,13.3,-0.10 (-0.75 %),7000000,0,
10/02/2022,,,12.5,13.35,12.5,13.35,,3000,0,13.35,0.85 (6.80 %),39000000,0,
09/02/2022,,,11.7,12.5,11.7,12.5,,1500,0,12.5,0.00 (0.00 %),17000000,0,
08/02/2022,,,12.5,12.5,12.45,12.45,,700,0,12.45,-0.05 (-0.40 %),8000000,0,
07/02/2022,,,12.5,12.5,12.5,12.5,,1500,0,12.5,0.50 (4.17 %),18000000,0,
28/01/2022,,,12.15,12.5,12.0,12.0,,2700,0,12.0,0.20 (1.69 %),32000000,0,
27/01/2022,,,12.3,12.3,11.65,11.75,,1300,0,11.75,-0.75 (-6.00 %),15000000,0,
26/01/2022,,,12.6,12.6,12.5,12.5,,1600,0,12.5,-0.60 (-4.58 %),20000000,0,
25/01/2022,,,11.6,13.1,11.6,13.1,,5600,0,13.1,0.80 (6.50 %),66000000,0,
24/01/2022,,,13.9,13.9,12.25,12.3,,1300,0,12.3,-0.90 (-6.82 %),16000000,0,
21/01/2022,,,13.2,13.95,12.35,13.15,,3400,0,13.15,-0.05 (-0.38 %),44000000,0,
20/01/2022,,,13.15,13.15,13.0,13.15,,27900,0,13.15,0.85 (6.91 %),365000000,0,
19/01/2022,,,11.5,12.3,11.5,12.3,,10300,0,12.3,0.80 (6.96 %),125000000,0,
18/01/2022,,,11.8,11.8,11.5,11.5,,7200,0,11.5,-0.75 (-6.12 %),83000000,0,
17/01/2022,,,12.3,12.3,12.25,12.25,,2100,0,12.25,-0.75 (-5.77 %),25000000,0,
14/01/2022,,,13.0,13.0,13.0,13.0,,3900,0,13.0,0.20 (1.56 %),50000000,0,
13/01/2022,,,13.0,13.0,12.5,12.8,,14100,0,12.8,0.20 (1.59 %),177000000,0,
12/01/2022,,,13.0,13.0,12.6,12.6,,3800,0,12.6,-0.40 (-3.08 %),49000000,0,
11/01/2022,,,13.1,13.1,13.0,13.0,,10100,0,13.0,-0.60 (-4.41 %),131000000,0,
10/01/2022,,,13.7,14.0,13.6,13.6,,16800,0,13.6,-0.30 (-2.16 %),231000000,0,
07/01/2022,,,13.4,14.5,13.4,13.85,,3800,0,13.85,-0.25 (-1.77 %),54000000,0,
06/01/2022,,,14.2,14.2,14.1,14.1,,3100,0,14.1,0.00 (0.00 %),44000000,0,
05/01/2022,,,14.2,14.2,14.0,14.1,,6100,0,14.1,-0.10 (-0.70 %),86000000,0,
04/01/2022,,,14.0,14.35,13.2,14.2,,7700,0,14.2,0.20 (1.43 %),105000000,0,
31/12/2021,,,14.0,14.8,13.9,14.0,,3200,0,14.0,0.00 (0.00 %),45000000,0,
30/12/2021,,,14.9,14.9,14.0,14.0,,2700,0,14.0,0.00 (0.00 %),37000000,0,3.0
29/12/2021,,,14.0,14.2,13.95,14.0,,8200,0,14.0,-0.10 (-0.71 %),114000000,0,4.0
28/12/2021,,,14.0,14.5,14.0,14.1,,11700,0,14.1,0.20 (1.44 %),165000000,0,5.0
27/12/2021,,,13.5,14.2,13.5,13.9,,11000,0,13.9,0.10 (0.72 %),152000000,0,6.0
24/12/2021,,,14.8,14.8,13.6,13.8,,57600,0,13.8,-0.80 (-5.48 %),821000000,0,7.0
23/12/2021,,,14.6,14.6,14.4,14.6,,74800,0,14.6,0.90 (6.57 %),1090000000,0,8.0
