date,change_perc1,change_perc2,open,high,low,close,avg,volume_match,volume_reconcile,adjust,change_perc,value_match,value_reconcile,Unnamed: 0
04/04/2022,,,31.35,32.00,31.35,32.00,,8100,0,32.00,0.10 (0.31 %),258000000,0,
01/04/2022,,,31.95,31.95,31.30,31.90,,11600,0,31.90,0.10 (0.31 %),368000000,0,
31/03/2022,,,32.0,32.0,31.15,31.8,,5700,0,31.8,-0.20 (-0.62 %),180000000,0,
30/03/2022,,,32.5,32.5,30.9,31.95,,19200,0,31.95,-0.55 (-1.69 %),603000000,0,
29/03/2022,,,32.4,32.5,31.0,32.5,,24500,0,32.5,0.70 (2.20 %),789000000,0,
28/03/2022,,,31.0,33.0,31.0,31.8,,34100,0,31.8,0.80 (2.58 %),1083000000,0,
25/03/2022,,,30.85,31.5,30.85,31.0,,9000,0,31.0,0.10 (0.32 %),279000000,0,
24/03/2022,,,30.95,31.0,30.0,30.85,,16000,0,30.85,0.85 (2.83 %),486000000,0,
23/03/2022,,,28.8,30.0,28.8,30.0,,22800,0,30.0,1.00 (3.45 %),668000000,0,
22/03/2022,,,29.2,29.2,29.0,29.0,,16500,0,29.0,0.00 (0.00 %),478000000,0,
21/03/2022,,,29.05,29.2,29.0,29.0,,7200,0,29.0,0.00 (0.00 %),209000000,0,
18/03/2022,,,29.0,29.0,29.0,29.0,,7200,0,29.0,0.00 (0.00 %),208000000,0,
17/03/2022,,,29.0,29.35,29.0,29.0,,5400,0,29.0,0.00 (0.00 %),157000000,0,
16/03/2022,,,28.5,29.0,28.5,29.0,,4100,0,29.0,0.00 (0.00 %),118000000,0,
15/03/2022,,,28.0,29.0,28.0,29.0,,3100,0,29.0,0.00 (0.00 %),88000000,0,
14/03/2022,,,29.0,29.4,28.9,29.0,,2800,0,29.0,-0.50 (-1.69 %),81000000,0,
11/03/2022,,,29.6,29.6,29.5,29.5,,16000,0,29.5,-0.10 (-0.34 %),472000000,0,
10/03/2022,,,29.6,30.25,29.5,29.6,,2200,0,29.6,0.00 (0.00 %),65000000,0,
09/03/2022,,,29.3,29.7,29.3,29.6,,3600,0,29.6,-1.30 (-4.21 %),106000000,0,
08/03/2022,,,29.7,30.85,29.6,30.85,,31900,0,30.85,0.65 (2.15 %),946000000,0,
07/03/2022,,,30.75,30.75,30.2,30.2,,6200,0,30.2,-0.60 (-1.95 %),188000000,0,
04/03/2022,,,29.8,30.9,29.5,30.8,,16200,0,30.8,1.50 (5.12 %),487000000,0,
03/03/2022,,,28.8,29.5,28.8,29.3,,22500,0,29.3,0.40 (1.38 %),659000000,0,
02/03/2022,,,29.0,29.4,28.9,28.9,,9000,0,28.9,-0.10 (-0.34 %),261000000,0,
01/03/2022,,,28.6,29.0,28.6,29.0,,2500,0,29.0,0.30 (1.05 %),71000000,0,
28/02/2022,,,29.6,29.6,28.7,28.7,,1300,0,28.7,0.00 (0.00 %),37000000,0,
25/02/2022,,,28.2,28.7,28.2,28.7,,10900,0,28.7,0.00 (0.00 %),311000000,0,
24/02/2022,,,28.75,30.3,28.6,28.7,,9600,0,28.7,-0.30 (-1.03 %),275000000,0,
23/02/2022,,,29.1,29.1,28.8,28.95,,10200,0,28.95,-0.35 (-1.19 %),294000000,0,
22/02/2022,,,29.45,29.45,28.8,29.3,,17000,0,29.3,-0.10 (-0.34 %),497000000,0,
21/02/2022,,,28.3,30.1,28.3,29.4,,15100,0,29.4,-0.10 (-0.34 %),444000000,0,
18/02/2022,,,29.5,29.5,29.5,29.5,,4200,0,29.5,0.50 (1.72 %),123000000,0,
17/02/2022,,,28.7,29.0,28.7,29.0,,6200,0,29.0,0.00 (0.00 %),178000000,0,
16/02/2022,,,29.0,29.0,28.5,29.0,,12900,0,29.0,0.00 (0.00 %),372000000,0,
15/02/2022,,,29.0,29.0,29.0,29.0,,4900,0,29.0,0.00 (0.00 %),142000000,0,
14/02/2022,,,29.1,29.1,29.0,29.0,,1200,0,29.0,0.00 (0.00 %),34000000,0,
11/02/2022,,,29.7,29.7,29.0,29.0,,26200,0,29.0,-0.70 (-2.36 %),765000000,0,
10/02/2022,,,29.5,29.7,29.0,29.7,,13600,0,29.7,0.70 (2.41 %),401000000,0,
09/02/2022,,,28.0,29.4,27.5,29.0,,9300,0,29.0,0.40 (1.40 %),267000000,0,
08/02/2022,,,29.0,29.95,28.6,28.6,,19900,0,28.6,-0.90 (-3.05 %),577000000,0,
07/02/2022,,,29.5,30.0,28.7,29.45,,7400,0,29.45,-0.55 (-1.83 %),215000000,0,
28/01/2022,,,31.5,31.5,29.0,30.0,,8100,0,30.0,-1.10 (-3.54 %),242000000,0,
27/01/2022,,,31.8,31.8,31.05,31.05,,400,0,31.05,1.15 (3.85 %),12000000,0,
26/01/2022,,,30.35,30.35,28.6,29.9,,4100,0,29.9,-0.60 (-1.97 %),119000000,0,
25/01/2022,,,30.0,30.45,29.0,30.45,,5100,0,30.45,-0.55 (-1.77 %),151000000,0,
24/01/2022,,,31.2,31.2,31.0,31.0,,2600,0,31.0,1.80 (6.16 %),81000000,0,
21/01/2022,,,30.4,30.4,29.1,29.2,,3400,0,29.2,-1.20 (-3.95 %),99000000,0,
20/01/2022,,,30.3,30.5,29.4,30.3,,16100,0,30.3,-1.30 (-4.11 %),479000000,0,
19/01/2022,,,31.5,31.55,31.5,31.55,,5200,0,31.55,0.55 (1.77 %),163000000,0,
18/01/2022,,,30.1,31.0,30.1,31.0,,2300,0,31.0,-1.15 (-3.58 %),69000000,0,
17/01/2022,,,32.15,33.0,32.15,32.15,,16800,0,32.15,0.00 (0.00 %),542000000,0,
14/01/2022,,,30.05,32.15,30.05,32.15,,43800,0,32.15,2.05 (6.81 %),1360000000,0,
13/01/2022,,,31.0,31.0,30.0,30.05,,20400,0,30.05,0.05 (0.17 %),614000000,0,
12/01/2022,,,28.1,30.0,28.1,30.0,,25600,0,30.0,0.90 (3.09 %),758000000,0,
11/01/2022,,,30.0,30.0,29.1,29.1,,3400,0,29.1,-0.20 (-0.68 %),100000000,0,
10/01/2022,,,30.25,30.5,29.3,29.3,,12300,0,29.3,-1.20 (-3.93 %),370000000,0,
07/01/2022,,,30.6,30.6,30.2,30.5,,12800,0,30.5,-0.10 (-0.33 %),390000000,0,
06/01/2022,,,30.85,30.85,30.6,30.6,,5300,0,30.6,-0.40 (-1.29 %),163000000,0,
05/01/2022,,,30.0,30.95,29.2,30.95,,27700,0,30.95,-0.05 (-0.16 %),822000000,0,
04/01/2022,,,31.0,31.0,30.0,30.95,,45200,0,30.95,1.95 (6.72 %),1395000000,0,
31/12/2021,,,29.0,29.8,28.3,29.0,,15400,0,29.0,-0.80 (-2.68 %),445000000,0,
30/12/2021,,,29.0,29.9,29.0,29.8,,11600,0,29.8,0.80 (2.76 %),340000000,0,3.0
29/12/2021,,,29.5,29.5,29.0,29.0,,3600,0,29.0,0.50 (1.75 %),104000000,0,4.0
28/12/2021,,,27.6,28.5,27.6,28.5,,19400,0,28.5,1.00 (3.64 %),546000000,0,5.0
27/12/2021,,,29.4,29.4,27.4,27.45,,9300,0,27.45,-0.55 (-1.96 %),265000000,0,6.0
24/12/2021,,,29.55,29.6,28.0,28.0,,27100,0,28.0,-1.60 (-5.41 %),774000000,0,7.0
