date,change_perc1,change_perc2,open,high,low,close,avg,volume_match,volume_reconcile,adjust,change_perc,value_match,value_reconcile,Unnamed: 0
04/04/2022,,,21.60,21.70,21.25,21.60,,52000,0,21.60,0.00 (0.00 %),1118000000,0,
01/04/2022,,,21.00,21.60,21.00,21.60,,36100,0,21.60,0.00 (0.00 %),768000000,0,
31/03/2022,,,21.5,21.9,21.5,21.6,,45200,0,21.6,0.20 (0.93 %),980000000,0,
30/03/2022,,,21.8,21.8,21.3,21.4,,105700,0,21.4,-0.50 (-2.28 %),2274000000,0,3.0
29/03/2022,,,21.9,22.25,21.2,21.85,,44000,0,21.85,-0.05 (-0.23 %),962000000,0,4.0
28/03/2022,,,21.0,21.95,20.9,21.9,,130300,0,21.9,0.90 (4.29 %),2797000000,0,5.0
25/03/2022,,,21.4,21.4,20.55,21.0,,25400,0,21.0,-0.50 (-2.33 %),534000000,0,6.0
24/03/2022,,,20.6,21.5,20.6,21.45,,85000,0,21.45,1.05 (5.15 %),1798000000,0,7.0
23/03/2022,,,20.0,20.5,20.0,20.4,,50200,0,20.4,0.30 (1.49 %),1021000000,0,8.0
22/03/2022,,,20.1,20.7,20.1,20.1,,23500,0,20.1,0.00 (0.00 %),473000000,0,9.0
21/03/2022,,,20.5,20.5,19.95,20.1,,50600,0,20.1,0.10 (0.50 %),1014000000,0,10.0
18/03/2022,,,20.0,20.1,19.9,20.0,,19400,0,20.0,-0.10 (-0.50 %),388000000,0,11.0
17/03/2022,,,20.45,20.45,20.1,20.1,,11900,0,20.1,0.00 (0.00 %),239000000,0,12.0
16/03/2022,,,19.6,20.35,19.6,20.1,,73700,0,20.1,0.20 (1.01 %),1476000000,0,13.0
15/03/2022,,,19.8,20.0,19.7,19.85,,38600,0,19.85,0.15 (0.76 %),762000000,0,14.0
14/03/2022,,,20.0,20.0,19.5,19.7,,62300,0,19.7,-0.30 (-1.50 %),1228000000,0,15.0
11/03/2022,,,20.05,20.55,19.9,20.0,,128600,0,20.0,-0.10 (-0.50 %),2584000000,0,16.0
10/03/2022,,,20.85,20.85,20.0,20.05,,97600,0,20.05,-0.85 (-4.07 %),1986000000,0,17.0
09/03/2022,,,20.0,21.05,19.7,20.85,,70400,0,20.85,0.85 (4.25 %),1414000000,0,18.0
08/03/2022,,,20.0,20.45,19.6,20.0,,73100,0,20.0,-0.40 (-1.96 %),1459000000,0,19.0
07/03/2022,,,21.5,21.5,20.0,20.35,,88600,0,20.35,-1.15 (-5.35 %),1819000000,0,20.0
04/03/2022,,,21.5,21.65,21.0,21.5,,128100,0,21.5,-0.10 (-0.46 %),2739000000,0,21.0
03/03/2022,,,21.7,21.75,21.35,21.55,,113300,0,21.55,-0.15 (-0.69 %),2440000000,0,2.0
02/03/2022,,,20.95,21.8,20.2,21.7,,202200,0,21.7,0.60 (2.84 %),4251000000,0,3.0
01/03/2022,,,20.0,21.1,20.0,21.05,,95600,0,21.05,0.85 (4.21 %),1991000000,0,4.0
28/02/2022,,,19.65,20.15,18.55,20.15,,123600,0,20.15,0.65 (3.33 %),2459000000,0,5.0
