date,change_perc1,change_perc2,open,high,low,close,avg,volume_match,volume_reconcile,adjust,change_perc,value_match,value_reconcile,Unnamed: 0
04/04/2022,,,0,79.70,79.70,79.70,0.00 (0.00 %),,305100,79.70,79.70,4,0,
01/04/2022,,,0,79.70,79.7,79.70,0.00 (0.00 %),,0,79.70,79.70,0,0,
31/03/2022,,,0,79.70,79.70,79.70,0.00 (0.00 %),,0,79.70,79.70,0,0,
30/03/2022,,,0,86.0,97.0,78.0,-8.00 (-9.30 %),,87700000,78.0,78.0,1100,0,
29/03/2022,,,0,80.0,90.0,82.0,2.00 (2.50 %),,17200000,82.0,82.0,200,0,
28/03/2022,,,55017468000,77.6,80.0,80.0,2.40 (3.09 %),,16000000,80.0,80.0,200,679228,
25/03/2022,,,0,77.6,77.6,77.6,0.00 (0.00 %),,0,77.6,77.6,0,0,
24/03/2022,,,465600000,77.6,77.6,77.6,0.00 (0.00 %),,0,77.6,77.6,0,6000,
23/03/2022,,,63936000000,77.6,77.6,77.6,0.00 (0.00 %),,0,77.6,77.6,0,819000,
22/03/2022,,,0,77.6,77.6,77.6,0.00 (0.00 %),,80000,77.6,77.6,1,0,
21/03/2022,,,0,67.5,77.6,77.6,10.10 (14.96 %),,38800000,77.6,77.6,500,0,
18/03/2022,,,0,79.3,67.5,67.5,-11.80 (-14.88 %),,7501100,67.5,67.5,110,0,
17/03/2022,,,0,79.3,79.3,79.3,0.00 (0.00 %),,0,79.3,79.3,0,0,
16/03/2022,,,0,79.3,79.3,79.3,0.00 (0.00 %),,0,79.3,79.3,0,0,
15/03/2022,,,0,72.5,79.0,80.0,7.50 (10.34 %),,31700000,80.0,80.0,400,0,
14/03/2022,,,0,72.5,72.5,72.5,0.00 (0.00 %),,0,72.5,72.5,0,0,
11/03/2022,,,0,72.5,72.5,72.5,0.00 (0.00 %),,0,72.5,72.5,0,0,
10/03/2022,,,0,72.5,72.5,72.5,0.00 (0.00 %),,0,72.5,72.5,0,0,
09/03/2022,,,0,80.4,72.5,72.5,-7.90 (-9.83 %),,14500000,72.5,72.5,200,0,
08/03/2022,,,0,80.4,80.4,80.4,0.00 (0.00 %),,0,80.4,80.4,0,0,
07/03/2022,,,0,80.4,80.4,80.4,0.00 (0.00 %),,0,80.4,80.4,0,0,
04/03/2022,,,0,80.4,80.4,80.4,0.00 (0.00 %),,0,80.4,80.4,0,0,
03/03/2022,,,0,80.4,80.4,80.4,0.00 (0.00 %),,0,80.4,80.4,0,0,
02/03/2022,,,0,80.4,80.4,80.4,0.00 (0.00 %),,0,80.4,80.4,0,0,
01/03/2022,,,0,80.4,80.4,80.4,0.00 (0.00 %),,0,80.4,80.4,0,0,
28/02/2022,,,0,80.4,80.4,80.4,0.00 (0.00 %),,0,80.4,80.4,0,0,
25/02/2022,,,0,80.4,80.4,80.4,0.00 (0.00 %),,0,80.4,80.4,0,0,
24/02/2022,,,0,80.4,80.4,80.4,0.00 (0.00 %),,0,80.4,80.4,0,0,
23/02/2022,,,0,71.1,78.0,81.6,10.50 (14.77 %),,27240000,81.6,81.6,340,0,
22/02/2022,,,0,71.1,71.1,71.1,0.00 (0.00 %),,0,71.1,71.1,0,0,
21/02/2022,,,0,71.1,71.1,71.1,0.00 (0.00 %),,0,71.1,71.1,0,0,
18/02/2022,,,0,82.0,71.1,71.1,-10.90 (-13.29 %),,7110000,71.1,71.1,100,0,
17/02/2022,,,0,82.0,82.0,82.0,0.00 (0.00 %),,8200000,82.0,82.0,100,0,
16/02/2022,,,0,71.8,82.0,82.0,10.20 (14.21 %),,8200000,82.0,82.0,100,0,
15/02/2022,,,0,71.8,71.8,71.8,0.00 (0.00 %),,0,71.8,71.8,0,0,
14/02/2022,,,0,76.1,71.8,71.8,-4.30 (-5.65 %),,7941000,71.8,71.8,110,0,
11/02/2022,,,0,80.0,76.1,76.1,-3.90 (-4.88 %),,7610000,76.1,76.1,100,0,
10/02/2022,,,24000000000,80.0,80.0,80.0,0.00 (0.00 %),,0,80.0,80.0,0,300000,
09/02/2022,,,0,80.0,80.0,80.0,0.00 (0.00 %),,4659200,80.0,80.0,64,0,
08/02/2022,,,48000000000,84.3,71.7,80.0,-4.30 (-5.10 %),,16007170000,80.0,80.0,200100,600000,
07/02/2022,,,0,84.3,84.3,84.3,0.00 (0.00 %),,0,84.3,84.3,0,0,
28/01/2022,,,0,84.3,84.3,84.3,0.00 (0.00 %),,0,84.3,84.3,0,0,
27/01/2022,,,0,84.3,84.3,84.3,0.00 (0.00 %),,0,84.3,84.3,0,0,
26/01/2022,,,0,84.3,84.3,84.3,0.00 (0.00 %),,0,84.3,84.3,0,0,
25/01/2022,,,0,84.3,84.3,84.3,0.00 (0.00 %),,0,84.3,84.3,0,0,
24/01/2022,,,0,80.0,68.0,89.0,9.00 (11.25 %),,33700000,89.0,89.0,400,0,
21/01/2022,,,77224000000,80.0,80.0,80.0,0.00 (0.00 %),,0,80.0,80.0,0,1103200,
20/01/2022,,,0,80.0,80.0,80.0,0.00 (0.00 %),,0,80.0,80.0,0,0,
19/01/2022,,,0,80.0,80.0,80.0,0.00 (0.00 %),,0,80.0,80.0,0,0,
18/01/2022,,,0,80.0,80.0,80.0,0.00 (0.00 %),,1190000,80.0,80.0,17,0,
17/01/2022,,,0,80.0,80.0,80.0,0.00 (0.00 %),,0,80.0,80.0,0,0,
14/01/2022,,,0,80.0,80.0,80.0,0.00 (0.00 %),,0,80.0,80.0,0,0,
