date,change_perc1,change_perc2,open,high,low,close,avg,volume_match,volume_reconcile,adjust,change_perc,value_match,value_reconcile,Unnamed: 0
04/04/2022,,,169.80,170.10,171.00,170.50,,397410,0,170.50,0.70 (0.41 %),67745373000,0,
31/03/2022,,,168.20,168.5,169.50,168.50,,411900,0,168.50,0.30 (0.18 %),69567860000,0,
30/03/2022,,,169.8,170.0,170.6,168.2,,384400,0,168.2,-1.60 (-0.94 %),65145330000,0,
29/03/2022,,,168.8,169.0,170.4,169.8,,426700,0,169.8,1.00 (0.59 %),72494620000,0,
28/03/2022,,,171.0,171.2,171.7,168.8,,391900,0,168.8,-2.20 (-1.29 %),66448840000,0,
25/03/2022,,,170.6,170.9,171.6,171.0,,366700,0,171.0,0.40 (0.23 %),62713850000,0,
24/03/2022,,,170.9,171.1,172.0,170.6,,402130,0,170.6,-0.30 (-0.18 %),68764908000,0,
23/03/2022,,,170.7,170.8,171.9,170.9,,440916,0,170.9,0.20 (0.12 %),75533626000,0,
22/03/2022,,,169.8,170.2,171.7,170.7,,386635,0,170.7,0.90 (0.53 %),66112975300,0,
21/03/2022,,,168.0,168.2,170.9,169.8,,437903,0,169.8,1.80 (1.07 %),74367400000,0,
18/03/2022,,,171.2,171.4,173.3,168.0,,494200,0,168.0,-3.20 (-1.87 %),85096410000,0,
17/03/2022,,,170.7,170.9,172.0,171.2,,392800,0,171.2,0.50 (0.29 %),67309300000,0,
16/03/2022,,,169.9,170.2,172.0,170.7,,441610,0,170.7,0.80 (0.47 %),75507579000,0,
15/03/2022,,,168.7,168.9,170.0,169.9,,420955,0,169.9,1.20 (0.71 %),70913150500,0,
14/03/2022,,,171.1,171.8,172.1,168.7,,396923,0,168.7,-2.40 (-1.40 %),67274400100,0,
11/03/2022,,,172.1,172.3,173.1,171.1,,382200,0,171.1,-1.00 (-0.58 %),65834780000,0,
10/03/2022,,,171.5,171.8,173.1,172.1,,429600,0,172.1,0.60 (0.35 %),74100540000,0,
09/03/2022,,,171.2,171.4,172.2,171.5,,399901,0,171.5,0.30 (0.18 %),68430635400,0,
08/03/2022,,,173.5,173.6,174.5,171.2,,439601,0,171.2,-2.30 (-1.33 %),76161273700,0,
07/03/2022,,,174.7,174.9,175.5,173.5,,390000,0,173.5,-1.20 (-0.69 %),67863160000,0,
04/03/2022,,,174.2,174.7,175.4,174.7,,411220,0,174.7,0.50 (0.29 %),71918007200,0,
03/03/2022,,,172.2,172.7,174.9,174.2,,439101,0,174.2,2.00 (1.16 %),76393133600,0,
02/03/2022,,,173.9,174.3,176.0,172.2,,527200,0,172.2,-1.70 (-0.98 %),91702480000,0,
01/03/2022,,,173.1,173.6,175.1,173.9,,416741,0,173.9,0.80 (0.46 %),72540228500,0,
28/02/2022,,,174.2,174.4,175.0,173.1,,444356,0,173.1,-1.10 (-0.63 %),77305093200,0,
25/02/2022,,,173.2,173.4,175.0,174.2,,367000,0,174.2,1.00 (0.58 %),64005100000,0,3.0
24/02/2022,,,175.6,175.7,176.7,173.2,,392242,0,173.2,-2.40 (-1.37 %),68463521100,0,4.0
23/02/2022,,,174.6,174.8,177.0,175.6,,446500,0,175.6,1.00 (0.57 %),78509590000,0,5.0
22/02/2022,,,176.8,177.4,177.4,174.6,,412201,0,174.6,-2.20 (-1.24 %),72483456500,0,6.0
21/02/2022,,,176.5,176.9,177.7,176.8,,385300,0,176.8,0.30 (0.17 %),68256310000,0,7.0
18/02/2022,,,176.0,176.6,176.7,176.5,,477610,0,176.5,0.50 (0.28 %),84071359000,0,8.0
17/02/2022,,,173.9,174.4,177.3,176.0,,637900,0,176.0,2.10 (1.21 %),112093840000,0,9.0
16/02/2022,,,173.6,174.0,174.6,173.9,,391300,0,173.9,0.30 (0.17 %),68087410000,0,10.0
15/02/2022,,,172.8,173.0,174.5,173.6,,407601,0,173.6,0.80 (0.46 %),70824120000,0,11.0
14/02/2022,,,176.1,176.3,176.7,172.8,,473700,0,172.8,-3.30 (-1.87 %),83033710000,0,12.0
11/02/2022,,,176.1,176.7,176.9,176.1,,389742,0,176.1,0.00 (0.00 %),68567710600,0,13.0
10/02/2022,,,175.5,176.0,178.0,176.1,,424500,0,176.1,0.60 (0.34 %),74974580000,0,14.0
09/02/2022,,,173.8,173.5,177.0,175.5,,509900,0,175.5,1.70 (0.98 %),89561450000,0,15.0
08/02/2022,,,173.5,173.6,174.5,173.8,,428000,0,173.8,0.30 (0.17 %),74421640000,0,16.0
07/02/2022,,,172.8,175.0,175.5,173.5,,383300,0,173.5,0.70 (0.41 %),66641670000,0,17.0
28/01/2022,,,172.3,172.8,173.6,172.8,,302400,0,172.8,0.50 (0.29 %),52281330000,0,18.0
27/01/2022,,,172.0,172.3,173.5,172.3,,516507,0,172.3,0.30 (0.17 %),89179817700,0,19.0
26/01/2022,,,169.3,169.8,172.0,172.0,,408975,0,172.0,2.70 (1.59 %),69626156500,0,20.0
25/01/2022,,,167.2,167.4,169.5,169.3,,456101,0,169.3,2.10 (1.26 %),76004017600,0,21.0
24/01/2022,,,170.5,170.8,172.7,167.2,,517976,0,167.2,-3.30 (-1.94 %),88165089500,0,2.0
21/01/2022,,,169.2,169.9,172.5,170.5,,536752,0,170.5,1.30 (0.77 %),91915777100,0,3.0
20/01/2022,,,188.0,188.5,189.2,169.2,,142408,0,169.2,-18.80 (-10.00 %),25192254400,0,4.0
19/01/2022,,,208.8,208.0,208.0,188.0,,259003,0,188.0,-20.80 (-9.96 %),48712971200,0,5.0
18/01/2022,,,231.9,232.9,233.0,208.8,,235705,0,208.8,-23.10 (-9.96 %),52189841700,0,6.0
17/01/2022,,,252.5,253.1,255.0,231.9,,437306,0,231.9,-20.60 (-8.16 %),109264669800,0,7.0
14/01/2022,,,251.3,255.8,255.8,252.5,,409630,0,252.5,1.20 (0.48 %),103284799000,0,8.0
13/01/2022,,,258.0,257.0,260.2,251.3,,448600,0,251.3,-6.70 (-2.60 %),116000420000,0,9.0
12/01/2022,,,260.1,259.7,261.2,258.0,,391013,0,258.0,-2.10 (-0.81 %),101098879000,0,10.0
11/01/2022,,,260.9,260.6,262.0,260.1,,403500,0,260.1,-0.80 (-0.31 %),105417586000,0,11.0
10/01/2022,,,265.5,265.1,266.5,260.9,,421323,0,260.9,-4.60 (-1.73 %),111720396900,0,12.0
07/01/2022,,,265.2,265.0,267.0,265.5,,459301,0,265.5,0.30 (0.11 %),121867086000,0,13.0
06/01/2022,,,264.7,264.4,266.3,265.2,,381300,0,265.2,0.50 (0.19 %),101194600000,0,14.0
05/01/2022,,,263.2,263.0,265.7,264.7,,413618,0,264.7,1.50 (0.57 %),109451419800,0,15.0
04/01/2022,,,277.0,264.3,277.0,263.2,,330860,0,263.2,-13.80 (-4.98 %),87557469000,0,16.0
31/12/2021,,,251.9,252.4,277.0,277.0,,317800,0,277.0,25.10 (9.96 %),82523110000,0,17.0
30/12/2021,,,251.3,251.9,253.3,251.9,,303035,0,251.9,0.60 (0.24 %),76411232100,0,18.0
29/12/2021,,,250.8,251.1,252.0,251.3,,372511,0,251.3,0.50 (0.20 %),93655875500,0,19.0
28/12/2021,,,244.9,245.0,252.0,250.8,,552945,0,250.8,5.90 (2.41 %),137106216600,0,20.0
27/12/2021,,,244.5,244.8,246.0,244.9,,428301,0,244.9,0.40 (0.16 %),105051784800,0,21.0
24/12/2021,,,243.8,244.2,245.5,244.5,,389445,0,244.5,0.70 (0.29 %),95371545000,0,2.0
23/12/2021,,,245.8,246.1,247.0,243.8,,438500,0,243.8,-2.00 (-0.81 %),107382360000,0,3.0
22/12/2021,,,245.5,245.8,247.2,245.8,,418000,0,245.8,0.30 (0.12 %),102954360000,0,4.0
21/12/2021,,,244.8,244.9,246.5,245.5,,387100,0,245.5,0.70 (0.29 %),95085410000,0,5.0
20/12/2021,,,244.0,244.5,245.7,244.8,,466714,0,244.8,0.80 (0.33 %),114426887200,0,6.0
17/12/2021,,,253.7,254.2,255.5,244.0,,641016,0,244.0,-9.70 (-3.82 %),161202185200,0,7.0
16/12/2021,,,253.6,254.0,254.6,253.7,,384400,0,253.7,0.10 (0.04 %),97680410000,0,8.0
15/12/2021,,,253.5,253.7,255.2,253.6,,426703,0,253.6,0.10 (0.04 %),108370733800,0,9.0
14/12/2021,,,253.3,253.8,254.7,253.5,,432715,0,253.5,0.20 (0.08 %),109893261700,0,10.0
13/12/2021,,,253.1,253.1,254.0,253.3,,360900,0,253.3,0.20 (0.08 %),91512540000,0,11.0
10/12/2021,,,252.8,252.9,253.7,253.1,,402408,0,253.1,0.30 (0.12 %),101858386000,0,12.0
09/12/2021,,,252.3,252.0,253.8,252.8,,455000,0,252.8,0.50 (0.20 %),115165380000,0,13.0
08/12/2021,,,251.8,251.9,254.7,252.3,,394200,0,252.3,0.50 (0.20 %),99796590000,0,14.0
07/12/2021,,,248.6,248.7,251.8,251.8,,486800,0,251.8,3.20 (1.29 %),121876480000,0,15.0
06/12/2021,,,251.5,252.7,257.2,248.6,,540800,0,248.6,-2.90 (-1.15 %),136679020000,0,16.0
03/12/2021,,,252.8,252.0,253.7,251.5,,573139,0,251.5,-1.30 (-0.51 %),144654637000,0,17.0
02/12/2021,,,252.6,235.5,253.8,252.8,,496300,0,252.8,0.20 (0.08 %),125580680000,0,18.0
01/12/2021,,,252.4,252.4,253.5,252.6,,561900,0,252.6,0.20 (0.08 %),141978120000,0,19.0
30/11/2021,,,251.6,252.2,254.5,252.4,,944303,0,252.4,0.80 (0.32 %),238523686300,0,20.0
29/11/2021,,,248.0,248.4,263.6,251.6,,649817,1150000,251.6,3.60 (1.45 %),166937555000,256680000000,21.0
26/11/2021,,,244.5,245.1,248.5,248.0,,621009,0,248.0,3.50 (1.43 %),153552756000,0,2.0
25/11/2021,,,240.8,241.2,244.5,244.5,,553413,0,244.5,3.70 (1.54 %),134348145600,0,3.0
24/11/2021,,,235.2,235.7,240.8,240.8,,502439,0,240.8,5.60 (2.38 %),119456530000,0,4.0
23/11/2021,,,233.9,235.4,235.7,235.2,,514909,0,235.2,1.30 (0.56 %),121010634200,0,5.0
22/11/2021,,,238.0,238.1,238.3,233.9,,1292708,0,233.9,-4.10 (-1.72 %),303069709200,0,6.0
19/11/2021,,,262.6,263.0,263.9,238.0,,625500,0,238.0,-24.60 (-9.37 %),164006830000,0,7.0
18/11/2021,,,262.2,262.9,267.5,262.6,,703500,0,262.6,0.40 (0.15 %),185211930000,0,8.0
17/11/2021,,,249.7,260.0,262.2,262.2,,634208,0,262.2,12.50 (5.01 %),162208188800,0,9.0
16/11/2021,,,227.0,227.8,249.7,249.7,,815050,0,249.7,22.70 (10.00 %),188856131600,0,10.0
15/11/2021,,,234.5,234.9,235.5,227.0,,480900,0,227.0,-7.50 (-3.20 %),112765180000,0,11.0
12/11/2021,,,234.1,234.3,234.9,234.5,,404910,0,234.5,0.40 (0.17 %),94755259000,0,12.0
11/11/2021,,,234.6,234.7,235.4,234.1,,466109,0,234.1,-0.50 (-0.21 %),109208383400,0,13.0
10/11/2021,,,234.2,234.7,235.6,234.6,,444002,1,234.6,0.40 (0.17 %),104338440600,210800,14.0
09/11/2021,,,235.7,235.7,236.6,234.2,,476038,0,234.2,-1.50 (-0.64 %),112240235500,0,15.0
08/11/2021,,,235.5,235.5,236.5,235.7,,449014,0,235.7,0.20 (0.08 %),105946703100,0,16.0
05/11/2021,,,235.2,235.2,236.0,235.5,,476910,0,235.5,0.30 (0.13 %),112346597000,0,17.0
04/11/2021,,,235.0,235.0,236.0,235.2,,482400,0,235.2,0.20 (0.09 %),113578390000,0,18.0
03/11/2021,,,235.5,235.6,236.8,235.0,,511600,0,235.0,-0.50 (-0.21 %),120653970000,0,19.0
02/11/2021,,,235.0,235.2,236.1,235.5,,489205,0,235.5,0.50 (0.21 %),115249369000,0,20.0
01/11/2021,,,234.0,234.3,241.0,235.0,,737710,0,235.0,1.00 (0.43 %),175208602000,0,21.0
29/10/2021,,,233.7,233.8,236.0,234.0,,589800,0,234.0,0.30 (0.13 %),138276790000,0,2.0
28/10/2021,,,231.9,232.0,233.7,233.7,,546400,0,233.7,1.80 (0.78 %),127140310000,0,3.0
27/10/2021,,,229.2,229.3,234.0,231.9,,525600,0,231.9,2.70 (1.18 %),121396740000,0,4.0
25/10/2021,,,228.7,228.8,229.5,229.0,,505800,0,229.0,0.30 (0.13 %),115896890000,0,5.0
22/10/2021,,,228.4,228.6,229.3,228.7,,455300,0,228.7,0.30 (0.13 %),104218300000,0,6.0
21/10/2021,,,227.9,228.1,229.1,228.4,,471600,0,228.4,0.50 (0.22 %),107771240000,0,7.0
20/10/2021,,,229.8,229.9,230.9,227.9,,481600,0,227.9,-1.90 (-0.83 %),110866780000,0,8.0
19/10/2021,,,229.6,229.7,230.5,229.8,,483000,0,229.8,0.20 (0.09 %),111082470000,0,9.0
18/10/2021,,,229.5,229.6,230.5,229.6,,466300,0,229.6,0.10 (0.04 %),107240880000,0,10.0
15/10/2021,,,229.4,229.5,230.0,229.5,,502949,0,229.5,0.10 (0.04 %),115520939800,0,11.0
14/10/2021,,,229.0,229.1,230.0,229.4,,490300,0,229.4,0.40 (0.17 %),112499520000,0,12.0
13/10/2021,,,228.9,229.0,229.7,229.0,,475018,0,229.0,0.10 (0.04 %),108906552000,0,13.0
12/10/2021,,,228.6,228.6,229.7,228.9,,509000,0,228.9,0.30 (0.13 %),116547720000,0,14.0
11/10/2021,,,228.4,228.5,229.4,228.6,,495500,0,228.6,0.20 (0.09 %),113457640000,0,15.0
08/10/2021,,,228.1,228.2,228.9,228.4,,532409,0,228.4,0.30 (0.13 %),121705398400,0,16.0
07/10/2021,,,228.0,228.1,228.8,228.1,,490007,0,228.1,0.10 (0.04 %),111893957400,0,17.0
06/10/2021,,,227.8,227.9,228.7,228.0,,502500,0,228.0,0.20 (0.09 %),114719820000,0,18.0
