date,change_perc1,change_perc2,open,high,low,close,avg,volume_match,volume_reconcile,adjust,change_perc,value_match,value_reconcile,Unnamed: 0
04/04/2022,,,0,13.00,13.10,13.00,0.00 (0.00 %),,146332000,13.00,13.00,11254,0,
01/04/2022,,,0,13.10,13.0,13.00,-0.10 (-0.76 %),,186370000,13.00,13.00,14300,0,
31/03/2022,,,0,13.50,13.50,13.00,-0.50 (-3.70 %),,457180000,13.00,13.00,35000,0,
30/03/2022,,,0,14.0,14.0,13.3,-0.70 (-5.00 %),,172660000,13.3,13.3,12800,0,
29/03/2022,,,0,13.2,14.2,13.9,0.70 (5.30 %),,96320000,13.9,13.9,6900,0,
28/03/2022,,,0,12.8,12.8,14.3,1.50 (11.72 %),,367300000,14.3,14.3,27900,0,
25/03/2022,,,0,12.9,12.8,13.0,0.10 (0.78 %),,94960000,13.0,13.0,7400,0,
24/03/2022,,,0,12.9,12.9,13.0,0.10 (0.78 %),,71020000,13.0,13.0,5500,0,
23/03/2022,,,0,12.9,12.9,12.9,0.00 (0.00 %),,189678000,12.9,12.9,14710,0,
22/03/2022,,,0,12.8,12.9,12.9,0.10 (0.78 %),,71990000,12.9,12.9,5600,0,
21/03/2022,,,0,12.7,12.7,12.8,0.10 (0.79 %),,228860000,12.8,12.8,17900,0,
18/03/2022,,,0,12.7,12.9,12.8,0.10 (0.79 %),,113110000,12.8,12.8,8900,0,
17/03/2022,,,0,12.7,12.7,13.2,0.50 (3.94 %),,288970000,13.2,13.2,22800,0,
16/03/2022,,,0,12.8,12.5,12.7,-0.10 (-0.78 %),,198868000,12.7,12.7,15664,0,
15/03/2022,,,0,12.8,12.9,12.7,-0.10 (-0.78 %),,541460000,12.7,12.7,42300,0,
14/03/2022,,,0,12.9,12.9,12.7,-0.20 (-1.55 %),,271760000,12.7,12.7,21200,0,
11/03/2022,,,0,13.2,13.0,12.9,-0.30 (-2.27 %),,287390000,12.9,12.9,22300,0,
10/03/2022,,,0,12.7,13.4,13.0,0.30 (2.36 %),,2640000,13.0,13.0,200,0,
09/03/2022,,,0,13.2,12.9,12.9,-0.30 (-2.27 %),,104050000,12.9,12.9,8200,0,
08/03/2022,,,0,13.2,13.1,13.4,0.20 (1.52 %),,25150000,13.4,13.4,1900,0,
07/03/2022,,,0,14.0,13.3,13.2,-0.80 (-5.71 %),,171930000,13.2,13.2,13000,0,
04/03/2022,,,0,13.0,14.0,14.0,1.00 (7.69 %),,88200000,14.0,14.0,6300,0,
03/03/2022,,,0,12.7,13.0,13.4,0.70 (5.51 %),,830760000,13.4,13.4,63900,0,
02/03/2022,,,0,12.6,12.6,12.9,0.30 (2.38 %),,91550000,12.9,12.9,7200,0,
01/03/2022,,,0,12.6,12.6,12.6,0.00 (0.00 %),,10080000,12.6,12.6,800,0,
28/02/2022,,,0,12.5,12.6,12.6,0.10 (0.80 %),,2520000,12.6,12.6,200,0,
25/02/2022,,,0,12.6,12.2,12.9,0.30 (2.38 %),,6240000,12.9,12.9,500,0,
24/02/2022,,,0,12.8,13.0,12.4,-0.40 (-3.13 %),,33950000,12.4,12.4,2700,0,
23/02/2022,,,0,12.8,13.1,12.8,0.00 (0.00 %),,26910000,12.8,12.8,2100,0,
22/02/2022,,,0,13.1,13.2,12.7,-0.40 (-3.05 %),,29340000,12.7,12.7,2300,0,
21/02/2022,,,0,12.9,13.1,13.1,0.20 (1.55 %),,39300000,13.1,13.1,3000,0,
18/02/2022,,,0,12.9,12.9,12.9,0.00 (0.00 %),,12900000,12.9,12.9,1000,0,
17/02/2022,,,0,13.2,13.0,12.8,-0.40 (-3.03 %),,54300000,12.8,12.8,4200,0,
16/02/2022,,,0,13.1,13.2,13.2,0.10 (0.76 %),,1320000,13.2,13.2,100,0,
15/02/2022,,,0,13.1,13.1,13.1,0.00 (0.00 %),,18340000,13.1,13.1,1400,0,
14/02/2022,,,0,13.0,13.3,13.1,0.10 (0.77 %),,82610000,13.1,13.1,6300,0,
11/02/2022,,,0,13.3,13.0,13.0,-0.30 (-2.26 %),,20800000,13.0,13.0,1600,0,
10/02/2022,,,0,13.2,13.3,13.2,0.00 (0.00 %),,46500000,13.2,13.2,3500,0,
09/02/2022,,,0,13.9,13.1,13.2,-0.70 (-5.04 %),,84380000,13.2,13.2,6400,0,
08/02/2022,,,0,12.5,13.9,13.8,1.30 (10.40 %),,23560000,13.8,13.8,1700,0,
07/02/2022,,,0,13.8,12.5,12.6,-1.20 (-8.70 %),,28780000,12.6,12.6,2300,0,
28/01/2022,,,0,13.8,13.8,13.8,0.00 (0.00 %),,4140000,13.8,13.8,300,0,
27/01/2022,,,0,13.8,13.8,13.8,0.00 (0.00 %),,0,13.8,13.8,0,0,
26/01/2022,,,0,13.8,13.8,13.8,0.00 (0.00 %),,2760000,13.8,13.8,200,0,
25/01/2022,,,0,13.8,13.8,13.8,0.00 (0.00 %),,0,13.8,13.8,0,0,
24/01/2022,,,0,13.4,13.8,13.8,0.40 (2.99 %),,9660000,13.8,13.8,700,0,
21/01/2022,,,0,13.4,13.4,13.4,0.00 (0.00 %),,0,13.4,13.4,0,0,
20/01/2022,,,0,13.9,13.7,13.7,-0.20 (-1.44 %),,69490000,13.7,13.7,5200,0,
19/01/2022,,,0,13.9,13.9,13.9,0.00 (0.00 %),,0,13.9,13.9,0,0,
18/01/2022,,,0,13.9,13.9,13.9,0.00 (0.00 %),,0,13.9,13.9,0,0,
17/01/2022,,,0,14.1,13.9,13.9,-0.20 (-1.42 %),,26410000,13.9,13.9,1900,0,
14/01/2022,,,0,14.0,13.4,14.0,0.00 (0.00 %),,30940000,14.0,14.0,2200,0,
13/01/2022,,,0,14.0,14.0,14.0,0.00 (0.00 %),,80500,14.0,14.0,5,0,
12/01/2022,,,0,14.1,14.0,14.0,-0.10 (-0.71 %),,23800000,14.0,14.0,1700,0,
11/01/2022,,,0,14.2,14.1,14.1,-0.10 (-0.70 %),,33840000,14.1,14.1,2400,0,
10/01/2022,,,0,14.4,14.2,14.2,-0.20 (-1.39 %),,35500000,14.2,14.2,2500,0,
07/01/2022,,,0,14.4,14.3,14.4,0.00 (0.00 %),,86340000,14.4,14.4,6000,0,
06/01/2022,,,0,14.2,14.4,14.4,0.20 (1.41 %),,77760000,14.4,14.4,5400,0,
05/01/2022,,,0,14.3,14.2,14.2,-0.10 (-0.70 %),,190060000,14.2,14.2,13400,0,
04/01/2022,,,0,14.2,14.5,14.3,0.10 (0.70 %),,192950000,14.3,14.3,13500,0,
31/12/2021,,,0,14.2,14.2,14.2,0.00 (0.00 %),,71000000,14.2,14.2,5000,0,
30/12/2021,,,0,14.3,14.3,14.2,-0.10 (-0.70 %),,9970000,14.2,14.2,700,0,3.0
29/12/2021,,,0,14.5,14.3,14.4,-0.10 (-0.69 %),,131760000,14.4,14.4,9200,0,4.0
28/12/2021,,,0,14.5,14.5,14.5,0.00 (0.00 %),,0,14.5,14.5,0,0,5.0
27/12/2021,,,0,14.2,14.4,14.5,0.30 (2.11 %),,136100000,14.5,14.5,9400,0,6.0
24/12/2021,,,0,14.5,14.2,14.2,-0.30 (-2.07 %),,7100000,14.2,14.2,500,0,7.0
23/12/2021,,,0,14.5,14.5,14.5,0.00 (0.00 %),,145100000,14.5,14.5,10000,0,8.0
21/12/2021,,,0,14.7,14.2,14.4,-0.30 (-2.04 %),,170800000,14.4,14.4,12000,0,9.0
20/12/2021,,,0,14.7,14.9,14.7,0.00 (0.00 %),,36850000,14.7,14.7,2500,0,10.0
17/12/2021,,,0,14.5,14.7,14.7,0.20 (1.38 %),,1470000,14.7,14.7,100,0,11.0
16/12/2021,,,0,14.5,14.5,14.5,0.00 (0.00 %),,14500000,14.5,14.5,1000,0,12.0
15/12/2021,,,0,14.0,14.5,14.5,0.50 (3.57 %),,91370000,14.5,14.5,6300,0,13.0
14/12/2021,,,0,14.2,14.1,14.0,-0.20 (-1.41 %),,42010000,14.0,14.0,3000,0,14.0
13/12/2021,,,0,14.2,14.2,14.2,0.00 (0.00 %),,0,14.2,14.2,0,0,15.0
10/12/2021,,,0,14.3,14.2,14.2,-0.10 (-0.70 %),,11360000,14.2,14.2,800,0,16.0
09/12/2021,,,0,13.9,14.3,14.3,0.40 (2.88 %),,1430000,14.3,14.3,100,0,17.0
08/12/2021,,,0,14.6,13.8,14.3,-0.30 (-2.05 %),,12470000,14.3,14.3,900,0,18.0
07/12/2021,,,0,14.6,14.6,14.6,0.00 (0.00 %),,0,14.6,14.6,0,0,19.0
06/12/2021,,,0,14.6,14.6,14.6,0.00 (0.00 %),,0,14.6,14.6,0,0,20.0
03/12/2021,,,0,14.2,14.6,14.6,0.40 (2.82 %),,1460000,14.6,14.6,100,0,21.0
02/12/2021,,,0,14.3,14.3,14.2,-0.10 (-0.70 %),,45540000,14.2,14.2,3200,0,2.0
01/12/2021,,,0,14.5,14.4,14.8,0.30 (2.07 %),,74540000,14.8,14.8,5200,0,3.0
30/11/2021,,,0,14.6,14.6,14.6,0.00 (0.00 %),,134800000,14.6,14.6,9300,0,4.0
29/11/2021,,,0,14.8,14.8,14.8,0.00 (0.00 %),,147620000,14.8,14.8,10100,0,5.0
26/11/2021,,,0,14.7,15.0,15.0,0.30 (2.04 %),,336680000,14.4,14.69,22300,0,6.0
25/11/2021,,,0,14.2,14.8,14.6,0.40 (2.82 %),,29400000,14.4,14.3,2000,0,7.0
24/11/2021,,,0,14.0,14.1,14.8,0.80 (5.71 %),,387840000,13.92,14.5,27300,0,8.0
23/11/2021,,,0,14.0,14.0,14.0,0.00 (0.00 %),,21000000,13.71,13.71,1500,0,9.0
22/11/2021,,,0,14.5,13.8,14.0,-0.50 (-3.45 %),,48900000,13.69,13.71,3500,0,10.0
19/11/2021,,,0,14.3,14.5,14.5,0.20 (1.40 %),,27550000,14.2,14.2,1900,0,11.0
18/11/2021,,,0,14.5,14.3,14.5,0.00 (0.00 %),,45840000,14.03,14.2,3200,0,12.0
17/11/2021,,,0,14.5,14.5,14.5,0.00 (0.00 %),,46472500,14.2,14.2,3205,0,13.0
16/11/2021,,,0,14.6,14.5,14.5,-0.10 (-0.68 %),,43500000,14.2,14.2,3000,0,14.0
15/11/2021,,,0,14.7,14.6,14.5,-0.20 (-1.36 %),,109400000,14.29,14.2,7500,0,15.0
12/11/2021,,,0,14.7,14.7,14.7,0.00 (0.00 %),,0,14.7,14.4,0,0,16.0
11/11/2021,,,0,14.5,14.7,14.6,0.10 (0.69 %),,85180000,14.39,14.3,5800,0,17.0
10/11/2021,,,0,13.9,14.5,14.5,0.60 (4.32 %),,13050000,14.2,14.2,900,0,18.0
09/11/2021,,,0,14.3,14.0,13.6,-0.70 (-4.90 %),,102960000,13.63,13.32,7400,0,19.0
08/11/2021,,,0,14.6,14.0,14.6,0.00 (0.00 %),,177500000,14.02,14.3,12400,0,20.0
05/11/2021,,,0,13.6,14.0,15.0,1.40 (10.29 %),,281750000,14.3,14.69,19300,0,21.0
04/11/2021,,,0,13.4,13.5,13.6,0.20 (1.49 %),,54310000,13.3,13.32,4000,0,2.0
