date,change_perc1,change_perc2,open,high,low,close,avg,volume_match,volume_reconcile,adjust,change_perc,value_match,value_reconcile,Unnamed: 0
04/04/2022,,,15.80,15.80,16.10,15.80,,131100,0,15.80,0.00 (0.00 %),2068770000,0,
31/03/2022,,,15.50,15.5,16.20,15.70,,110901,0,15.70,0.20 (1.29 %),1760946800,0,
30/03/2022,,,16.3,16.2,16.3,15.5,,319900,0,15.5,-0.80 (-4.91 %),5063220000,0,
29/03/2022,,,16.4,16.1,16.4,16.3,,139900,0,16.3,-0.10 (-0.61 %),2277650000,0,
28/03/2022,,,16.7,16.7,16.8,16.4,,252074,0,16.4,-0.30 (-1.80 %),4098647600,0,
25/03/2022,,,16.6,16.6,16.7,16.7,,167000,0,16.7,0.10 (0.60 %),2751630000,0,
24/03/2022,,,16.9,16.9,17.2,16.6,,181622,0,16.6,-0.30 (-1.78 %),3045032500,0,
23/03/2022,,,17.5,17.4,17.5,16.9,,120640,0,16.9,-0.60 (-3.43 %),2056905600,0,
22/03/2022,,,16.4,17.9,17.9,17.5,,528640,0,17.5,1.10 (6.71 %),9143726000,0,
21/03/2022,,,16.5,16.5,17.0,16.4,,139400,0,16.4,-0.10 (-0.61 %),2278960000,0,
18/03/2022,,,16.6,16.7,16.9,16.5,,146005,0,16.5,-0.10 (-0.60 %),2427504000,0,
17/03/2022,,,16.6,16.8,16.8,16.6,,203652,0,16.6,0.00 (0.00 %),3307401600,0,
16/03/2022,,,16.9,17.0,17.0,16.6,,101708,0,16.6,-0.30 (-1.78 %),1697544400,0,
15/03/2022,,,16.5,16.2,16.9,16.9,,262900,0,16.9,0.40 (2.42 %),4197450000,0,
14/03/2022,,,17.1,15.5,17.1,16.5,,437901,0,16.5,-0.60 (-3.51 %),7179143300,0,
11/03/2022,,,18.8,19.2,19.2,17.1,,637150,0,17.1,-1.70 (-9.04 %),11458200000,0,
10/03/2022,,,19.1,19.1,19.6,18.8,,276395,0,18.8,-0.30 (-1.57 %),5166937000,0,
09/03/2022,,,18.6,18.6,19.7,19.1,,818550,0,19.1,0.50 (2.69 %),15238870000,0,
08/03/2022,,,19.8,20.0,20.5,18.6,,565230,0,18.6,-1.20 (-6.06 %),10949265000,0,
07/03/2022,,,18.0,18.2,19.8,19.8,,752448,0,19.8,1.80 (10.00 %),14406332800,0,
04/03/2022,,,18.4,18.8,19.9,18.0,,588611,0,18.0,-0.40 (-2.17 %),11176921600,0,
03/03/2022,,,16.8,17.2,18.4,18.4,,1109064,0,18.4,1.60 (9.52 %),19825268800,0,
02/03/2022,,,16.7,16.5,17.1,16.8,,357194,0,16.8,0.10 (0.60 %),5993292000,0,
01/03/2022,,,16.7,17.3,17.9,16.7,,525264,0,16.7,0.00 (0.00 %),9106552500,0,
28/02/2022,,,15.2,15.5,16.7,16.7,,719591,0,16.7,1.50 (9.87 %),11792119900,0,
25/02/2022,,,14.4,14.5,15.3,15.2,,498111,0,15.2,0.80 (5.56 %),7512476100,0,3.0
