date,change_perc1,change_perc2,open,high,low,close,avg,volume_match,volume_reconcile,adjust,change_perc,value_match,value_reconcile,Unnamed: 0
04/04/2022,,,2698900000,15.90,16.10,16.10,0.20 (1.26 %),,478440000,16.10,16.10,28400,197000,
01/04/2022,,,0,14.00,16.1,16.10,2.10 (15.00 %),,390452000,16.10,16.10,24520,0,
31/03/2022,,,1410000000,12.30,12.30,14.10,1.80 (14.63 %),,1909670000,14.10,14.10,136000,100000,
30/03/2022,,,0,11.8,12.4,13.0,1.20 (10.17 %),,5852750000,13.0,13.0,477300,0,
29/03/2022,,,0,10.6,11.0,12.1,1.50 (14.15 %),,187232000,12.1,12.1,15820,0,
28/03/2022,,,0,11.7,11.7,11.8,0.10 (0.85 %),,2563130000,11.8,11.8,241600,0,
25/03/2022,,,0,11.7,11.7,11.5,-0.20 (-1.71 %),,7000000,11.5,11.5,600,0,
24/03/2022,,,0,11.7,11.7,12.0,0.30 (2.56 %),,71210000,12.0,12.0,6100,0,
23/03/2022,,,0,11.6,12.0,12.1,0.50 (4.31 %),,147760000,12.1,12.1,12600,0,
22/03/2022,,,0,11.7,12.0,12.0,0.30 (2.56 %),,1176520000,12.0,12.0,101400,0,
21/03/2022,,,0,11.6,12.0,11.8,0.20 (1.72 %),,50200000,11.8,11.8,4300,0,
18/03/2022,,,0,12.1,12.1,11.9,-0.20 (-1.65 %),,146780000,11.9,11.9,12600,0,
17/03/2022,,,0,12.1,12.1,12.2,0.10 (0.83 %),,39960000,12.2,12.2,3300,0,
16/03/2022,,,0,12.1,12.1,12.1,0.00 (0.00 %),,29030000,12.1,12.1,2400,0,
15/03/2022,,,0,12.4,12.4,12.1,-0.30 (-2.42 %),,101510000,12.1,12.1,8400,0,
14/03/2022,,,0,12.6,12.8,12.4,-0.20 (-1.59 %),,79340000,12.4,12.4,6400,0,
11/03/2022,,,0,12.1,12.2,12.8,0.70 (5.79 %),,111940000,12.8,12.8,8900,0,
10/03/2022,,,0,12.8,12.5,12.2,-0.60 (-4.69 %),,271730000,12.2,12.2,22400,0,
09/03/2022,,,0,13.4,13.4,12.5,-0.90 (-6.72 %),,395810000,12.5,12.5,31000,0,
08/03/2022,,,0,13.3,13.5,13.4,0.10 (0.75 %),,100240000,13.4,13.4,7500,0,
07/03/2022,,,0,12.6,12.7,13.3,0.70 (5.56 %),,764300000,13.3,13.3,57400,0,
04/03/2022,,,0,12.4,12.4,12.7,0.30 (2.42 %),,55590000,12.7,12.7,4400,0,
03/03/2022,,,0,12.4,12.4,12.4,0.00 (0.00 %),,48360000,12.4,12.4,3900,0,
02/03/2022,,,0,12.3,12.3,12.4,0.10 (0.81 %),,43360000,12.4,12.4,3500,0,
01/03/2022,,,0,12.2,12.2,12.3,0.10 (0.82 %),,25850000,12.3,12.3,2100,0,
28/02/2022,,,0,12.0,12.3,12.3,0.30 (2.50 %),,56240000,12.3,12.3,4600,0,
25/02/2022,,,0,11.9,11.9,12.3,0.40 (3.36 %),,60180000,12.3,12.3,5000,0,
24/02/2022,,,0,11.9,11.9,11.8,-0.10 (-0.84 %),,14280000,11.8,11.8,1200,0,
23/02/2022,,,0,11.9,11.9,11.8,-0.10 (-0.84 %),,26140000,11.8,11.8,2200,0,
22/02/2022,,,0,11.9,11.9,11.9,0.00 (0.00 %),,49920000,11.9,11.9,4200,0,
21/02/2022,,,0,11.9,11.8,12.0,0.10 (0.84 %),,1221700000,12.0,12.0,102700,0,
18/02/2022,,,0,11.8,11.8,11.9,0.10 (0.85 %),,15420000,11.9,11.9,1300,0,
17/02/2022,,,0,11.8,11.8,11.9,0.10 (0.85 %),,20090000,11.9,11.9,1700,0,
16/02/2022,,,0,12.1,11.9,12.0,-0.10 (-0.83 %),,1204950000,12.0,12.0,102100,0,
15/02/2022,,,0,12.2,12.2,11.9,-0.30 (-2.46 %),,41170000,11.9,11.9,3400,0,
14/02/2022,,,0,12.1,12.1,12.2,0.10 (0.83 %),,71840000,12.2,12.2,5900,0,
11/02/2022,,,0,12.2,12.1,12.1,-0.10 (-0.82 %),,31440000,12.1,12.1,2600,0,
10/02/2022,,,0,12.3,12.3,12.1,-0.20 (-1.63 %),,35300000,12.1,12.1,2900,0,
09/02/2022,,,0,12.2,12.2,12.2,0.00 (0.00 %),,50290000,12.2,12.2,4100,0,
08/02/2022,,,0,12.2,12.0,12.2,0.00 (0.00 %),,48970000,12.2,12.2,4000,0,
07/02/2022,,,0,11.7,11.7,12.0,0.30 (2.56 %),,73160000,12.0,12.0,6000,0,
28/01/2022,,,0,11.8,11.8,11.7,-0.10 (-0.85 %),,36280000,11.7,11.7,3100,0,
27/01/2022,,,0,11.7,11.7,11.8,0.10 (0.85 %),,52080000,11.8,11.8,4400,0,
26/01/2022,,,0,11.6,11.6,11.7,0.10 (0.86 %),,38640000,11.7,11.7,3300,0,
25/01/2022,,,0,11.5,11.5,11.7,0.20 (1.74 %),,24390000,11.7,11.7,2100,0,
24/01/2022,,,0,11.7,11.6,11.5,-0.20 (-1.71 %),,21810000,11.5,11.5,1900,0,
21/01/2022,,,0,11.5,11.6,11.6,0.10 (0.87 %),,29260000,11.6,11.6,2500,0,
20/01/2022,,,0,11.3,11.4,11.6,0.30 (2.65 %),,18420000,11.6,11.6,1600,0,
19/01/2022,,,0,11.4,11.4,11.4,0.00 (0.00 %),,57830000,11.4,11.4,5100,0,
18/01/2022,,,0,11.4,11.4,11.5,0.10 (0.88 %),,53560000,11.5,11.5,4700,0,
17/01/2022,,,0,11.5,11.5,11.4,-0.10 (-0.87 %),,44330000,11.4,11.4,3900,0,
14/01/2022,,,0,11.5,11.6,11.5,0.00 (0.00 %),,19510000,11.5,11.5,1700,0,
