date,change_perc1,change_perc2,open,high,low,close,avg,volume_match,volume_reconcile,adjust,change_perc,value_match,value_reconcile,Unnamed: 0
16/05/2013,,,1.20,1.20,1.30,1.20,,96600,0,1.20,0.00 (0.00 %),118920000,0,
15/05/2013,,,1.2,1.2,1.2,1.2,,19500,0,1.2,0.00 (0.00 %),23400000,0,3.0
14/05/2013,,,1.2,1.2,1.2,1.2,,10900,0,1.2,0.00 (0.00 %),13080000,0,4.0
13/05/2013,,,1.2,1.2,1.2,1.2,,34500,0,1.2,0.00 (0.00 %),41400000,0,5.0
10/05/2013,,,1.2,1.1,1.2,1.2,,76500,0,1.2,0.00 (0.00 %),86250000,0,6.0
09/05/2013,,,1.2,1.1,1.2,1.2,,34500,0,1.2,0.00 (0.00 %),40920000,0,7.0
08/05/2013,,,1.2,1.2,1.2,1.2,,16200,0,1.2,0.00 (0.00 %),17860000,0,8.0
07/05/2013,,,1.2,1.0,1.2,1.2,,22400,50,1.2,0.00 (0.00 %),25540000,50000,9.0
06/05/2013,,,1.2,1.1,1.2,1.2,,160400,0,1.2,0.00 (0.00 %),176450000,0,10.0
03/05/2013,,,1.3,1.3,1.3,1.2,,117400,0,1.2,-0.10 (-7.69 %),143500000,0,11.0
02/05/2013,,,1.4,1.3,1.3,1.3,,32000,0,1.3,-0.10 (-7.14 %),41600000,0,12.0
26/04/2013,,,1.5,1.4,1.4,1.4,,18600,0,1.4,-0.10 (-6.67 %),26040000,0,13.0
25/04/2013,,,1.6,1.5,1.5,1.5,,50700,0,1.5,-0.10 (-6.25 %),76050000,0,14.0
24/04/2013,,,1.7,1.6,1.6,1.6,,9600,0,1.6,-0.10 (-5.88 %),15360000,0,15.0
23/04/2013,,,1.7,1.7,1.7,1.7,,0,0,1.7,0.00 (0.00 %),0,0,16.0
22/04/2013,,,1.7,1.7,1.7,1.7,,100,0,1.7,0.00 (0.00 %),170000,0,17.0
18/04/2013,,,1.7,1.6,1.7,1.7,,8800,0,1.7,0.00 (0.00 %),14090000,0,18.0
17/04/2013,,,1.7,1.7,1.7,1.7,,2300,0,1.7,0.00 (0.00 %),3910000,0,19.0
16/04/2013,,,1.7,1.7,1.7,1.7,,6000,0,1.7,0.00 (0.00 %),10200000,0,20.0
15/04/2013,,,1.7,1.7,1.7,1.7,,2800,0,1.7,0.00 (0.00 %),4520000,0,21.0
12/04/2013,,,1.7,1.6,1.7,1.7,,600,0,1.7,0.00 (0.00 %),970000,0,2.0
11/04/2013,,,1.6,1.5,1.7,1.7,,5400,0,1.7,0.10 (6.25 %),8740000,0,3.0
10/04/2013,,,1.6,1.6,1.6,1.6,,200,0,1.6,0.00 (0.00 %),320000,0,4.0
09/04/2013,,,1.6,1.6,1.6,1.6,,1000,0,1.6,0.00 (0.00 %),1600000,0,5.0
08/04/2013,,,1.6,1.6,1.6,1.6,,2400,0,1.6,0.00 (0.00 %),3840000,0,6.0
05/04/2013,,,1.7,1.6,1.6,1.6,,200,0,1.6,-0.10 (-5.88 %),320000,0,7.0
04/04/2013,,,1.8,1.7,1.7,1.7,,39600,0,1.7,-0.10 (-5.56 %),67320000,0,8.0
03/04/2013,,,1.8,1.8,1.8,1.8,,7100,0,1.8,0.00 (0.00 %),12480000,0,9.0
02/04/2013,,,1.8,1.7,1.8,1.8,,4100,0,1.8,0.00 (0.00 %),6980000,0,10.0
01/04/2013,,,1.8,1.7,1.8,1.8,,4600,0,1.8,0.00 (0.00 %),7830000,0,11.0
29/03/2013,,,1.8,1.7,1.8,1.8,,700,0,1.8,0.00 (0.00 %),1200000,0,12.0
28/03/2013,,,1.9,1.8,1.8,1.8,,1600,0,1.8,-0.10 (-5.26 %),2830000,0,13.0
27/03/2013,,,1.8,1.7,1.9,1.9,,3100,0,1.9,0.10 (5.56 %),5390000,0,14.0
26/03/2013,,,1.9,1.9,1.9,1.8,,1100,0,1.8,-0.10 (-5.26 %),1990000,0,15.0
25/03/2013,,,1.9,1.8,1.9,1.9,,1800,0,1.9,0.00 (0.00 %),3250000,0,16.0
22/03/2013,,,1.8,1.9,1.9,1.9,,1500,0,1.9,0.10 (5.56 %),2720000,0,17.0
21/03/2013,,,1.8,1.8,1.8,1.8,,2000,0,1.8,0.00 (0.00 %),3600000,0,18.0
20/03/2013,,,1.8,1.8,1.8,1.8,,3600,0,1.8,0.00 (0.00 %),6380000,0,19.0
19/03/2013,,,1.8,1.9,1.9,1.8,,1200,0,1.8,0.00 (0.00 %),2070000,0,20.0
18/03/2013,,,1.9,1.8,1.8,1.8,,1900,0,1.8,-0.10 (-5.26 %),3420000,0,21.0
15/03/2013,,,1.8,1.7,1.9,1.9,,4000,0,1.9,0.10 (5.56 %),6960000,0,2.0
14/03/2013,,,1.8,1.7,1.8,1.8,,3400,0,1.8,0.00 (0.00 %),5980000,0,3.0
13/03/2013,,,1.8,1.8,1.8,1.8,,2000,0,1.8,0.00 (0.00 %),3600000,0,4.0
12/03/2013,,,1.8,1.7,1.8,1.8,,17500,0,1.8,0.00 (0.00 %),29760000,0,5.0
11/03/2013,,,1.8,1.8,1.8,1.8,,100,0,1.8,0.00 (0.00 %),180000,0,6.0
08/03/2013,,,1.8,1.7,1.8,1.8,,40500,0,1.8,0.00 (0.00 %),68860000,0,7.0
07/03/2013,,,1.8,1.7,1.8,1.8,,32700,0,1.8,0.00 (0.00 %),55610000,0,8.0
06/03/2013,,,1.9,1.8,1.8,1.8,,73700,0,1.8,-0.10 (-5.26 %),126800000,0,9.0
05/03/2013,,,1.9,1.9,1.9,1.9,,48300,0,1.9,0.00 (0.00 %),86970000,0,10.0
04/03/2013,,,1.8,1.8,1.9,1.9,,1000,0,1.9,0.10 (5.56 %),1810000,0,11.0
01/03/2013,,,1.8,1.9,1.9,1.8,,33000,0,1.8,0.00 (0.00 %),58050000,0,12.0
28/02/2013,,,1.9,1.9,1.9,1.8,,14200,0,1.8,-0.10 (-5.26 %),25580000,0,13.0
27/02/2013,,,2.0,1.8,1.9,1.9,,7000,0,1.9,-0.10 (-5.00 %),13200000,0,14.0
26/02/2013,,,2.0,1.9,2.0,2.0,,16400,0,2.0,0.00 (0.00 %),31290000,0,15.0
25/02/2013,,,1.9,2.0,2.0,2.0,,18100,0,2.0,0.10 (5.26 %),36200000,0,16.0
22/02/2013,,,1.8,1.9,1.9,1.9,,22100,0,1.9,0.10 (5.56 %),40850000,0,17.0
21/02/2013,,,2.0,2.0,2.0,1.8,,6000,0,1.8,-0.20 (-10.00 %),10920000,0,18.0
20/02/2013,,,2.1,1.9,2.1,2.0,,11400,0,2.0,-0.10 (-4.76 %),21810000,0,19.0
19/02/2013,,,2.0,2.0,2.1,2.1,,2400,0,2.1,0.10 (5.00 %),4820000,0,20.0
18/02/2013,,,1.9,2.0,2.0,2.0,,25200,0,2.0,0.10 (5.26 %),45400000,0,21.0
08/02/2013,,,1.8,1.7,1.9,1.9,,29400,0,1.9,0.10 (5.56 %),52720000,0,2.0
07/02/2013,,,2.0,2.1,2.1,1.8,,2400,0,1.8,-0.20 (-10.00 %),4350000,0,3.0
06/02/2013,,,1.9,2.0,2.0,2.0,,300,0,2.0,0.10 (5.26 %),590000,0,4.0
05/02/2013,,,2.0,1.8,1.9,1.9,,4600,0,1.9,-0.10 (-5.00 %),8650000,0,5.0
04/02/2013,,,2.0,2.1,2.1,2.0,,13600,0,2.0,0.00 (0.00 %),24690000,0,6.0
01/02/2013,,,2.1,2.1,2.1,2.0,,1100,0,2.0,-0.10 (-4.76 %),2210000,0,7.0
31/01/2013,,,2.2,2.1,2.1,2.1,,2400,0,2.1,-0.10 (-4.55 %),4680000,0,8.0
30/01/2013,,,2.1,2.1,2.2,2.2,,1800,0,2.2,0.10 (4.76 %),3690000,0,9.0
29/01/2013,,,2.3,2.3,2.3,2.1,,10400,0,2.1,-0.20 (-8.70 %),21860000,0,10.0
28/01/2013,,,2.2,2.3,2.3,2.3,,100,0,2.3,0.10 (4.55 %),230000,0,11.0
25/01/2013,,,2.3,2.1,2.2,2.2,,12900,0,2.2,-0.10 (-4.35 %),27150000,0,12.0
24/01/2013,,,2.4,2.4,2.4,2.3,,5700,0,2.3,-0.10 (-4.17 %),12040000,0,13.0
23/01/2013,,,2.3,2.3,2.4,2.4,,4400,0,2.4,0.10 (4.35 %),9740000,0,14.0
22/01/2013,,,2.3,2.3,2.3,2.3,,100,0,2.3,0.00 (0.00 %),230000,0,15.0
21/01/2013,,,2.2,2.3,2.3,2.3,,100,0,2.3,0.10 (4.55 %),230000,0,16.0
18/01/2013,,,2.3,2.1,2.2,2.2,,6600,0,2.2,-0.10 (-4.35 %),13870000,0,17.0
17/01/2013,,,2.3,2.1,2.3,2.3,,7600,0,2.3,0.00 (0.00 %),16420000,0,18.0
16/01/2013,,,2.2,2.3,2.3,2.3,,3200,0,2.3,0.10 (4.55 %),6860000,0,19.0
15/01/2013,,,2.1,2.2,2.2,2.2,,100,0,2.2,0.10 (4.76 %),220000,0,20.0
14/01/2013,,,2.1,2.0,2.1,2.1,,6600,0,2.1,0.00 (0.00 %),13220000,0,21.0
