date,change_perc1,change_perc2,open,high,low,close,avg,volume_match,volume_reconcile,adjust,change_perc,value_match,value_reconcile,Unnamed: 0
04/04/2022,,,51.00,51.00,44.70,44.70,,200,0,44.70,-3.10 (-6.49 %),9000000,0,
01/04/2022,,,47.80,47.80,47.80,47.80,,9700,0,47.80,3.10 (6.94 %),463000000,0,
31/03/2022,,,44.7,44.7,44.7,44.7,,2100,0,44.7,2.90 (6.94 %),93000000,0,
30/03/2022,,,46.85,46.85,41.8,41.8,,4600,0,41.8,-2.00 (-4.57 %),212000000,0,
29/03/2022,,,47.05,50.3,43.8,43.8,,7300,0,43.8,-3.30 (-7.01 %),363000000,0,
28/03/2022,,,47.05,47.05,41.3,47.05,,3500,0,47.05,3.05 (6.93 %),162000000,0,
25/03/2022,,,48.5,48.5,42.3,44.0,,17200,0,44.0,-1.40 (-3.08 %),820000000,0,
24/03/2022,,,45.3,45.35,40.2,45.35,,5000,0,45.35,2.95 (6.96 %),222000000,0,
23/03/2022,,,40.6,46.0,40.6,42.4,,2700,0,42.4,-0.60 (-1.40 %),117000000,0,
22/03/2022,,,46.3,46.3,40.5,43.0,,23100,0,43.0,-0.30 (-0.69 %),1056000000,0,
21/03/2022,,,38.0,43.3,38.0,43.3,,4800,0,43.3,2.80 (6.91 %),202000000,0,
18/03/2022,,,43.4,43.4,38.2,40.5,,5100,0,40.5,-0.10 (-0.25 %),218000000,0,
17/03/2022,,,40.2,46.0,40.2,40.6,,2200,0,40.6,-2.40 (-5.58 %),94000000,0,
16/03/2022,,,43.0,49.2,43.0,43.0,,67600,0,43.0,-3.00 (-6.52 %),3288000000,0,
15/03/2022,,,46.0,46.0,46.0,46.0,,0,0,46.0,0.00 (0.00 %),0,0,
14/03/2022,,,46.0,46.0,46.0,46.0,,700,0,46.0,2.40 (5.50 %),32000000,0,
11/03/2022,,,43.6,43.6,43.6,43.6,,0,0,43.6,0.00 (0.00 %),0,0,
10/03/2022,,,42.0,43.85,42.0,43.6,,1200,0,43.6,2.60 (6.34 %),52000000,0,
09/03/2022,,,41.0,41.0,41.0,41.0,,0,0,41.0,0.00 (0.00 %),0,0,
08/03/2022,,,40.0,41.0,40.0,41.0,,5300,0,41.0,0.00 (0.00 %),216000000,0,
07/03/2022,,,38.8,41.0,38.8,40.95,,33200,0,40.95,2.15 (5.54 %),1359000000,0,
04/03/2022,,,38.8,38.8,38.8,38.8,,0,0,38.8,0.00 (0.00 %),0,0,
03/03/2022,,,38.8,38.8,38.8,38.8,,1500,0,38.8,2.50 (6.89 %),58000000,0,
02/03/2022,,,31.7,36.3,31.7,36.3,,1000,0,36.3,2.30 (6.76 %),35000000,0,
