date,change_perc1,change_perc2,open,high,low,close,avg,volume_match,volume_reconcile,adjust,change_perc,value_match,value_reconcile,Unnamed: 0
04/04/2022,,,11.90,12.00,12.50,12.50,,2600,0,12.50,0.60 (5.04 %),32450000,0,
31/03/2022,,,13.90,12.7,12.90,12.90,,2400,0,12.90,-1.00 (-7.19 %),30300000,0,
30/03/2022,,,14.0,14.0,15.0,13.9,,22700,0,13.9,-0.10 (-0.71 %),317130000,0,
29/03/2022,,,13.2,14.3,14.3,14.0,,32400,0,14.0,0.80 (6.06 %),448870000,0,
28/03/2022,,,12.2,12.1,13.4,13.2,,9700,0,13.2,1.00 (8.20 %),125710000,0,
25/03/2022,,,11.1,11.4,12.2,12.2,,51600,0,12.2,1.10 (9.91 %),626360000,0,
24/03/2022,,,11.0,11.1,11.1,11.1,,3500,0,11.1,0.10 (0.91 %),38650000,0,
23/03/2022,,,10.5,11.0,11.5,11.0,,8353,0,11.0,0.50 (4.76 %),92579500,0,
22/03/2022,,,11.1,10.5,10.5,10.5,,200,0,10.5,-0.60 (-5.41 %),2100000,0,
21/03/2022,,,11.1,11.1,11.1,11.1,,0,0,11.1,0.00 (0.00 %),0,0,
18/03/2022,,,11.0,11.1,11.1,11.1,,2800,0,11.1,0.10 (0.91 %),31080000,0,
17/03/2022,,,11.4,11.4,11.8,11.0,,4435,0,11.0,-0.40 (-3.51 %),49952000,0,
16/03/2022,,,10.7,11.4,11.4,11.4,,100,0,11.4,0.70 (6.54 %),1140000,0,
15/03/2022,,,10.7,10.7,10.7,10.7,,0,0,10.7,0.00 (0.00 %),0,0,
14/03/2022,,,10.7,10.7,10.7,10.7,,100,0,10.7,0.00 (0.00 %),1070000,0,
11/03/2022,,,11.5,10.7,10.7,10.7,,275,0,10.7,-0.80 (-6.96 %),2939000,0,
10/03/2022,,,10.5,10.5,11.5,11.5,,10100,0,11.5,1.00 (9.52 %),111180000,0,
09/03/2022,,,10.8,10.1,10.5,10.5,,1668,0,10.5,-0.30 (-2.78 %),17508000,0,
08/03/2022,,,10.5,10.5,10.8,10.8,,2000,0,10.8,0.30 (2.86 %),21480000,0,
07/03/2022,,,10.6,10.0,10.5,10.5,,2960,0,10.5,-0.10 (-0.94 %),30934000,0,
04/03/2022,,,11.1,11.1,12.0,10.6,,423,0,10.6,-0.50 (-4.50 %),4723800,0,
03/03/2022,,,12.0,11.1,11.1,11.1,,8414,0,11.1,-0.90 (-7.50 %),92784000,0,
02/03/2022,,,12.0,12.0,12.0,12.0,,110,0,12.0,0.00 (0.00 %),1310100,0,
01/03/2022,,,11.1,11.4,12.0,12.0,,2700,0,12.0,0.90 (8.11 %),32300000,0,
28/02/2022,,,10.1,10.8,11.1,11.1,,58372,0,11.1,1.00 (9.90 %),643774800,0,
25/02/2022,,,10.0,10.5,11.0,10.1,,50900,0,10.1,0.10 (1.00 %),541970000,0,3.0
24/02/2022,,,11.0,10.0,10.0,10.0,,20000,0,10.0,-1.00 (-9.09 %),200000000,0,4.0
23/02/2022,,,10.6,10.6,11.0,11.0,,5555,0,11.0,0.40 (3.77 %),59168000,0,5.0
22/02/2022,,,10.5,10.5,10.6,10.6,,1100,0,10.6,0.10 (0.95 %),11580000,0,6.0
21/02/2022,,,10.5,10.5,10.5,10.5,,0,0,10.5,0.00 (0.00 %),0,0,7.0
18/02/2022,,,10.3,10.5,10.5,10.5,,1000,0,10.5,0.20 (1.94 %),10500000,0,8.0
17/02/2022,,,9.8,9.8,10.3,10.3,,700,0,10.3,0.50 (5.10 %),7110000,0,9.0
16/02/2022,,,9.2,9.9,10.1,9.8,,2500,0,9.8,0.60 (6.52 %),25040000,0,10.0
15/02/2022,,,10.0,10.0,10.0,9.2,,1200,0,9.2,-0.80 (-8.00 %),11920000,0,11.0
14/02/2022,,,9.1,10.0,10.0,10.0,,7800,0,10.0,0.90 (9.89 %),78000000,0,12.0
11/02/2022,,,9.7,9.0,9.1,9.1,,500,0,9.1,-0.60 (-6.19 %),4510000,0,13.0
10/02/2022,,,9.7,9.7,9.7,9.7,,0,0,9.7,0.00 (0.00 %),0,0,14.0
09/02/2022,,,9.7,9.6,9.7,9.7,,2900,0,9.7,0.00 (0.00 %),28120000,0,15.0
08/02/2022,,,9.0,9.0,9.7,9.7,,2900,0,9.7,0.70 (7.78 %),26220000,0,16.0
07/02/2022,,,8.9,9.0,9.0,9.0,,100,0,9.0,0.10 (1.12 %),900000,0,17.0
28/01/2022,,,8.9,8.9,8.9,8.9,,0,0,8.9,0.00 (0.00 %),0,0,18.0
27/01/2022,,,9.0,9.0,9.0,8.9,,500,0,8.9,-0.10 (-1.11 %),4440000,0,19.0
26/01/2022,,,9.0,9.0,9.0,9.0,,0,0,9.0,0.00 (0.00 %),0,0,20.0
25/01/2022,,,9.0,8.3,9.0,9.0,,1300,0,9.0,0.00 (0.00 %),11560000,0,21.0
24/01/2022,,,9.6,9.6,9.6,9.0,,3000,0,9.0,-0.60 (-6.25 %),28680000,0,2.0
21/01/2022,,,10.6,9.6,10.2,9.6,,5900,0,9.6,-1.00 (-9.43 %),57420000,0,3.0
20/01/2022,,,11.7,11.7,11.7,10.6,,5805,0,10.6,-1.10 (-9.40 %),62193000,0,4.0
19/01/2022,,,13.0,11.7,11.7,11.7,,700,0,11.7,-1.30 (-10.00 %),8190000,0,5.0
18/01/2022,,,13.0,13.0,13.0,13.0,,0,0,13.0,0.00 (0.00 %),0,0,6.0
17/01/2022,,,13.0,13.0,13.0,13.0,,0,0,13.0,0.00 (0.00 %),0,0,7.0
14/01/2022,,,11.9,10.8,13.0,13.0,,6000,0,13.0,1.10 (9.24 %),72610000,0,8.0
13/01/2022,,,13.1,13.1,13.1,11.9,,5807,0,11.9,-1.20 (-9.16 %),70132600,0,9.0
12/01/2022,,,14.5,13.9,14.0,13.1,,14300,0,13.1,-1.40 (-9.66 %),189030000,0,10.0
11/01/2022,,,14.1,15.0,15.5,14.5,,10738,0,14.5,0.40 (2.84 %),153876000,0,11.0
10/01/2022,,,12.9,14.1,14.1,14.1,,28200,0,14.1,1.20 (9.30 %),397620000,0,12.0
07/01/2022,,,11.8,12.9,12.9,12.9,,10900,0,12.9,1.10 (9.32 %),140610000,0,13.0
06/01/2022,,,10.8,11.8,11.8,11.8,,31300,0,11.8,1.00 (9.26 %),369340000,0,14.0
05/01/2022,,,9.9,10.8,10.8,10.8,,6312,0,10.8,0.90 (9.09 %),68148000,0,15.0
04/01/2022,,,9.0,9.9,9.9,9.9,,600,0,9.9,0.90 (10.00 %),5940000,0,16.0
31/12/2021,,,9.0,9.0,9.0,9.0,,0,0,9.0,0.00 (0.00 %),0,0,17.0
30/12/2021,,,9.0,9.0,9.0,9.0,,0,0,9.0,0.00 (0.00 %),0,0,18.0
29/12/2021,,,9.0,9.0,9.0,9.0,,0,0,9.0,0.00 (0.00 %),0,0,19.0
28/12/2021,,,9.0,9.0,9.0,9.0,,0,0,9.0,0.00 (0.00 %),0,0,20.0
27/12/2021,,,9.0,9.0,9.0,9.0,,0,0,9.0,0.00 (0.00 %),0,0,21.0
24/12/2021,,,9.0,9.0,9.0,9.0,,0,0,9.0,0.00 (0.00 %),0,0,2.0
23/12/2021,,,9.0,9.0,9.0,9.0,,0,0,9.0,0.00 (0.00 %),0,0,3.0
22/12/2021,,,9.0,9.0,9.0,9.0,,0,0,9.0,0.00 (0.00 %),0,0,4.0
21/12/2021,,,9.0,9.0,9.0,9.0,,0,0,9.0,0.00 (0.00 %),0,0,5.0
20/12/2021,,,9.0,9.0,9.0,9.0,,0,0,9.0,0.00 (0.00 %),0,0,6.0
17/12/2021,,,9.0,9.0,9.0,9.0,,29,0,9.0,0.00 (0.00 %),261000,0,7.0
16/12/2021,,,9.0,9.0,9.0,9.0,,0,0,9.0,0.00 (0.00 %),0,0,8.0
15/12/2021,,,9.0,9.0,9.0,9.0,,0,0,9.0,0.00 (0.00 %),0,0,9.0
14/12/2021,,,9.0,9.0,9.0,9.0,,0,0,9.0,0.00 (0.00 %),0,0,10.0
13/12/2021,,,9.0,9.0,9.0,9.0,,0,0,9.0,0.00 (0.00 %),0,0,11.0
10/12/2021,,,9.0,9.0,9.0,9.0,,100,0,9.0,0.00 (0.00 %),900000,0,12.0
09/12/2021,,,9.9,9.0,9.0,9.0,,100,0,9.0,-0.90 (-9.09 %),900000,0,13.0
08/12/2021,,,9.9,9.9,9.9,9.9,,0,0,9.9,0.00 (0.00 %),0,0,14.0
07/12/2021,,,9.9,9.9,9.9,9.9,,100,0,9.9,0.00 (0.00 %),990000,0,15.0
06/12/2021,,,11.0,9.9,9.9,9.9,,200,0,9.9,-1.10 (-10.00 %),1980000,0,16.0
03/12/2021,,,11.0,11.0,11.0,11.0,,0,0,11.0,0.00 (0.00 %),0,0,17.0
02/12/2021,,,11.0,11.0,11.0,11.0,,0,0,11.0,0.00 (0.00 %),0,0,18.0
01/12/2021,,,11.0,11.0,11.0,11.0,,0,0,11.0,0.00 (0.00 %),0,0,19.0
30/11/2021,,,11.0,11.0,11.0,11.0,,0,0,11.0,0.00 (0.00 %),0,0,20.0
29/11/2021,,,11.0,11.0,11.0,11.0,,0,0,11.0,0.00 (0.00 %),0,0,21.0
26/11/2021,,,11.0,11.0,11.0,11.0,,0,0,11.0,0.00 (0.00 %),0,0,2.0
25/11/2021,,,12.0,11.0,11.0,11.0,,100,0,11.0,-1.00 (-8.33 %),1100000,0,3.0
24/11/2021,,,12.0,12.0,12.0,12.0,,0,0,12.0,0.00 (0.00 %),0,0,4.0
23/11/2021,,,12.0,12.0,12.0,12.0,,0,0,12.0,0.00 (0.00 %),0,0,5.0
22/11/2021,,,12.0,12.0,12.0,12.0,,0,0,12.0,0.00 (0.00 %),0,0,6.0
19/11/2021,,,12.0,12.0,12.0,12.0,,100,0,12.0,0.00 (0.00 %),1200000,0,7.0
18/11/2021,,,12.0,12.0,12.0,12.0,,200,0,12.0,0.00 (0.00 %),2400000,0,8.0
17/11/2021,,,11.5,11.5,12.0,12.0,,500,0,12.0,0.50 (4.35 %),5790000,0,9.0
16/11/2021,,,10.5,11.5,11.5,11.5,,5800,0,11.5,1.00 (9.52 %),66700000,0,10.0
15/11/2021,,,10.5,10.5,10.5,10.5,,0,0,10.5,0.00 (0.00 %),0,0,11.0
12/11/2021,,,11.0,10.5,10.5,10.5,,100,0,10.5,-0.50 (-4.55 %),1050000,0,12.0
11/11/2021,,,11.0,10.0,11.0,11.0,,500,0,11.0,0.00 (0.00 %),5200000,0,13.0
10/11/2021,,,11.0,11.0,11.0,11.0,,0,0,11.0,0.00 (0.00 %),0,0,14.0
09/11/2021,,,11.0,11.0,11.0,11.0,,200,0,11.0,0.00 (0.00 %),2200000,0,15.0
08/11/2021,,,11.5,11.0,11.0,11.0,,5000,0,11.0,-0.50 (-4.35 %),55000000,0,16.0
05/11/2021,,,11.5,11.5,11.5,11.5,,0,0,11.5,0.00 (0.00 %),0,0,17.0
04/11/2021,,,11.5,11.5,11.5,11.5,,0,0,11.5,0.00 (0.00 %),0,0,18.0
03/11/2021,,,11.5,11.5,11.5,11.5,,0,0,11.5,0.00 (0.00 %),0,0,19.0
02/11/2021,,,12.0,11.5,11.5,11.5,,900,0,11.5,-0.50 (-4.17 %),10350000,0,20.0
01/11/2021,,,12.0,12.0,12.0,12.0,,0,0,12.0,0.00 (0.00 %),0,0,21.0
29/10/2021,,,12.0,12.0,12.0,12.0,,0,0,12.0,0.00 (0.00 %),0,0,2.0
28/10/2021,,,12.0,12.0,12.0,12.0,,0,0,12.0,0.00 (0.00 %),0,0,3.0
27/10/2021,,,12.0,12.0,12.0,12.0,,500,0,12.0,0.00 (0.00 %),6000000,0,4.0
25/10/2021,,,13.0,13.0,13.0,13.0,,0,0,13.0,0.00 (0.00 %),0,0,5.0
22/10/2021,,,13.0,13.0,13.0,13.0,,0,0,13.0,0.00 (0.00 %),0,0,6.0
21/10/2021,,,12.5,13.0,13.0,13.0,,100,0,13.0,0.50 (4.00 %),1300000,0,7.0
20/10/2021,,,12.5,12.5,12.5,12.5,,0,0,12.5,0.00 (0.00 %),0,0,8.0
19/10/2021,,,12.5,12.5,12.5,12.5,,0,0,12.5,0.00 (0.00 %),0,0,9.0
18/10/2021,,,12.5,12.5,12.5,12.5,,0,0,12.5,0.00 (0.00 %),0,0,10.0
15/10/2021,,,12.5,12.5,12.5,12.5,,0,0,12.5,0.00 (0.00 %),0,0,11.0
14/10/2021,,,12.5,12.5,12.5,12.5,,0,0,12.5,0.00 (0.00 %),0,0,12.0
13/10/2021,,,12.5,12.5,12.5,12.5,,0,0,12.5,0.00 (0.00 %),0,0,13.0
12/10/2021,,,12.5,12.5,12.5,12.5,,0,0,12.5,0.00 (0.00 %),0,0,14.0
11/10/2021,,,12.5,12.5,12.5,12.5,,0,0,12.5,0.00 (0.00 %),0,0,15.0
08/10/2021,,,12.9,12.5,12.5,12.5,,100,0,12.5,-0.40 (-3.10 %),1250000,0,16.0
07/10/2021,,,12.8,12.8,12.9,12.9,,2700,0,12.9,0.10 (0.78 %),34670000,0,17.0
06/10/2021,,,12.8,12.8,12.8,12.8,,0,0,12.8,0.00 (0.00 %),0,0,18.0
05/10/2021,,,12.0,12.8,12.8,12.8,,100,0,12.8,0.80 (6.67 %),1280000,0,19.0
04/10/2021,,,12.0,12.0,12.0,12.0,,1600,0,12.0,0.00 (0.00 %),19200000,0,20.0
01/10/2021,,,12.0,12.0,12.0,12.0,,0,0,12.0,0.00 (0.00 %),0,0,21.0
30/09/2021,,,12.0,12.0,12.0,12.0,,3000,0,12.0,0.00 (0.00 %),36000000,0,2.0
29/09/2021,,,12.0,12.0,12.0,12.0,,1100,0,12.0,0.00 (0.00 %),13200000,0,3.0
28/09/2021,,,12.0,12.0,12.0,12.0,,0,0,12.0,0.00 (0.00 %),0,0,4.0
27/09/2021,,,12.4,12.0,12.0,12.0,,2000,0,12.0,-0.40 (-3.23 %),24000000,0,5.0
24/09/2021,,,12.0,11.5,12.4,12.4,,2000,0,12.4,0.40 (3.33 %),23950000,0,6.0
23/09/2021,,,12.0,12.0,12.0,12.0,,2000,0,12.0,0.00 (0.00 %),24000000,0,7.0
22/09/2021,,,11.0,12.0,12.0,12.0,,100,0,12.0,1.00 (9.09 %),1200000,0,8.0
21/09/2021,,,11.0,11.0,11.0,11.0,,400,0,11.0,0.00 (0.00 %),4400000,0,9.0
20/09/2021,,,11.0,11.0,11.0,11.0,,0,0,11.0,0.00 (0.00 %),0,0,10.0
17/09/2021,,,12.0,11.0,11.0,11.0,,300,0,11.0,-1.00 (-8.33 %),3300000,0,11.0
16/09/2021,,,12.0,12.0,12.0,12.0,,1000,0,12.0,0.00 (0.00 %),12000000,0,12.0
15/09/2021,,,13.2,12.0,12.0,12.0,,110,0,12.0,-1.20 (-9.09 %),1335000,0,13.0
14/09/2021,,,12.8,13.2,13.2,13.2,,201,0,13.2,0.40 (3.12 %),2654000,0,14.0
10/09/2021,,,11.4,11.5,11.8,11.8,,4500,0,11.8,0.40 (3.51 %),52950000,0,15.0
09/09/2021,,,10.4,11.3,11.4,11.4,,1100,0,11.4,1.00 (9.62 %),12510000,0,16.0
08/09/2021,,,10.4,10.4,10.4,10.4,,40,0,10.4,0.00 (0.00 %),400000,0,17.0
07/09/2021,,,10.4,10.4,10.4,10.4,,0,0,10.4,0.00 (0.00 %),0,0,18.0
06/09/2021,,,10.4,10.4,10.4,10.4,,0,0,10.4,0.00 (0.00 %),0,0,19.0
01/09/2021,,,10.4,10.4,10.4,10.4,,0,0,10.4,0.00 (0.00 %),0,0,20.0
31/08/2021,,,9.5,10.4,10.4,10.4,,1600,0,10.4,0.90 (9.47 %),16640000,0,21.0
30/08/2021,,,9.5,9.5,9.5,9.5,,0,0,9.5,0.00 (0.00 %),0,0,2.0
27/08/2021,,,9.5,9.5,9.5,9.5,,0,0,9.5,0.00 (0.00 %),0,0,3.0
26/08/2021,,,9.5,9.5,9.5,9.5,,0,0,9.5,0.00 (0.00 %),0,0,4.0
25/08/2021,,,9.5,9.5,9.5,9.5,,0,0,9.5,0.00 (0.00 %),0,0,5.0
24/08/2021,,,9.5,9.5,9.5,9.5,,0,0,9.5,0.00 (0.00 %),0,0,6.0
23/08/2021,,,9.5,9.5,9.5,9.5,,0,0,9.5,0.00 (0.00 %),0,0,7.0
19/08/2021,,,9.0,9.0,9.0,9.0,,0,0,9.0,0.00 (0.00 %),0,0,8.0
18/08/2021,,,9.0,9.0,9.0,9.0,,0,0,9.0,0.00 (0.00 %),0,0,9.0
17/08/2021,,,9.0,9.0,9.0,9.0,,500,0,9.0,0.00 (0.00 %),4500000,0,10.0
16/08/2021,,,9.0,9.0,9.0,9.0,,0,0,9.0,0.00 (0.00 %),0,0,11.0
13/08/2021,,,9.0,9.0,9.0,9.0,,0,0,9.0,0.00 (0.00 %),0,0,12.0
12/08/2021,,,9.0,9.0,9.0,9.0,,0,0,9.0,0.00 (0.00 %),0,0,13.0
11/08/2021,,,9.0,9.0,9.0,9.0,,0,0,9.0,0.00 (0.00 %),0,0,14.0
10/08/2021,,,9.0,9.0,9.0,9.0,,0,0,9.0,0.00 (0.00 %),0,0,15.0
09/08/2021,,,9.0,9.0,9.0,9.0,,0,0,9.0,0.00 (0.00 %),0,0,16.0
06/08/2021,,,9.0,9.0,9.0,9.0,,0,0,9.0,0.00 (0.00 %),0,0,17.0
05/08/2021,,,9.0,9.0,9.0,9.0,,0,0,9.0,0.00 (0.00 %),0,0,18.0
04/08/2021,,,9.0,9.0,9.0,9.0,,0,0,9.0,0.00 (0.00 %),0,0,19.0
03/08/2021,,,9.0,9.0,9.0,9.0,,0,0,9.0,0.00 (0.00 %),0,0,20.0
02/08/2021,,,9.0,9.0,9.0,9.0,,0,0,9.0,0.00 (0.00 %),0,0,21.0
30/07/2021,,,9.0,9.0,9.0,9.0,,0,0,9.0,0.00 (0.00 %),0,0,2.0
