date,change_perc1,change_perc2,open,high,low,close,avg,volume_match,volume_reconcile,adjust,change_perc,value_match,value_reconcile,Unnamed: 0
04/04/2022,,,18.90,18.90,19.30,18.60,,410752,0,18.60,-0.30 (-1.59 %),7692284000,0,
31/03/2022,,,18.50,18.5,19.70,19.20,,528232,113,19.20,0.70 (3.78 %),10062962900,1887100,
30/03/2022,,,19.6,19.0,19.7,18.5,,614534,49,18.5,-1.10 (-5.61 %),11677152200,867300,
29/03/2022,,,19.8,19.8,20.2,19.6,,748174,0,19.6,-0.20 (-1.01 %),14804417200,0,
28/03/2022,,,19.0,19.0,20.0,19.8,,898793,68,19.8,0.80 (4.21 %),17442927000,1162800,
25/03/2022,,,19.2,19.1,19.3,19.0,,632493,139,19.0,-0.20 (-1.04 %),12026431800,2404700,
24/03/2022,,,19.2,19.5,19.5,19.2,,432100,0,19.2,0.00 (0.00 %),8310220000,0,
23/03/2022,,,19.2,19.2,19.6,19.2,,721578,38,19.2,0.00 (0.00 %),13794745900,657400,
22/03/2022,,,17.5,17.6,19.2,19.2,,1132741,53,19.2,1.70 (9.71 %),21071422900,837400,
21/03/2022,,,18.0,18.0,18.3,17.5,,501462,71,17.5,-0.50 (-2.78 %),8922033000,1150200,
18/03/2022,,,17.8,17.8,18.4,18.0,,377340,17,18.0,0.20 (1.12 %),6816344500,273700,
17/03/2022,,,17.4,17.4,18.0,17.8,,537158,0,17.8,0.40 (2.30 %),9245803100,0,
16/03/2022,,,18.3,18.3,18.8,17.4,,850939,869,17.4,-0.90 (-4.92 %),14824058200,14338500,
15/03/2022,,,18.5,18.4,18.4,18.3,,824350,0,18.3,-0.20 (-1.08 %),14335030400,0,
14/03/2022,,,19.8,19.0,19.5,18.5,,1063901,96,18.5,-1.30 (-6.57 %),19708700100,1718400,
11/03/2022,,,21.7,21.5,21.6,19.8,,1026537,0,19.8,-1.90 (-8.76 %),20905228100,0,
10/03/2022,,,21.5,21.6,22.1,21.7,,829239,0,21.7,0.20 (0.93 %),17652839100,0,
09/03/2022,,,20.7,21.0,22.0,21.5,,1639115,0,21.5,0.80 (3.86 %),33886240000,0,
08/03/2022,,,22.1,22.1,24.0,20.7,,1714066,0,20.7,-1.40 (-6.33 %),37128385100,0,
07/03/2022,,,20.1,20.2,22.1,22.1,,902627,0,22.1,2.00 (9.95 %),19502371700,0,
04/03/2022,,,20.2,20.3,22.0,20.1,,1270581,0,20.1,-0.10 (-0.50 %),26425326700,0,
03/03/2022,,,18.4,19.0,20.2,20.2,,2805232,235,20.2,1.80 (9.78 %),55326714200,3901000,
02/03/2022,,,17.9,18.2,19.0,18.4,,696387,116,18.4,0.50 (2.79 %),12827200800,1879200,
01/03/2022,,,18.3,18.3,19.7,17.9,,1223192,169,17.9,-0.40 (-2.19 %),23035210000,2788500,
28/02/2022,,,16.7,16.7,18.3,18.3,,1178175,93,18.3,1.60 (9.58 %),21038619200,1404300,
25/02/2022,,,16.4,16.5,17.8,16.7,,552124,14,16.7,0.30 (1.83 %),9423669900,207200,3.0
24/02/2022,,,15.9,15.9,16.5,16.4,,1211162,0,16.4,0.50 (3.14 %),19648567500,0,4.0
23/02/2022,,,14.9,14.8,16.3,15.9,,829929,167,15.9,1.00 (6.71 %),13235313100,2254500,5.0
22/02/2022,,,15.2,15.2,15.2,14.9,,222486,45,14.9,-0.30 (-1.97 %),3310622800,616500,6.0
