date,change_perc1,change_perc2,open,high,low,close,avg,volume_match,volume_reconcile,adjust,change_perc,value_match,value_reconcile,Unnamed: 0
04/04/2022,,,0,10.10,9.90,10.10,0.00 (0.00 %),,15850000,10.10,10.10,1600,0,
01/04/2022,,,0,10.10,10.1,10.10,0.00 (0.00 %),,1010000,10.10,10.10,100,0,
31/03/2022,,,0,10.20,10.10,10.00,-0.20 (-1.96 %),,13090000,10.00,10.00,1300,0,
30/03/2022,,,0,10.7,10.5,10.0,-0.70 (-6.54 %),,58090000,10.0,10.0,5700,0,
29/03/2022,,,0,11.7,12.8,11.0,-0.70 (-5.98 %),,38470000,11.0,11.0,3600,0,
28/03/2022,,,0,12.9,11.0,12.9,0.00 (0.00 %),,8200000,12.9,12.9,700,0,
25/03/2022,,,0,11.5,11.5,13.2,1.70 (14.78 %),,9010000,13.2,13.2,700,0,
24/03/2022,,,0,13.4,11.4,11.5,-1.90 (-14.18 %),,133970000,11.5,11.5,11600,0,
23/03/2022,,,0,15.7,13.4,13.4,-2.30 (-14.65 %),,18197200,13.4,13.4,1358,0,
22/03/2022,,,0,17.2,16.3,15.0,-2.20 (-12.79 %),,3130000,15.0,15.0,200,0,
21/03/2022,,,0,17.2,17.2,17.2,0.00 (0.00 %),,0,17.2,17.2,0,0,
18/03/2022,,,0,15.1,17.3,17.2,2.10 (13.91 %),,117230000,17.2,17.2,6800,0,
17/03/2022,,,0,13.2,15.1,15.1,1.90 (14.39 %),,182710000,15.1,15.1,12100,0,
16/03/2022,,,0,11.5,13.2,13.2,1.70 (14.78 %),,21120000,13.2,13.2,1600,0,
15/03/2022,,,0,10.0,11.5,11.5,1.50 (15.00 %),,44850000,11.5,11.5,3900,0,
14/03/2022,,,0,10.0,10.0,10.0,0.00 (0.00 %),,0,10.0,10.0,0,0,
11/03/2022,,,0,10.3,10.0,10.0,-0.30 (-2.91 %),,5000000,10.0,10.0,500,0,
10/03/2022,,,0,10.3,10.3,10.3,0.00 (0.00 %),,0,10.3,10.3,0,0,
09/03/2022,,,0,10.3,10.3,10.3,0.00 (0.00 %),,0,10.3,10.3,0,0,
08/03/2022,,,0,10.3,10.3,10.3,0.00 (0.00 %),,0,10.3,10.3,0,0,
07/03/2022,,,0,10.3,10.3,10.3,0.00 (0.00 %),,0,10.3,10.3,0,0,
04/03/2022,,,0,10.3,10.3,10.3,0.00 (0.00 %),,0,10.3,10.3,0,0,
03/03/2022,,,0,10.3,10.3,10.3,0.00 (0.00 %),,0,10.3,10.3,0,0,
02/03/2022,,,0,10.3,10.3,10.3,0.00 (0.00 %),,0,10.3,10.3,0,0,
01/03/2022,,,0,10.3,10.3,10.3,0.00 (0.00 %),,11330000,10.3,10.3,1100,0,
28/02/2022,,,0,10.3,10.3,10.3,0.00 (0.00 %),,0,10.3,10.3,0,0,
25/02/2022,,,0,10.0,10.3,10.2,0.20 (2.00 %),,66900000,10.2,10.2,6500,0,
24/02/2022,,,0,10.0,10.0,10.0,0.00 (0.00 %),,0,10.0,10.0,0,0,
23/02/2022,,,0,10.0,10.0,10.0,0.00 (0.00 %),,0,10.0,10.0,0,0,
22/02/2022,,,0,10.0,10.0,10.0,0.00 (0.00 %),,0,10.0,10.0,0,0,
21/02/2022,,,0,10.0,10.0,10.0,0.00 (0.00 %),,0,10.0,10.0,0,0,
18/02/2022,,,0,10.0,10.0,10.0,0.00 (0.00 %),,0,10.0,10.0,0,0,
17/02/2022,,,0,10.0,10.0,10.0,0.00 (0.00 %),,0,10.0,10.0,0,0,
16/02/2022,,,0,10.3,10.0,10.0,-0.30 (-2.91 %),,1123200,10.0,10.0,114,0,
15/02/2022,,,0,10.3,10.3,10.3,0.00 (0.00 %),,33990000,10.3,10.3,3300,0,
14/02/2022,,,0,10.3,10.3,10.3,0.00 (0.00 %),,10300000,10.3,10.3,1000,0,
11/02/2022,,,0,10.3,10.3,10.3,0.00 (0.00 %),,44668400,10.3,10.3,4343,0,
10/02/2022,,,0,10.3,10.3,10.3,0.00 (0.00 %),,0,10.3,10.3,0,0,
09/02/2022,,,0,10.3,10.3,10.3,0.00 (0.00 %),,0,10.3,10.3,0,0,
08/02/2022,,,0,10.3,10.3,10.3,0.00 (0.00 %),,0,10.3,10.3,0,0,
07/02/2022,,,0,10.3,10.3,10.3,0.00 (0.00 %),,0,10.3,10.3,0,0,
28/01/2022,,,0,10.3,10.3,10.3,0.00 (0.00 %),,0,10.3,10.3,0,0,
27/01/2022,,,0,10.3,10.3,10.3,0.00 (0.00 %),,0,10.3,10.3,0,0,
26/01/2022,,,0,10.3,10.3,10.3,0.00 (0.00 %),,0,10.3,10.3,0,0,
25/01/2022,,,0,9.0,10.0,10.2,1.20 (13.33 %),,152400000,10.2,10.2,14800,0,
24/01/2022,,,0,9.0,9.0,9.0,0.00 (0.00 %),,0,9.0,9.0,0,0,
21/01/2022,,,0,9.0,9.0,9.0,0.00 (0.00 %),,0,9.0,9.0,0,0,
20/01/2022,,,0,9.0,9.0,9.0,0.00 (0.00 %),,0,9.0,9.0,0,0,
19/01/2022,,,0,9.0,9.0,9.0,0.00 (0.00 %),,0,9.0,9.0,0,0,
18/01/2022,,,0,9.0,9.0,9.0,0.00 (0.00 %),,0,9.0,9.0,0,0,
17/01/2022,,,0,9.0,9.0,9.0,0.00 (0.00 %),,0,9.0,9.0,0,0,
14/01/2022,,,0,9.0,9.0,9.0,0.00 (0.00 %),,0,9.0,9.0,0,0,
13/01/2022,,,0,9.0,9.0,9.0,0.00 (0.00 %),,900000,9.0,9.0,100,0,
12/01/2022,,,0,9.0,9.0,9.0,0.00 (0.00 %),,0,9.0,9.0,0,0,
11/01/2022,,,0,9.0,9.0,9.0,0.00 (0.00 %),,0,9.0,9.0,0,0,
10/01/2022,,,0,9.0,9.0,9.0,0.00 (0.00 %),,2700000,9.0,9.0,300,0,
07/01/2022,,,0,9.0,9.0,9.0,0.00 (0.00 %),,0,9.0,9.0,0,0,
06/01/2022,,,0,9.0,9.0,9.0,0.00 (0.00 %),,0,9.0,9.0,0,0,
05/01/2022,,,0,9.0,9.0,9.0,0.00 (0.00 %),,0,9.0,9.0,0,0,
04/01/2022,,,0,9.0,9.0,9.0,0.00 (0.00 %),,0,9.0,9.0,0,0,
31/12/2021,,,0,9.0,9.0,9.0,0.00 (0.00 %),,0,9.0,9.0,0,0,
30/12/2021,,,0,9.0,9.0,9.0,0.00 (0.00 %),,0,9.0,9.0,0,0,3.0
29/12/2021,,,0,9.0,9.0,9.0,0.00 (0.00 %),,0,9.0,9.0,0,0,4.0
28/12/2021,,,0,9.0,9.0,9.0,0.00 (0.00 %),,0,9.0,9.0,0,0,5.0
27/12/2021,,,0,9.0,9.0,9.0,0.00 (0.00 %),,0,9.0,9.0,0,0,6.0
24/12/2021,,,0,9.0,9.0,9.0,0.00 (0.00 %),,0,9.0,9.0,0,0,7.0
23/12/2021,,,0,9.0,9.0,9.0,0.00 (0.00 %),,0,9.0,9.0,0,0,8.0
22/12/2021,,,0,9.0,9.0,9.0,0.00 (0.00 %),,0,9.0,9.0,0,0,9.0
21/12/2021,,,0,9.0,9.0,9.0,0.00 (0.00 %),,0,9.0,9.0,0,0,10.0
20/12/2021,,,0,9.0,9.0,9.0,0.00 (0.00 %),,0,9.0,9.0,0,0,11.0
17/12/2021,,,0,9.0,9.0,9.0,0.00 (0.00 %),,0,9.0,9.0,0,0,12.0
16/12/2021,,,0,9.0,9.0,9.0,0.00 (0.00 %),,0,9.0,9.0,0,0,13.0
15/12/2021,,,0,8.4,9.0,9.0,0.60 (7.14 %),,900000,9.0,9.0,100,0,14.0
14/12/2021,,,0,8.3,7.2,9.5,1.20 (14.46 %),,1670000,9.5,9.5,200,0,15.0
13/12/2021,,,0,8.3,8.3,8.3,0.00 (0.00 %),,9130000,8.3,8.3,1100,0,16.0
10/12/2021,,,0,9.3,8.3,8.2,-1.10 (-11.83 %),,1650000,8.2,8.2,200,0,17.0
09/12/2021,,,0,9.3,9.3,9.3,0.00 (0.00 %),,0,9.3,9.3,0,0,18.0
08/12/2021,,,0,9.3,9.3,9.3,0.00 (0.00 %),,0,9.3,9.3,0,0,19.0
07/12/2021,,,0,9.2,10.0,9.0,-0.20 (-2.17 %),,34500000,9.0,9.0,3700,0,20.0
06/12/2021,,,0,9.2,9.2,9.2,0.00 (0.00 %),,0,9.2,9.2,0,0,21.0
03/12/2021,,,0,9.2,9.2,9.2,0.00 (0.00 %),,0,9.2,9.2,0,0,2.0
02/12/2021,,,0,9.2,9.2,9.2,0.00 (0.00 %),,0,9.2,9.2,0,0,3.0
01/12/2021,,,0,9.2,9.2,9.2,0.00 (0.00 %),,0,9.2,9.2,0,0,4.0
30/11/2021,,,0,9.2,9.2,9.2,0.00 (0.00 %),,0,9.2,9.2,0,0,5.0
29/11/2021,,,0,9.2,9.2,9.2,0.00 (0.00 %),,0,9.2,9.2,0,0,6.0
26/11/2021,,,0,9.2,9.2,9.2,0.00 (0.00 %),,0,9.2,9.2,0,0,7.0
25/11/2021,,,0,9.1,9.1,9.2,0.10 (1.10 %),,7222500,9.2,9.2,800,0,8.0
