date,change_perc1,change_perc2,open,high,low,close,avg,volume_match,volume_reconcile,adjust,change_perc,value_match,value_reconcile,Unnamed: 0
19/05/2014,,,1.30,1.20,1.20,1.20,,6000,0,1.20,-0.10 (-7.69 %),7200000,0,
16/05/2014,,,1.4,1.3,1.3,1.3,,2000,0,1.3,-0.10 (-7.14 %),2600000,0,3.0
15/05/2014,,,1.5,1.4,1.4,1.4,,400,0,1.4,-0.10 (-6.67 %),560000,0,4.0
14/05/2014,,,1.5,1.5,1.5,1.5,,0,0,1.5,0.00 (0.00 %),0,0,5.0
13/05/2014,,,1.5,1.5,1.5,1.5,,0,0,1.5,0.00 (0.00 %),0,0,6.0
12/05/2014,,,1.5,1.5,1.5,1.5,,0,0,1.5,0.00 (0.00 %),0,0,7.0
09/05/2014,,,1.6,1.5,1.5,1.5,,7800,0,1.5,-0.10 (-6.25 %),11700000,0,8.0
08/05/2014,,,1.7,1.6,1.6,1.6,,200,0,1.6,-0.10 (-5.88 %),320000,0,9.0
07/05/2014,,,1.8,1.7,1.7,1.7,,5200,0,1.7,-0.10 (-5.56 %),8840000,0,10.0
06/05/2014,,,1.9,1.8,1.8,1.8,,200,0,1.8,-0.10 (-5.26 %),360000,0,11.0
05/05/2014,,,2.1,1.9,1.9,1.9,,1400,0,1.9,-0.20 (-9.52 %),2660000,0,12.0
29/04/2014,,,2.3,2.1,2.1,2.1,,1500,0,2.1,-0.20 (-8.70 %),3150000,0,13.0
28/04/2014,,,2.5,2.3,2.3,2.3,,2200,0,2.3,-0.20 (-8.00 %),5060000,0,14.0
25/04/2014,,,2.7,2.6,2.8,2.5,,16500,0,2.5,-0.20 (-7.41 %),41290000,0,15.0
24/04/2014,,,3.0,2.7,3.1,2.7,,31800,0,2.7,-0.30 (-10.00 %),86550000,0,16.0
23/04/2014,,,2.8,2.9,3.0,3.0,,80800,0,3.0,0.20 (7.14 %),236500000,0,17.0
22/04/2014,,,2.6,2.6,2.8,2.8,,29600,0,2.8,0.20 (7.69 %),79400000,0,18.0
21/04/2014,,,2.8,2.7,2.7,2.6,,5900,0,2.6,-0.20 (-7.14 %),15660000,0,19.0
18/04/2014,,,2.9,3.1,3.1,2.8,,23600,0,2.8,-0.10 (-3.45 %),68250000,0,20.0
17/04/2014,,,2.7,2.5,2.9,2.9,,75300,0,2.9,0.20 (7.41 %),208140000,0,21.0
16/04/2014,,,2.9,2.8,2.9,2.7,,19100,0,2.7,-0.20 (-6.90 %),51720000,0,2.0
15/04/2014,,,2.9,3.1,3.1,2.9,,38200,0,2.9,0.00 (0.00 %),108540000,0,3.0
14/04/2014,,,2.7,2.7,2.9,2.9,,120000,0,2.9,0.20 (7.41 %),340000000,0,4.0
11/04/2014,,,2.5,2.6,2.7,2.7,,36400,0,2.7,0.20 (8.00 %),97590000,0,5.0
10/04/2014,,,2.7,2.5,2.6,2.5,,102710,0,2.5,-0.20 (-7.41 %),258266000,0,6.0
08/04/2014,,,3.0,2.7,2.8,2.7,,119400,0,2.7,-0.30 (-10.00 %),322649984,0,7.0
07/04/2014,,,2.8,3.0,3.0,3.0,,22700,0,3.0,0.20 (7.14 %),62350000,0,8.0
04/04/2014,,,2.6,2.5,2.8,2.8,,189710,0,2.8,0.20 (7.69 %),484924000,0,9.0
03/04/2014,,,2.8,2.6,2.6,2.6,,182800,0,2.6,-0.20 (-7.14 %),475280000,0,10.0
02/04/2014,,,3.1,2.8,2.8,2.8,,25300,0,2.8,-0.30 (-9.68 %),70840000,0,11.0
01/04/2014,,,3.3,3.0,3.4,3.1,,53600,0,3.1,-0.20 (-6.06 %),161640000,0,12.0
31/03/2014,,,3.5,3.2,3.7,3.3,,57800,0,3.3,-0.20 (-5.71 %),187410000,0,13.0
28/03/2014,,,3.8,3.5,3.6,3.5,,33200,0,3.5,-0.30 (-7.89 %),117030000,0,14.0
27/03/2014,,,4.2,3.9,4.2,3.8,,20000,0,3.8,-0.40 (-9.52 %),76140000,0,15.0
26/03/2014,,,4.6,4.3,4.3,4.2,,56300,0,4.2,-0.40 (-8.70 %),236640000,0,16.0
25/03/2014,,,4.4,4.0,4.7,4.6,,10000,0,4.6,0.20 (4.55 %),46550000,0,17.0
24/03/2014,,,4.0,4.0,4.4,4.4,,152900,0,4.4,0.40 (10.00 %),585939968,0,18.0
21/03/2014,,,3.7,3.6,4.0,4.0,,28300,0,4.0,0.30 (8.11 %),108600000,0,19.0
20/03/2014,,,3.4,3.7,3.7,3.7,,30500,0,3.7,0.30 (8.82 %),111450000,0,20.0
19/03/2014,,,3.1,3.4,3.4,3.4,,5700,0,3.4,0.30 (9.68 %),19090000,0,21.0
18/03/2014,,,2.9,3.0,3.1,3.1,,44300,0,3.1,0.20 (6.90 %),126040000,0,2.0
17/03/2014,,,2.7,2.9,2.9,2.9,,44900,0,2.9,0.20 (7.41 %),124790000,0,3.0
14/03/2014,,,2.5,2.6,2.7,2.7,,8100,0,2.7,0.20 (8.00 %),21310000,0,4.0
13/03/2014,,,2.5,2.4,2.5,2.5,,4100,0,2.5,0.00 (0.00 %),10030000,0,5.0
12/03/2014,,,2.5,2.5,2.5,2.5,,0,0,2.5,0.00 (0.00 %),0,0,6.0
11/03/2014,,,2.5,2.4,2.5,2.5,,4300,0,2.5,0.00 (0.00 %),10330000,0,7.0
10/03/2014,,,2.6,2.4,2.5,2.5,,8800,0,2.5,-0.10 (-3.85 %),21230000,0,8.0
