date,change_perc1,change_perc2,open,high,low,close,avg,volume_match,volume_reconcile,adjust,change_perc,value_match,value_reconcile,Unnamed: 0
04/04/2022,,,10.60,10.60,10.60,10.60,,0,0,10.60,0.00 (0.00 %),0,0,
31/03/2022,,,10.60,10.6,10.60,10.60,,0,509000,10.60,0.00 (0.00 %),0,5853500000,
30/03/2022,,,10.6,10.6,10.6,10.6,,0,0,10.6,0.00 (0.00 %),0,0,
29/03/2022,,,11.3,10.6,10.6,10.6,,1000,228900,10.6,-0.70 (-6.19 %),10600000,2555780000,
28/03/2022,,,10.3,11.3,11.3,11.3,,400,11600,11.3,1.00 (9.71 %),4520000,107880000,
25/03/2022,,,9.4,10.3,10.3,10.3,,51400,33600,10.3,0.90 (9.57 %),529420000,285600000,
24/03/2022,,,9.4,9.4,9.4,9.4,,0,0,9.4,0.00 (0.00 %),0,0,
23/03/2022,,,9.4,9.4,9.4,9.4,,0,0,9.4,0.00 (0.00 %),0,0,
22/03/2022,,,9.4,9.4,9.4,9.4,,0,0,9.4,0.00 (0.00 %),0,0,
21/03/2022,,,9.4,9.4,9.4,9.4,,0,0,9.4,0.00 (0.00 %),0,0,
18/03/2022,,,9.4,9.4,9.4,9.4,,0,0,9.4,0.00 (0.00 %),0,0,
17/03/2022,,,9.4,9.4,9.4,9.4,,0,0,9.4,0.00 (0.00 %),0,0,
16/03/2022,,,9.4,9.4,9.4,9.4,,0,0,9.4,0.00 (0.00 %),0,0,
15/03/2022,,,10.3,9.4,9.4,9.4,,100,0,9.4,-0.90 (-8.74 %),940000,0,
14/03/2022,,,10.3,10.3,10.3,10.3,,0,0,10.3,0.00 (0.00 %),0,0,
11/03/2022,,,10.3,10.3,10.3,10.3,,0,0,10.3,0.00 (0.00 %),0,0,
10/03/2022,,,10.3,10.3,10.3,10.3,,0,0,10.3,0.00 (0.00 %),0,0,
09/03/2022,,,10.9,10.3,10.3,10.3,,200,0,10.3,-0.60 (-5.50 %),2060000,0,
