date,change_perc1,change_perc2,open,high,low,close,avg,volume_match,volume_reconcile,adjust,change_perc,value_match,value_reconcile,Unnamed: 0
04/04/2022,,,98.90,98.90,94.40,94.50,,865400,0,94.50,-2.80 (-2.88 %),83082000000,0,
01/04/2022,,,94.80,99.30,93.80,97.30,,1383100,0,97.30,2.50 (2.64 %),134599000000,0,
31/03/2022,,,92.3,96.0,91.3,94.8,,1051200,0,94.8,1.80 (1.94 %),97635000000,0,
30/03/2022,,,92.0,95.0,92.0,93.0,,1157100,0,93.0,0.20 (0.22 %),108059000000,0,
29/03/2022,,,96.4,97.0,92.8,92.8,,1270100,135000,92.8,-3.70 (-3.83 %),119797000000,12637350000,
28/03/2022,,,93.6,97.6,92.0,96.5,,1378700,0,96.5,2.50 (2.66 %),132256000000,0,
25/03/2022,,,91.9,95.5,91.0,94.0,,1034400,0,94.0,2.60 (2.84 %),96400000000,0,
24/03/2022,,,87.3,92.6,87.2,91.4,,1899100,0,91.4,4.10 (4.70 %),172864000000,0,
23/03/2022,,,86.2,88.4,85.8,87.3,,1059600,0,87.3,1.90 (2.22 %),92149000000,0,
22/03/2022,,,85.0,85.4,83.2,85.4,,702200,0,85.4,0.80 (0.95 %),59061000000,0,
21/03/2022,,,83.6,86.5,83.6,84.6,,765200,0,84.6,1.40 (1.68 %),65208000000,0,
18/03/2022,,,85.0,85.6,82.4,83.2,,2167900,0,83.2,-1.60 (-1.89 %),181103000000,0,
17/03/2022,,,86.5,86.5,83.2,84.8,,899200,0,84.8,-0.80 (-0.93 %),76023000000,0,
16/03/2022,,,86.8,86.9,85.1,85.6,,991400,0,85.6,0.60 (0.71 %),85248000000,0,
15/03/2022,,,80.5,86.2,79.0,85.0,,1978200,0,85.0,4.40 (5.46 %),165485000000,0,
14/03/2022,,,78.7,82.5,78.1,80.6,,1365700,0,80.6,0.80 (1.00 %),109529000000,0,
11/03/2022,,,80.5,83.8,78.8,79.8,,1666600,0,79.8,0.20 (0.25 %),135663000000,0,
