date,change_perc1,change_perc2,open,high,low,close,avg,volume_match,volume_reconcile,adjust,change_perc,value_match,value_reconcile,Unnamed: 0
04/04/2022,,,0,26.80,26.80,26.80,0.00 (0.00 %),,0,26.80,26.80,0,0,
01/04/2022,,,0,26.80,26.8,26.80,0.00 (0.00 %),,0,26.80,26.80,0,0,
31/03/2022,,,0,26.00,26.80,26.80,0.80 (3.08 %),,2680000,26.80,26.80,100,0,
30/03/2022,,,0,25.4,26.0,26.0,0.60 (2.36 %),,20800000,26.0,26.0,800,0,
29/03/2022,,,0,25.4,25.4,25.4,0.00 (0.00 %),,10160000,25.4,25.4,400,0,
28/03/2022,,,0,25.4,25.4,25.4,0.00 (0.00 %),,0,25.4,25.4,0,0,
25/03/2022,,,0,25.4,25.4,25.4,0.00 (0.00 %),,0,25.4,25.4,0,0,
24/03/2022,,,0,25.4,25.4,25.4,0.00 (0.00 %),,0,25.4,25.4,0,0,
23/03/2022,,,0,25.4,25.4,25.4,0.00 (0.00 %),,0,25.4,25.4,0,0,
22/03/2022,,,0,29.0,25.1,25.6,-3.40 (-11.72 %),,5070000,25.6,25.6,200,0,
21/03/2022,,,0,26.6,26.6,26.6,0.00 (0.00 %),,17503000,26.6,26.6,605,0,
18/03/2022,,,0,24.4,26.6,26.6,2.20 (9.02 %),,10640000,26.6,26.6,400,0,
17/03/2022,,,0,24.4,24.4,24.4,0.00 (0.00 %),,0,24.4,24.4,0,0,
16/03/2022,,,0,25.6,24.5,24.1,-1.50 (-5.86 %),,24420000,24.1,24.1,1000,0,
15/03/2022,,,0,25.6,25.6,25.6,0.00 (0.00 %),,2560000,25.6,25.6,100,0,
14/03/2022,,,0,25.6,25.6,25.6,0.00 (0.00 %),,0,25.6,25.6,0,0,
11/03/2022,,,0,25.6,25.6,25.6,0.00 (0.00 %),,23040000,25.6,25.6,900,0,
10/03/2022,,,0,25.5,25.5,25.8,0.30 (1.18 %),,7680000,25.8,25.8,300,0,
09/03/2022,,,0,25.4,25.4,25.6,0.20 (0.79 %),,5100000,25.6,25.6,200,0,
08/03/2022,,,0,24.9,24.9,25.6,0.70 (2.81 %),,10150000,25.6,25.6,400,0,
07/03/2022,,,0,23.4,24.9,25.0,1.60 (6.84 %),,7480000,25.0,25.0,300,0,
04/03/2022,,,0,24.6,22.6,24.1,-0.50 (-2.03 %),,9340000,24.1,24.1,400,0,
03/03/2022,,,0,24.6,24.6,24.6,0.00 (0.00 %),,0,24.6,24.6,0,0,
02/03/2022,,,0,24.6,24.6,24.6,0.00 (0.00 %),,0,24.6,24.6,0,0,
01/03/2022,,,0,25.1,24.6,24.6,-0.50 (-1.99 %),,2460000,24.6,24.6,100,0,
28/02/2022,,,0,25.1,25.1,25.1,0.00 (0.00 %),,0,25.1,25.1,0,0,
25/02/2022,,,0,25.1,25.1,25.1,0.00 (0.00 %),,0,25.1,25.1,0,0,
24/02/2022,,,0,26.1,25.1,25.1,-1.00 (-3.83 %),,2510000,25.1,25.1,100,0,
23/02/2022,,,0,26.1,26.1,26.1,0.00 (0.00 %),,0,26.1,26.1,0,0,
22/02/2022,,,0,26.1,26.1,26.1,0.00 (0.00 %),,0,26.1,26.1,0,0,
21/02/2022,,,0,26.1,26.1,26.1,0.00 (0.00 %),,0,26.1,26.1,0,0,
18/02/2022,,,0,23.3,26.6,25.0,1.70 (7.30 %),,7820000,25.0,25.0,300,0,
17/02/2022,,,0,23.3,23.3,23.3,0.00 (0.00 %),,0,23.3,23.3,0,0,
16/02/2022,,,0,23.3,23.2,26.0,2.70 (11.59 %),,37210000,26.0,26.0,1600,0,
15/02/2022,,,0,21.3,23.3,23.3,2.00 (9.39 %),,2330000,23.3,23.3,100,0,
14/02/2022,,,0,21.3,21.3,21.3,0.00 (0.00 %),,0,21.3,21.3,0,0,
11/02/2022,,,0,23.7,21.3,21.3,-2.40 (-10.13 %),,2130000,21.3,21.3,100,0,
10/02/2022,,,0,23.7,23.7,23.7,0.00 (0.00 %),,0,23.7,23.7,0,0,
09/02/2022,,,0,21.2,23.8,23.6,2.40 (11.32 %),,10124000,23.6,23.6,428,0,
08/02/2022,,,0,22.0,21.0,21.3,-0.70 (-3.18 %),,2564730000,21.3,21.3,121100,0,
07/02/2022,,,0,22.0,22.0,22.0,0.00 (0.00 %),,0,22.0,22.0,0,0,
28/01/2022,,,0,22.0,22.0,22.0,0.00 (0.00 %),,0,22.0,22.0,0,0,
27/01/2022,,,0,22.0,22.0,22.0,0.00 (0.00 %),,117500,22.0,22.0,5,0,
26/01/2022,,,0,22.0,22.0,22.0,0.00 (0.00 %),,2200000,22.0,22.0,100,0,
25/01/2022,,,0,22.1,22.0,22.3,0.20 (0.90 %),,44030000,22.3,22.3,2000,0,
24/01/2022,,,0,22.1,22.1,22.1,0.00 (0.00 %),,0,22.1,22.1,0,0,
21/01/2022,,,0,22.1,22.1,22.1,0.00 (0.00 %),,1034000,22.1,22.1,55,0,
20/01/2022,,,0,22.1,22.1,22.1,0.00 (0.00 %),,0,22.1,22.1,0,0,
19/01/2022,,,0,22.1,22.1,22.1,0.00 (0.00 %),,0,22.1,22.1,0,0,
18/01/2022,,,0,22.1,22.1,22.0,-0.10 (-0.45 %),,22090000,22.0,22.0,1000,0,
17/01/2022,,,0,24.0,22.1,22.1,-1.90 (-7.92 %),,24310000,22.1,22.1,1100,0,
14/01/2022,,,0,22.0,24.0,24.0,2.00 (9.09 %),,2400000,24.0,24.0,100,0,
13/01/2022,,,0,22.0,22.0,22.0,0.00 (0.00 %),,0,22.0,22.0,0,0,
12/01/2022,,,0,22.0,22.0,22.0,0.00 (0.00 %),,0,22.0,22.0,0,0,
11/01/2022,,,0,23.4,22.0,22.0,-1.40 (-5.98 %),,2200000,22.0,22.0,100,0,
10/01/2022,,,0,23.5,23.0,23.5,0.00 (0.00 %),,140230000,23.5,23.5,6000,0,
07/01/2022,,,0,23.5,23.5,23.5,0.00 (0.00 %),,0,23.5,23.5,0,0,
06/01/2022,,,0,23.5,23.5,23.5,0.00 (0.00 %),,23500000,23.5,23.5,1000,0,
05/01/2022,,,0,23.7,22.2,23.7,0.00 (0.00 %),,157300000,23.7,23.7,6700,0,
04/01/2022,,,0,21.6,23.9,23.4,1.80 (8.33 %),,18980000,23.4,23.4,800,0,
31/12/2021,,,0,22.6,21.8,22.1,-0.50 (-2.21 %),,32470000,22.1,22.1,1500,0,
30/12/2021,,,0,22.6,22.6,22.6,0.00 (0.00 %),,0,22.6,22.6,0,0,3.0
29/12/2021,,,0,22.6,22.6,22.6,0.00 (0.00 %),,0,22.6,22.6,0,0,4.0
27/12/2021,,,0,23.5,23.5,23.0,-0.50 (-2.13 %),,13880000,23.0,23.0,600,0,5.0
24/12/2021,,,0,23.6,22.5,24.5,0.90 (3.81 %),,4700000,24.5,24.5,200,0,6.0
23/12/2021,,,0,23.6,23.6,23.6,0.00 (0.00 %),,0,23.6,23.6,0,0,7.0
22/12/2021,,,0,23.6,23.6,23.6,0.00 (0.00 %),,0,23.6,23.6,0,0,8.0
21/12/2021,,,0,23.6,23.6,23.6,0.00 (0.00 %),,0,23.6,23.6,0,0,9.0
20/12/2021,,,0,23.6,23.6,23.6,0.00 (0.00 %),,0,23.6,23.6,0,0,10.0
