date,change_perc1,change_perc2,open,high,low,close,avg,volume_match,volume_reconcile,adjust,change_perc,value_match,value_reconcile,Unnamed: 0
04/04/2022,,,32.40,33.90,32.35,33.90,,28162500,0,33.90,2.20 (6.94 %),944774000000,0,
01/04/2022,,,30.50,31.80,30.10,31.70,,7846800,0,31.70,1.20 (3.93 %),242420000000,0,
31/03/2022,,,31.1,31.25,30.3,30.5,,4554400,0,30.5,-0.50 (-1.61 %),140074000000,0,
30/03/2022,,,30.6,31.45,30.3,30.95,,5877000,0,30.95,0.05 (0.16 %),181466000000,0,
29/03/2022,,,30.9,31.25,30.5,30.9,,5304000,0,30.9,0.70 (2.32 %),163730000000,0,
28/03/2022,,,30.6,31.0,29.8,30.2,,10102500,0,30.2,-0.90 (-2.89 %),306922000000,0,
25/03/2022,,,31.3,31.8,31.0,31.1,,8458900,0,31.1,-0.40 (-1.27 %),264348000000,0,
24/03/2022,,,31.95,32.0,31.5,31.5,,8935200,1113500,31.5,-0.50 (-1.56 %),283420000000,33293650000,
23/03/2022,,,32.2,32.5,31.85,31.95,,6824800,0,31.95,-0.25 (-0.78 %),219542000000,0,
22/03/2022,,,32.0,32.9,31.95,32.15,,8155200,0,32.15,0.15 (0.47 %),263642000000,0,
21/03/2022,,,32.05,32.3,31.7,32.0,,6935100,100000,32.0,0.00 (0.00 %),221253000000,3000000000,
18/03/2022,,,32.0,32.4,31.7,31.95,,13105600,1000000,31.95,-0.15 (-0.47 %),419033000000,29900000000,
17/03/2022,,,33.0,33.0,32.0,32.1,,6099500,0,32.1,-0.50 (-1.53 %),197362000000,0,
16/03/2022,,,33.2,33.2,32.45,32.55,,4868500,0,32.55,-0.05 (-0.15 %),159455000000,0,
15/03/2022,,,31.9,33.55,31.75,32.6,,8550700,0,32.6,0.80 (2.52 %),279070000000,0,
14/03/2022,,,32.1,32.35,31.35,31.75,,7352000,0,31.75,-0.75 (-2.31 %),234186000000,0,
11/03/2022,,,34.05,34.05,32.5,32.5,,32597700,0,32.5,0.60 (1.88 %),1093253000000,0,
10/03/2022,,,31.85,31.85,31.85,31.85,,2000300,1291800,31.85,2.05 (6.88 %),63709000000,38740400000,
09/03/2022,,,75.4,75.7,73.5,73.5,,11808600,0,29.82,-1.50 (-2.00 %),876556000000,0,
08/03/2022,,,75.2,77.0,75.0,75.0,,7236800,413400,30.43,-1.10 (-1.45 %),549742000000,30116220000,
