date,change_perc1,change_perc2,open,high,low,close,avg,volume_match,volume_reconcile,adjust,change_perc,value_match,value_reconcile,Unnamed: 0
04/04/2022,,,17.95,17.95,17.15,17.30,,291100,0,17.30,0.00 (0.00 %),5049000000,0,
01/04/2022,,,16.60,17.50,16.60,17.30,,385000,0,17.30,0.50 (2.98 %),6557000000,0,
31/03/2022,,,17.95,17.95,16.1,16.8,,921100,200000,16.8,-0.40 (-2.33 %),15622000000,3506000000,
30/03/2022,,,17.6,18.0,16.8,17.2,,1068900,0,17.2,-0.90 (-4.97 %),18769000000,0,
29/03/2022,,,18.4,18.4,17.95,18.05,,599300,0,18.05,0.05 (0.28 %),10817000000,0,
28/03/2022,,,18.3,18.55,17.5,18.0,,1071700,200000,18.0,-0.50 (-2.70 %),19235000000,3800000000,
25/03/2022,,,18.7,18.7,18.4,18.5,,543900,0,18.5,0.00 (0.00 %),10076000000,0,
24/03/2022,,,18.2,18.6,17.75,18.5,,1156300,0,18.5,0.50 (2.78 %),20998000000,0,
23/03/2022,,,18.2,18.2,17.7,17.95,,601300,0,17.95,-0.05 (-0.28 %),10786000000,0,
22/03/2022,,,18.0,18.6,17.85,17.95,,1367200,0,17.95,-0.05 (-0.28 %),24703000000,0,
21/03/2022,,,17.65,18.5,17.6,18.0,,740000,166000,18.0,0.30 (1.69 %),13228000000,2730700000,
18/03/2022,,,17.95,18.05,17.55,17.65,,622700,0,17.65,-0.15 (-0.84 %),11060000000,0,
17/03/2022,,,18.0,18.2,17.7,17.75,,461500,0,17.75,-0.05 (-0.28 %),8263000000,0,
16/03/2022,,,18.0,18.15,17.6,17.8,,499500,0,17.8,0.10 (0.56 %),8878000000,0,
15/03/2022,,,17.45,18.05,17.15,17.7,,829900,90000,17.7,0.20 (1.14 %),14546000000,1462500000,
14/03/2022,,,18.3,18.3,17.45,17.45,,1434700,0,17.45,-0.85 (-4.64 %),25469000000,0,
11/03/2022,,,18.9,18.95,18.25,18.3,,984700,588000,18.3,-0.60 (-3.17 %),18290000000,10319400000,
10/03/2022,,,18.4,19.25,18.1,18.85,,1458900,360000,18.85,0.65 (3.57 %),27519000000,6102000000,
09/03/2022,,,18.4,18.4,17.2,18.2,,1794800,654400,18.2,-0.20 (-1.09 %),32175000000,11222960000,
08/03/2022,,,18.7,19.2,18.3,18.4,,1173200,1600000,18.4,-0.60 (-3.16 %),21862000000,28645000000,
07/03/2022,,,18.5,19.25,18.1,19.0,,1683500,1378000,19.0,0.90 (4.97 %),31886000000,23426000000,
04/03/2022,,,17.0,18.05,17.0,18.05,,3300600,0,18.05,1.15 (6.80 %),59308000000,0,
03/03/2022,,,16.8,16.9,16.55,16.9,,1307800,0,16.9,0.60 (3.68 %),21886000000,0,
02/03/2022,,,16.5,16.75,16.2,16.25,,586100,0,16.25,-0.25 (-1.52 %),9600000000,0,
01/03/2022,,,16.1,16.8,16.1,16.5,,919600,0,16.5,0.30 (1.85 %),15200000000,0,
28/02/2022,,,16.15,16.65,16.0,16.2,,546300,0,16.2,-0.10 (-0.61 %),8868000000,0,
25/02/2022,,,16.1,16.6,16.1,16.3,,635700,0,16.3,0.20 (1.24 %),10353000000,0,
24/02/2022,,,16.5,17.2,15.85,16.1,,1434500,0,16.1,-0.70 (-4.17 %),23805000000,0,
23/02/2022,,,16.9,17.1,16.7,16.8,,545600,0,16.8,0.00 (0.00 %),9210000000,0,
22/02/2022,,,16.7,17.1,16.35,16.8,,808600,0,16.8,-0.30 (-1.75 %),13525000000,0,
21/02/2022,,,16.0,17.1,15.9,17.1,,1920000,0,17.1,1.10 (6.88 %),31894000000,0,
18/02/2022,,,15.9,16.25,15.9,16.0,,378900,0,16.0,-0.10 (-0.62 %),6071000000,0,
17/02/2022,,,16.4,16.5,15.9,16.1,,788700,520000,16.1,-0.20 (-1.23 %),12665000000,8320000000,
16/02/2022,,,16.5,16.5,16.0,16.3,,597900,0,16.3,0.00 (0.00 %),9695000000,0,
15/02/2022,,,16.0,16.45,15.7,16.3,,497500,0,16.3,0.40 (2.52 %),7996000000,0,
14/02/2022,,,16.0,16.2,15.7,15.85,,379800,1470000,15.85,-0.35 (-2.16 %),6074000000,22617500000,
11/02/2022,,,15.7,16.5,15.6,16.15,,864100,0,16.15,0.45 (2.87 %),14006000000,0,
10/02/2022,,,15.75,15.8,15.6,15.7,,264400,0,15.7,0.00 (0.00 %),4144000000,0,
09/02/2022,,,15.9,15.9,15.5,15.65,,370100,0,15.65,-0.05 (-0.32 %),5788000000,0,
08/02/2022,,,15.65,15.7,15.45,15.65,,323700,0,15.65,0.05 (0.32 %),5044000000,0,
07/02/2022,,,15.5,15.75,15.4,15.6,,215500,0,15.6,0.10 (0.65 %),3360000000,0,
28/01/2022,,,15.0,15.5,14.7,15.5,,368300,0,15.5,0.70 (4.73 %),5481000000,0,
27/01/2022,,,15.3,15.45,14.6,14.75,,493600,0,14.75,-0.55 (-3.59 %),7380000000,0,
26/01/2022,,,15.65,15.8,15.1,15.3,,312100,114000,15.3,-0.30 (-1.92 %),4793000000,1778400000,
25/01/2022,,,15.0,15.75,14.7,15.6,,426700,0,15.6,0.50 (3.31 %),6521000000,0,
24/01/2022,,,16.2,16.3,15.1,15.1,,699100,0,15.1,-1.10 (-6.79 %),10712000000,0,
21/01/2022,,,16.0,16.8,15.95,16.2,,375000,0,16.2,0.20 (1.25 %),6106000000,0,
20/01/2022,,,16.0,16.0,15.5,15.95,,306100,0,15.95,0.05 (0.31 %),4822000000,0,
19/01/2022,,,15.9,16.35,15.65,15.8,,333300,0,15.8,-0.10 (-0.63 %),5293000000,0,
18/01/2022,,,14.7,16.25,14.7,15.9,,620000,0,15.9,0.25 (1.60 %),9781000000,0,
17/01/2022,,,17.1,17.15,15.65,15.65,,1570800,0,15.65,-1.15 (-6.85 %),25268000000,0,
14/01/2022,,,15.3,16.9,15.3,16.8,,1161600,0,16.8,0.50 (3.07 %),18836000000,0,
13/01/2022,,,16.6,17.0,16.0,16.25,,896700,100000,16.25,-0.35 (-2.11 %),14795000000,1540000000,
12/01/2022,,,17.0,17.4,15.85,16.55,,1488000,255258,16.55,-0.45 (-2.65 %),24687000000,4045839300,
