date,change_perc1,change_perc2,open,high,low,close,avg,volume_match,volume_reconcile,adjust,change_perc,value_match,value_reconcile,Unnamed: 0
04/04/2022,,,16.20,17.20,16.20,16.80,,220100,0,16.80,0.40 (2.44 %),3669000000,0,
01/04/2022,,,16.60,16.65,16.40,16.40,,184500,0,16.40,-0.30 (-1.80 %),3048000000,0,
31/03/2022,,,16.9,16.9,16.65,16.65,,125100,0,16.65,-0.25 (-1.48 %),2091000000,0,
30/03/2022,,,16.7,17.0,16.65,16.9,,147300,0,16.9,-0.20 (-1.17 %),2477000000,0,
29/03/2022,,,17.0,17.2,16.95,17.05,,215800,0,17.05,-0.05 (-0.29 %),3673000000,0,
28/03/2022,,,17.25,17.25,16.8,17.05,,230200,0,17.05,-0.05 (-0.29 %),3906000000,0,
25/03/2022,,,17.15,17.5,17.05,17.05,,247500,0,17.05,-0.15 (-0.87 %),4255000000,0,
24/03/2022,,,17.35,17.35,17.0,17.15,,131800,0,17.15,-0.25 (-1.44 %),2255000000,0,
23/03/2022,,,17.45,17.55,17.25,17.35,,107000,0,17.35,-0.15 (-0.86 %),1859000000,0,
22/03/2022,,,17.3,17.45,16.9,17.45,,238000,0,17.45,0.15 (0.87 %),4077000000,0,
21/03/2022,,,17.5,17.65,17.15,17.3,,287800,0,17.3,-0.30 (-1.70 %),4990000000,0,
18/03/2022,,,17.8,17.8,17.5,17.6,,225900,0,17.6,-0.20 (-1.12 %),3986000000,0,
17/03/2022,,,17.9,18.3,17.7,17.8,,207600,0,17.8,0.00 (0.00 %),3717000000,0,
16/03/2022,,,18.0,18.1,17.5,17.8,,245900,0,17.8,-0.10 (-0.56 %),4362000000,0,
15/03/2022,,,18.3,18.3,17.5,17.9,,310300,0,17.9,0.10 (0.56 %),5554000000,0,
14/03/2022,,,17.7,18.2,17.35,17.8,,428700,0,17.8,0.30 (1.71 %),7662000000,0,
11/03/2022,,,17.75,18.0,17.25,17.5,,298600,0,17.5,-0.20 (-1.13 %),5270000000,0,
10/03/2022,,,17.5,17.9,17.15,17.7,,385100,0,17.7,0.50 (2.91 %),6768000000,0,
09/03/2022,,,17.1,17.7,17.0,17.15,,174200,0,17.15,0.05 (0.29 %),2996000000,0,
08/03/2022,,,16.6,17.7,16.6,17.1,,269000,4317500,17.1,0.20 (1.18 %),4624000000,71238750000,
07/03/2022,,,17.6,17.6,16.9,16.9,,286300,0,16.9,-0.70 (-3.98 %),4893000000,0,
04/03/2022,,,17.3,17.7,17.2,17.6,,287600,0,17.6,0.30 (1.73 %),5039000000,0,
03/03/2022,,,17.0,17.45,16.7,17.3,,235500,4669200,17.3,0.50 (2.98 %),3996000000,77041800000,
02/03/2022,,,16.7,17.2,16.7,16.8,,222300,0,16.8,-0.40 (-2.33 %),3747000000,0,
01/03/2022,,,17.0,17.65,16.5,17.2,,276800,0,17.2,-0.20 (-1.15 %),4707000000,0,
28/02/2022,,,17.0,17.5,17.0,17.4,,209300,0,17.4,-0.20 (-1.14 %),3588000000,0,
25/02/2022,,,17.6,18.05,17.4,17.6,,350900,0,17.6,0.00 (0.00 %),6202000000,0,
24/02/2022,,,18.5,18.5,17.1,17.6,,479600,0,17.6,-0.60 (-3.30 %),8584000000,0,
23/02/2022,,,17.3,18.2,17.3,18.15,,465200,0,18.15,0.85 (4.91 %),8324000000,0,
22/02/2022,,,16.35,17.5,16.2,17.3,,422100,0,17.3,0.40 (2.37 %),7128000000,0,
21/02/2022,,,15.9,17.0,15.7,16.9,,346700,0,16.9,1.00 (6.29 %),5696000000,0,
18/02/2022,,,16.45,16.45,15.8,15.9,,674100,0,15.9,0.10 (0.63 %),10924000000,0,
17/02/2022,,,15.05,15.8,15.05,15.8,,310100,0,15.8,1.00 (6.76 %),4838000000,0,
16/02/2022,,,14.95,15.0,14.5,14.8,,153200,0,14.8,0.40 (2.78 %),2254000000,0,
15/02/2022,,,14.55,14.7,14.4,14.4,,140100,0,14.4,-0.10 (-0.69 %),2027000000,0,
14/02/2022,,,14.2,14.95,14.0,14.5,,234100,0,14.5,0.30 (2.11 %),3405000000,0,
11/02/2022,,,14.5,14.5,14.15,14.2,,101500,0,14.2,-0.20 (-1.39 %),1447000000,0,
10/02/2022,,,14.6,14.6,14.3,14.4,,66900,0,14.4,-0.10 (-0.69 %),965000000,0,
09/02/2022,,,14.9,14.9,14.15,14.5,,161900,0,14.5,0.00 (0.00 %),2336000000,0,
08/02/2022,,,14.75,15.0,14.5,14.5,,491800,0,14.5,0.40 (2.84 %),7256000000,0,
07/02/2022,,,13.6,14.1,13.6,14.1,,197700,0,14.1,0.90 (6.82 %),2778000000,0,
28/01/2022,,,13.05,13.2,13.0,13.2,,24500,0,13.2,0.10 (0.76 %),320000000,0,
27/01/2022,,,13.1,13.3,12.9,13.05,,92600,0,13.05,-0.05 (-0.38 %),1204000000,0,
26/01/2022,,,13.1,13.2,12.95,13.05,,62500,0,13.05,-0.05 (-0.38 %),815000000,0,
25/01/2022,,,13.5,13.5,12.9,13.1,,19600,0,13.1,0.00 (0.00 %),256000000,0,
24/01/2022,,,13.3,13.3,12.9,13.05,,76100,0,13.05,-0.25 (-1.88 %),993000000,0,
21/01/2022,,,13.5,13.5,13.2,13.3,,23600,0,13.3,0.10 (0.76 %),312000000,0,
20/01/2022,,,13.15,13.4,12.7,13.2,,38700,0,13.2,0.00 (0.00 %),503000000,0,
19/01/2022,,,12.85,13.5,12.85,13.35,,23700,0,13.35,-0.15 (-1.11 %),311000000,0,
18/01/2022,,,13.15,13.7,13.05,13.5,,110100,0,13.5,0.35 (2.66 %),1446000000,0,
