date,change_perc1,change_perc2,open,high,low,close,avg,volume_match,volume_reconcile,adjust,change_perc,value_match,value_reconcile,Unnamed: 0
04/04/2022,,,17.20,17.25,16.50,16.60,,1128900,0,16.60,-0.60 (-3.49 %),18869000000,0,
01/04/2022,,,16.75,17.40,16.20,17.15,,741800,0,17.15,0.35 (2.08 %),12373000000,0,
31/03/2022,,,16.8,17.25,16.3,16.75,,665300,0,16.75,-0.05 (-0.30 %),11143000000,0,
30/03/2022,,,17.0,18.3,16.5,16.75,,1336000,0,16.75,-0.95 (-5.37 %),23052000000,0,
29/03/2022,,,17.0,17.65,16.6,17.65,,901300,0,17.65,1.15 (6.97 %),15622000000,0,
28/03/2022,,,17.2,18.0,16.5,16.5,,2563400,0,16.5,-1.20 (-6.78 %),43547000000,0,
25/03/2022,,,17.75,18.2,17.2,17.7,,830600,0,17.7,-0.10 (-0.56 %),14860000000,0,
24/03/2022,,,17.7,18.3,17.35,17.75,,1414800,0,17.75,0.45 (2.60 %),25290000000,0,
23/03/2022,,,16.3,17.3,15.8,17.3,,2012200,0,17.3,1.10 (6.79 %),34333000000,0,
22/03/2022,,,16.8,16.9,16.1,16.2,,1019600,0,16.2,-0.30 (-1.82 %),16733000000,0,
21/03/2022,,,16.35,16.5,15.7,16.5,,1192300,0,16.5,0.10 (0.61 %),19226000000,0,
18/03/2022,,,16.25,16.8,16.25,16.35,,732900,0,16.35,0.15 (0.93 %),12027000000,0,
17/03/2022,,,15.5,16.2,15.5,16.2,,1105900,0,16.2,0.80 (5.19 %),17693000000,0,
16/03/2022,,,15.25,15.7,15.1,15.4,,534600,0,15.4,0.30 (1.99 %),8267000000,0,
15/03/2022,,,14.5,15.3,14.5,15.1,,319600,0,15.1,0.40 (2.72 %),4751000000,0,
14/03/2022,,,14.95,14.95,13.95,14.7,,647100,0,14.7,-0.30 (-2.00 %),9367000000,0,
11/03/2022,,,15.45,15.45,14.85,14.95,,563500,0,14.95,-0.55 (-3.55 %),8500000000,0,
10/03/2022,,,15.5,15.9,15.3,15.45,,407500,0,15.45,0.15 (0.98 %),6325000000,0,
09/03/2022,,,15.65,15.65,14.5,15.25,,696400,0,15.25,-0.25 (-1.61 %),10521000000,0,
08/03/2022,,,15.9,16.1,15.4,15.45,,888500,0,15.45,-0.65 (-4.04 %),13961000000,0,
07/03/2022,,,16.55,16.6,16.0,16.1,,760600,0,16.1,-0.40 (-2.42 %),12369000000,0,
04/03/2022,,,16.05,16.9,15.9,16.5,,931400,0,16.5,0.50 (3.13 %),15212000000,0,
03/03/2022,,,16.1,16.4,15.7,16.0,,409200,0,16.0,-0.10 (-0.62 %),6538000000,0,
02/03/2022,,,16.45,16.45,15.65,16.1,,661000,0,16.1,-0.20 (-1.23 %),10534000000,0,
01/03/2022,,,15.75,16.4,15.65,16.25,,725900,0,16.25,0.55 (3.50 %),11648000000,0,
28/02/2022,,,15.8,15.8,15.5,15.65,,352000,0,15.65,-0.15 (-0.95 %),5488000000,0,
25/02/2022,,,15.6,16.2,15.4,15.8,,542000,0,15.8,0.40 (2.60 %),8578000000,0,
24/02/2022,,,16.4,16.4,15.2,15.4,,1408300,0,15.4,-0.90 (-5.52 %),22064000000,0,
23/02/2022,,,16.2,16.4,16.0,16.3,,680300,0,16.3,0.40 (2.52 %),11074000000,0,
22/02/2022,,,16.1,16.8,15.8,15.85,,1601300,30000,15.85,-1.15 (-6.76 %),25896000000,534000000,
21/02/2022,,,16.55,17.2,16.2,16.95,,1356600,0,16.95,0.85 (5.28 %),22929000000,0,
