date,change_perc1,change_perc2,open,high,low,close,avg,volume_match,volume_reconcile,adjust,change_perc,value_match,value_reconcile,Unnamed: 0
04/04/2022,,,34.60,34.65,34.05,34.05,,4018900,140000,34.05,-0.05 (-0.15 %),137703000000,4466000000,
01/04/2022,,,33.40,34.05,33.05,34.05,,6486100,0,34.05,0.55 (1.64 %),218725000000,0,
31/03/2022,,,32.85,33.75,32.7,33.45,,5659000,60000,33.45,0.95 (2.92 %),189016000000,1934000000,
30/03/2022,,,32.55,33.15,32.4,32.5,,3398500,0,32.5,-0.10 (-0.31 %),111371000000,0,
29/03/2022,,,32.4,32.75,32.15,32.55,,2705000,20000,32.55,0.55 (1.72 %),87821000000,648000000,
28/03/2022,,,32.5,32.9,32.0,32.0,,3672900,60000,32.0,-0.70 (-2.14 %),119560000000,1944000000,
25/03/2022,,,32.8,32.95,32.6,32.7,,2087800,0,32.7,-0.10 (-0.30 %),68445000000,0,
24/03/2022,,,32.85,33.1,32.75,32.8,,3310600,20000,32.8,-0.10 (-0.30 %),108983000000,656000000,
23/03/2022,,,33.1,33.5,32.85,32.85,,3724800,20000,32.85,-0.35 (-1.05 %),123853000000,648000000,
22/03/2022,,,33.0,33.35,32.95,33.2,,4008800,0,33.2,0.00 (0.00 %),132981000000,0,
21/03/2022,,,33.0,33.3,32.8,33.2,,3556300,20000,33.2,0.20 (0.61 %),117560000000,660000000,
18/03/2022,,,32.45,33.35,32.15,33.0,,6805500,20000,33.0,0.70 (2.17 %),223719000000,652000000,
17/03/2022,,,32.0,32.25,31.95,32.25,,2487300,0,32.25,0.45 (1.42 %),79870000000,0,
16/03/2022,,,32.0,32.15,31.75,31.75,,3471300,0,31.75,-0.05 (-0.16 %),110855000000,0,
15/03/2022,,,32.0,32.25,31.65,31.75,,3266700,0,31.75,-0.25 (-0.78 %),104305000000,0,
14/03/2022,,,31.65,32.45,31.0,32.0,,5191300,502800,32.0,0.10 (0.31 %),164463000000,15814980000,
11/03/2022,,,31.7,32.5,31.5,31.85,,3607800,0,31.85,-0.15 (-0.47 %),114843000000,0,
10/03/2022,,,32.1,32.6,32.0,32.0,,14045300,0,32.0,0.40 (1.27 %),453795000000,0,
