date,change_perc1,change_perc2,open,high,low,close,avg,volume_match,volume_reconcile,adjust,change_perc,value_match,value_reconcile,Unnamed: 0
04/04/2022,,,25.10,27.40,27.40,27.40,,100,0,27.40,2.30 (9.16 %),2740000,0,
31/03/2022,,,27.40,27.5,27.50,27.50,,100,0,27.50,0.10 (0.36 %),2750000,0,
30/03/2022,,,27.4,27.4,27.4,27.4,,0,0,27.4,0.00 (0.00 %),0,0,
29/03/2022,,,27.4,27.4,27.4,27.4,,0,0,27.4,0.00 (0.00 %),0,0,
28/03/2022,,,27.4,27.4,27.4,27.4,,0,0,27.4,0.00 (0.00 %),0,0,
25/03/2022,,,27.4,27.4,27.4,27.4,,0,0,27.4,0.00 (0.00 %),0,0,
24/03/2022,,,27.4,27.4,27.4,27.4,,8,0,27.4,0.00 (0.00 %),220000,0,
23/03/2022,,,27.1,27.4,27.4,27.4,,140,0,27.4,0.30 (1.11 %),3824000,0,
22/03/2022,,,27.1,27.1,27.1,27.1,,0,0,27.1,0.00 (0.00 %),0,0,
21/03/2022,,,27.1,27.1,27.1,27.1,,500,0,27.1,0.00 (0.00 %),13550000,0,
18/03/2022,,,27.1,27.1,27.1,27.1,,400,0,27.1,0.00 (0.00 %),10840000,0,
17/03/2022,,,27.0,27.0,27.1,27.1,,2528,0,27.1,0.10 (0.37 %),68266000,0,
16/03/2022,,,26.5,27.0,27.0,27.0,,1000,0,27.0,0.50 (1.89 %),27000000,0,
15/03/2022,,,26.5,26.5,26.5,26.5,,500,0,26.5,0.00 (0.00 %),13250000,0,
14/03/2022,,,27.0,27.0,27.0,26.5,,400,0,26.5,-0.50 (-1.85 %),10710000,0,
11/03/2022,,,27.0,27.9,27.9,27.0,,400,0,27.0,0.00 (0.00 %),10960000,0,
10/03/2022,,,27.0,27.0,27.0,27.0,,0,0,27.0,0.00 (0.00 %),0,0,
09/03/2022,,,27.9,27.0,27.0,27.0,,1600,0,27.0,-0.90 (-3.23 %),42480000,0,
08/03/2022,,,27.9,27.9,27.9,27.9,,628,0,27.9,0.00 (0.00 %),17281200,0,
07/03/2022,,,27.3,27.3,27.9,27.9,,5300,0,27.9,0.60 (2.20 %),143470000,0,
04/03/2022,,,27.3,27.3,27.3,27.3,,4400,0,27.3,0.00 (0.00 %),120120000,0,
03/03/2022,,,26.0,27.3,27.3,27.3,,100,0,27.3,1.30 (5.00 %),2730000,0,
02/03/2022,,,26.0,26.0,26.0,26.0,,0,0,26.0,0.00 (0.00 %),0,0,
