date,change_perc1,change_perc2,open,high,low,close,avg,volume_match,volume_reconcile,adjust,change_perc,value_match,value_reconcile,Unnamed: 0
04/04/2022,,,21.10,20.80,20.90,20.00,,21883,0,20.00,-1.10 (-5.21 %),417824500,0,
31/03/2022,,,26.00,23.4,23.40,23.40,,2567,0,23.40,-2.60 (-10.00 %),60067900,0,
30/03/2022,,,28.8,26.0,26.0,26.0,,400,0,26.0,-2.80 (-9.72 %),10400000,0,
29/03/2022,,,28.8,28.8,28.8,28.8,,5,0,28.8,0.00 (0.00 %),134000,0,
28/03/2022,,,27.5,27.5,29.9,28.8,,8966,0,28.8,1.30 (4.73 %),264784600,0,
25/03/2022,,,26.4,28.0,28.0,27.5,,4283,0,27.5,1.10 (4.17 %),118545900,0,
24/03/2022,,,25.1,27.6,27.6,27.6,,200730,0,26.4,2.50 (9.96 %),5540024000,0,
23/03/2022,,,22.9,22.8,25.1,25.1,,11400,0,24.01,2.20 (9.61 %),284820000,0,
22/03/2022,,,20.9,20.9,22.9,22.9,,9343,0,21.9,2.00 (9.57 %),201742600,0,
21/03/2022,,,19.0,18.8,20.9,20.9,,18640,0,19.99,1.90 (10.00 %),376225400,0,
18/03/2022,,,18.7,19.5,20.5,19.0,,4825,0,18.17,0.30 (1.60 %),93001000,0,
17/03/2022,,,17.0,17.0,18.7,18.7,,6600,0,17.89,1.70 (10.00 %),123068000,0,
16/03/2022,,,15.5,15.5,17.0,17.0,,19871,0,16.26,1.50 (9.68 %),330336000,0,
15/03/2022,,,16.0,15.5,15.5,15.5,,7900,0,14.83,-0.50 (-3.13 %),122450000,0,
14/03/2022,,,16.0,16.0,16.0,16.0,,50,0,15.3,0.00 (0.00 %),750000,0,
11/03/2022,,,15.5,15.5,16.0,16.0,,6300,0,15.3,0.50 (3.23 %),97700000,0,
10/03/2022,,,15.0,15.0,15.5,15.5,,200,0,14.83,0.50 (3.33 %),3050000,0,
09/03/2022,,,15.0,15.0,15.0,15.0,,4100,0,14.35,0.00 (0.00 %),61500000,0,
08/03/2022,,,15.0,15.0,15.0,15.0,,3050,0,14.35,0.00 (0.00 %),45750000,0,
07/03/2022,,,15.0,14.9,15.0,15.0,,23100,0,14.35,0.00 (0.00 %),346450000,0,
04/03/2022,,,15.5,14.6,15.0,15.0,,5100,0,14.35,-0.50 (-3.23 %),76460000,0,
03/03/2022,,,15.1,15.0,15.5,15.5,,3313,0,14.83,0.40 (2.65 %),49796000,0,
02/03/2022,,,15.6,17.1,17.1,15.1,,17300,0,14.44,-0.50 (-3.21 %),263640000,0,
01/03/2022,,,14.8,15.6,15.6,15.6,,709,0,15.6,0.80 (5.41 %),11060400,0,
28/02/2022,,,15.4,14.8,14.8,14.8,,6266,0,14.8,-0.60 (-3.90 %),92750000,0,
25/02/2022,,,15.5,15.3,15.4,15.4,,9000,0,15.4,-0.10 (-0.65 %),138200000,0,3.0
24/02/2022,,,15.5,15.5,15.6,15.5,,4700,0,15.5,0.00 (0.00 %),72860000,0,4.0
23/02/2022,,,15.5,14.6,15.5,15.5,,3100,0,15.5,0.00 (0.00 %),47960000,0,5.0
22/02/2022,,,15.5,15.3,15.5,15.5,,11381,0,15.5,0.00 (0.00 %),176288800,0,6.0
21/02/2022,,,15.5,15.5,15.5,15.5,,3000,0,15.5,0.00 (0.00 %),46500000,0,7.0
18/02/2022,,,15.5,15.5,15.5,15.5,,5800,0,15.5,0.00 (0.00 %),89900000,0,8.0
17/02/2022,,,15.0,15.5,15.5,15.5,,3000,0,15.5,0.50 (3.33 %),46500000,0,9.0
16/02/2022,,,15.0,14.8,15.0,15.0,,1060,0,15.0,0.00 (0.00 %),15770000,0,10.0
15/02/2022,,,15.0,15.0,15.0,15.0,,600,0,15.0,0.00 (0.00 %),9000000,0,11.0
14/02/2022,,,15.0,15.0,15.0,15.0,,300,0,15.0,0.00 (0.00 %),4500000,0,12.0
11/02/2022,,,14.7,15.0,15.0,15.0,,2300,0,15.0,0.30 (2.04 %),34500000,0,13.0
10/02/2022,,,14.5,14.1,14.7,14.7,,975,0,14.7,0.20 (1.38 %),13902500,0,14.0
09/02/2022,,,14.8,14.5,14.5,14.5,,409,0,14.5,-0.30 (-2.03 %),5930500,0,15.0
08/02/2022,,,15.0,14.9,15.0,14.8,,2223,0,14.8,-0.20 (-1.33 %),33199500,0,16.0
07/02/2022,,,15.0,15.0,15.0,15.0,,0,0,15.0,0.00 (0.00 %),0,0,17.0
28/01/2022,,,15.5,15.0,15.0,15.0,,130,0,15.0,-0.50 (-3.23 %),1965000,0,18.0
27/01/2022,,,15.5,15.5,15.5,15.5,,0,0,15.5,0.00 (0.00 %),0,0,19.0
26/01/2022,,,15.5,15.5,15.6,15.5,,1000,0,15.5,0.00 (0.00 %),15580000,0,20.0
25/01/2022,,,15.0,15.5,15.5,15.5,,5209,0,15.5,0.50 (3.33 %),80735000,0,21.0
24/01/2022,,,15.0,15.0,15.0,15.0,,0,0,15.0,0.00 (0.00 %),0,0,2.0
21/01/2022,,,15.0,15.0,15.0,15.0,,700,0,15.0,0.00 (0.00 %),10500000,0,3.0
20/01/2022,,,14.5,14.5,15.0,15.0,,2200,0,15.0,0.50 (3.45 %),32950000,0,4.0
19/01/2022,,,14.5,14.5,14.5,14.5,,0,0,14.5,0.00 (0.00 %),0,0,5.0
18/01/2022,,,14.5,14.5,14.5,14.5,,1200,0,14.5,0.00 (0.00 %),17400000,0,6.0
17/01/2022,,,14.5,14.5,14.5,14.5,,1700,0,14.5,0.00 (0.00 %),24650000,0,7.0
14/01/2022,,,14.5,14.5,14.5,14.5,,11603,0,14.5,0.00 (0.00 %),168247700,0,8.0
13/01/2022,,,14.6,14.5,14.5,14.5,,800,0,14.5,-0.10 (-0.68 %),11600000,0,9.0
12/01/2022,,,14.4,14.6,14.6,14.6,,500,0,14.6,0.20 (1.39 %),7300000,0,10.0
11/01/2022,,,14.5,14.5,14.5,14.4,,20300,0,14.4,-0.10 (-0.69 %),293080000,0,11.0
10/01/2022,,,14.5,14.5,14.5,14.5,,0,0,14.5,0.00 (0.00 %),0,0,12.0
07/01/2022,,,14.5,14.8,14.8,14.5,,2800,0,14.5,0.00 (0.00 %),41230000,0,13.0
