date,change_perc1,change_perc2,open,high,low,close,avg,volume_match,volume_reconcile,adjust,change_perc,value_match,value_reconcile,Unnamed: 0
04/04/2022,,,11.50,11.50,11.50,11.50,,0,0,11.50,0.00 (0.00 %),0,0,
31/03/2022,,,10.80,10.8,10.80,10.80,,0,0,10.80,0.00 (0.00 %),0,0,
30/03/2022,,,10.8,10.8,10.8,10.8,,0,0,10.8,0.00 (0.00 %),0,0,
29/03/2022,,,10.8,10.8,10.8,10.8,,0,0,10.8,0.00 (0.00 %),0,0,
28/03/2022,,,11.8,10.9,10.9,10.8,,200,0,10.8,-1.00 (-8.47 %),2170000,0,
25/03/2022,,,11.0,11.8,11.8,11.8,,100,0,11.8,0.80 (7.27 %),1180000,0,
24/03/2022,,,11.3,11.0,11.0,11.0,,100,0,11.0,-0.30 (-2.65 %),1100000,0,
23/03/2022,,,11.3,11.3,11.3,11.3,,900,0,11.3,0.00 (0.00 %),10170000,0,
22/03/2022,,,10.4,11.3,11.3,11.3,,100,0,11.3,0.90 (8.65 %),1130000,0,
21/03/2022,,,11.2,10.3,10.5,10.4,,2800,0,10.4,-0.80 (-7.14 %),28910000,0,
18/03/2022,,,11.2,11.2,11.2,11.2,,0,0,11.2,0.00 (0.00 %),0,0,
17/03/2022,,,11.2,11.2,11.2,11.2,,0,0,11.2,0.00 (0.00 %),0,0,
16/03/2022,,,12.4,11.2,11.2,11.2,,100,0,11.2,-1.20 (-9.68 %),1120000,0,
15/03/2022,,,12.4,12.4,12.4,12.4,,0,0,12.4,0.00 (0.00 %),0,0,
14/03/2022,,,12.4,12.4,12.4,12.4,,100,0,12.4,0.00 (0.00 %),1240000,0,
11/03/2022,,,12.4,12.4,12.4,12.4,,100,0,12.4,0.00 (0.00 %),1240000,0,
10/03/2022,,,12.4,12.4,12.4,12.4,,100,0,12.4,0.00 (0.00 %),1240000,0,
09/03/2022,,,12.4,12.4,12.4,12.4,,0,0,12.4,0.00 (0.00 %),0,0,
08/03/2022,,,12.5,12.4,12.4,12.4,,200,0,12.4,-0.10 (-0.80 %),2480000,0,
07/03/2022,,,12.5,12.5,12.5,12.5,,0,0,12.5,0.00 (0.00 %),0,0,
04/03/2022,,,11.5,11.0,12.6,12.5,,7500,0,12.5,1.00 (8.70 %),92990000,0,
03/03/2022,,,11.5,11.5,11.5,11.5,,0,0,11.5,0.00 (0.00 %),0,0,
02/03/2022,,,11.5,11.5,11.5,11.5,,0,0,11.5,0.00 (0.00 %),0,0,
01/03/2022,,,11.3,11.5,11.5,11.5,,100,0,11.5,0.20 (1.77 %),1150000,0,
28/02/2022,,,11.3,11.3,11.3,11.3,,0,0,11.3,0.00 (0.00 %),0,0,
25/02/2022,,,11.3,11.3,11.3,11.3,,1,0,11.3,0.00 (0.00 %),12000,0,3.0
24/02/2022,,,11.3,11.3,11.3,11.3,,1,0,11.3,0.00 (0.00 %),12000,0,4.0
23/02/2022,,,11.3,11.3,11.3,11.3,,0,0,11.3,0.00 (0.00 %),0,0,5.0
22/02/2022,,,11.3,11.3,11.3,11.3,,0,0,11.3,0.00 (0.00 %),0,0,6.0
21/02/2022,,,11.3,11.3,11.3,11.3,,0,0,11.3,0.00 (0.00 %),0,0,7.0
18/02/2022,,,11.3,11.3,11.3,11.3,,0,0,11.3,0.00 (0.00 %),0,0,8.0
17/02/2022,,,11.5,11.6,11.6,11.3,,1100,0,11.3,-0.20 (-1.74 %),12590000,0,9.0
16/02/2022,,,11.5,11.5,11.5,11.5,,100,0,11.5,0.00 (0.00 %),1150000,0,10.0
15/02/2022,,,11.5,11.5,11.5,11.5,,500,0,11.5,0.00 (0.00 %),5750000,0,11.0
14/02/2022,,,11.5,11.5,11.5,11.5,,0,0,11.5,0.00 (0.00 %),0,0,12.0
11/02/2022,,,11.5,11.5,11.5,11.5,,0,0,11.5,0.00 (0.00 %),0,0,13.0
10/02/2022,,,11.5,11.5,11.5,11.5,,0,0,11.5,0.00 (0.00 %),0,0,14.0
09/02/2022,,,11.6,11.5,11.5,11.5,,200,0,11.5,-0.10 (-0.86 %),2300000,0,15.0
08/02/2022,,,11.6,11.6,11.6,11.6,,0,0,11.6,0.00 (0.00 %),0,0,16.0
07/02/2022,,,11.6,11.6,11.6,11.6,,0,0,11.6,0.00 (0.00 %),0,0,17.0
28/01/2022,,,11.6,11.6,11.6,11.6,,0,0,11.6,0.00 (0.00 %),0,0,18.0
27/01/2022,,,11.6,11.6,11.6,11.6,,0,0,11.6,0.00 (0.00 %),0,0,19.0
26/01/2022,,,10.9,11.6,11.6,11.6,,200,0,11.6,0.70 (6.42 %),2320000,0,20.0
25/01/2022,,,10.9,10.9,10.9,10.9,,0,0,10.9,0.00 (0.00 %),0,0,21.0
24/01/2022,,,10.9,10.9,10.9,10.9,,0,0,10.9,0.00 (0.00 %),0,0,2.0
21/01/2022,,,11.0,10.9,10.9,10.9,,100,0,10.9,-0.10 (-0.91 %),1090000,0,3.0
