,time,tien,tyle
0,05/07/2021,True,7
1,25/01/2021,True,7
2,05/08/2020,True,7
3,27/04/2020,True,5
4,13/06/2019,True,5
5,27/02/2019,True,5
6,14/06/2018,True,10
7,21/12/2017,True,10
8,19/05/2017,True,10
9,29/11/2016,True,20
10,23/05/2016,True,15
11,28/12/2015,True,25
12,22/05/2015,True,15
13,19/09/2014,True,15
14,16/05/2014,True,25
15,27/09/2013,True,25
16,20/05/2013,True,20
17,03/12/2012,True,10
18,12/09/2012,True,15
19,16/05/2012,True,25
20,06/05/2011,True,10
21,11/08/2010,True,10
22,04/05/2010,True,13
23,14/04/2009,True,5
24,16/12/2008,True,5
