,time,tien,tyle
0,16/12/2021,True,15
1,17/12/2020,True,25
2,17/12/2019,True,50
3,25/09/2019,True,10
4,21/12/2018,True,40
5,24/10/2018,True,30
6,07/08/2018,True,20
7,29/11/2017,True,10
8,26/09/2017,True,20
9,27/06/2017,True,20
10,22/11/2016,True,10
11,30/08/2016,True,15
12,17/06/2016,True,20
13,18/12/2015,True,15
14,23/03/2015,True,15
15,29/07/2014,True,10
16,21/04/2014,True,15
17,04/12/2013,True,15
18,12/06/2013,True,10
19,22/04/2013,True,15
20,12/11/2012,True,15
21,06/07/2012,True,20
22,17/05/2012,True,15
23,23/09/2011,True,10
24,06/05/2011,True,15
25,07/12/2010,True,15
26,23/06/2010,True,5
27,22/03/2010,True,15
