,time,tien,tyle
0,06/12/2021,True,5
1,11/05/2021,True,7
2,29/12/2020,True,5
3,09/07/2020,True,7
4,19/12/2019,True,5
5,21/05/2019,True,19
6,29/11/2018,True,6
7,17/05/2018,True,15
8,09/01/2018,True,6
9,15/05/2017,True,12
10,27/12/2016,True,5
11,09/05/2016,True,9.3
12,22/12/2015,True,5
13,06/05/2015,True,16
14,06/01/2015,True,5
15,06/05/2014,True,12
16,26/08/2013,True,5
17,14/05/2013,True,15
18,08/10/2012,True,5
19,06/06/2012,True,6
20,20/12/2011,True,10
21,14/06/2011,True,7
22,02/12/2010,True,10
23,31/05/2010,True,10
24,29/12/2009,True,10
