,time,tien,tyle
0,19/05/2021,True,20
1,19/11/2020,True,20
2,09/04/2020,True,100
3,12/07/2019,True,20
4,20/11/2018,True,20
5,02/04/2018,True,100
6,30/11/2017,True,10
7,24/05/2017,True,10
8,24/11/2016,True,10
9,26/05/2015,True,10
10,26/11/2014,True,10
11,08/08/2014,True,10
12,06/06/2014,True,10
13,24/12/2013,True,5
14,25/09/2013,True,10
15,22/05/2013,True,10
16,11/10/2012,True,10
17,06/06/2012,True,10
18,23/03/2012,False,1/1
19,23/11/2011,True,10
20,13/06/2011,True,15
21,23/12/2010,True,15
22,30/06/2010,True,7.5
