,time,tien,tyle
0,07/12/2021,True,7
1,22/03/2021,True,8
2,27/03/2020,True,8
3,19/11/2019,True,7
4,26/03/2019,True,8
5,29/08/2018,True,7
6,23/03/2018,True,8
7,07/09/2017,True,7
8,30/03/2017,True,8
9,13/10/2016,True,7
10,18/07/2016,True,5
11,18/03/2016,True,8
12,11/09/2015,True,7
13,26/05/2015,True,5
14,18/03/2015,True,8
15,26/09/2014,True,7
16,14/05/2014,True,13
17,18/09/2013,True,7
18,13/03/2013,True,8
19,05/09/2012,True,7
20,14/03/2012,True,8
21,29/08/2011,True,7
22,27/04/2011,True,10
23,30/12/2010,True,8
24,27/08/2010,True,7
25,23/12/2009,True,7
