,time,tien,tyle
0,13/12/2021,True,15
1,07/05/2021,True,20
2,12/03/2021,True,10
3,19/11/2020,True,10
4,20/08/2020,True,10
5,08/04/2020,True,30
6,17/09/2019,True,20
7,26/12/2018,True,20
8,09/10/2018,True,20
9,11/07/2018,True,20
10,26/04/2018,True,20
11,30/10/2017,True,10
12,19/05/2017,True,20
13,09/12/2016,True,10
14,22/04/2016,True,20
15,29/01/2016,True,10
16,29/05/2015,True,15
17,14/01/2015,True,10
18,21/05/2014,True,13
19,23/01/2014,True,10
20,19/06/2013,True,10
21,19/12/2012,True,8
22,29/10/2012,True,10
23,12/07/2012,True,7
24,08/12/2011,True,20
25,18/05/2011,True,15
26,12/11/2010,True,10
